,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.804042,0.619000,0.435562,0.379374,0.341839,0.324965,0.319036,0.323547,0.334138,0.154428,0.179195,0.158425,0.159721,0.153805,0.142791,0.147048,0.138607,0.142521,0.171969,0.135083,0.137315,0.115214,0.102763,0.101956,0.085128,0.086725,0.114880,0.098910,0.091449,0.110941,0.101274,0.071454,0.053714,0.096215,0.016629,0.036268,0.020795,-0.016196,-0.040452,0.032985,0.018438,-0.012660,-0.056070,-0.080506,-0.032138,-0.075064,-0.106992,-0.119534,-0.109958,-0.123230,-0.139863,-0.128352,-0.148448,-0.138250
6M-1M,0.804042,1.000000,0.859580,0.644241,0.570367,0.510045,0.486259,0.454463,0.424054,0.416030,0.596586,0.488833,0.421347,0.406607,0.383030,0.353938,0.327655,0.293273,0.282778,0.233851,0.246540,0.256126,0.239193,0.206742,0.173049,0.131088,0.121311,0.212904,0.209577,0.188851,0.178888,0.137619,0.083470,0.049345,0.178461,0.084318,0.066953,0.017685,-0.042999,-0.082625,0.069815,0.024966,-0.034067,-0.099519,-0.141031,-0.046745,-0.126472,-0.183122,-0.206127,-0.155335,-0.206493,-0.219780,-0.187649,-0.219004,-0.181193
1Y-1M,0.619000,0.859580,1.000000,0.886509,0.824512,0.754297,0.716648,0.662937,0.595747,0.558185,0.550615,0.715280,0.634156,0.611776,0.577927,0.540202,0.477212,0.408828,0.369313,0.545276,0.503258,0.491167,0.476553,0.433298,0.359069,0.277004,0.230419,0.350609,0.363494,0.337192,0.283360,0.201960,0.117314,0.066150,0.265314,0.211313,0.132340,0.035163,-0.051002,-0.107479,0.117218,0.040313,-0.061343,-0.142853,-0.195803,-0.083674,-0.195709,-0.258859,-0.292580,-0.235832,-0.296326,-0.313122,-0.253249,-0.299604,-0.234766
2Y-1M,0.435562,0.644241,0.886509,1.000000,1.000000,1.000000,0.945718,0.870543,0.763356,0.696977,0.512359,0.679106,0.836219,0.819344,0.790961,0.747027,0.645372,0.543690,0.477663,0.524832,0.747530,0.728760,0.733423,0.681335,0.561737,0.439529,0.359342,0.715850,0.694906,0.635921,0.520516,0.388038,0.264990,0.198051,0.387044,0.393689,0.254174,0.103617,-0.009600,-0.083290,0.227369,0.116778,-0.031294,-0.133867,-0.203567,-0.070624,-0.221943,-0.302531,-0.352929,-0.284750,-0.364799,-0.385617,-0.298560,-0.360149,-0.278459
3Y-1M,0.379374,0.570367,0.824512,1.000000,1.000000,1.000000,1.000000,0.963103,0.856493,0.787068,0.501164,0.657441,0.823575,0.864019,0.853761,0.824692,0.723412,0.618547,0.544349,0.503259,0.736559,0.780259,0.807705,0.772487,0.654104,0.528001,0.436112,0.721816,0.779950,0.732602,0.616268,0.480965,0.351934,0.284144,0.525979,0.535575,0.376391,0.213145,0.090869,0.012917,0.292018,0.191620,0.036236,-0.069490,-0.141814,-0.010472,-0.166452,-0.250366,-0.306464,-0.256148,-0.330498,-0.359186,-0.274725,-0.343089,-0.278714
5Y-1M,0.341839,0.510045,0.754297,1.000000,1.000000,1.000000,1.000000,1.000000,0.970873,0.905423,0.483680,0.611893,0.780851,0.837259,0.897821,0.901276,0.819526,0.724817,0.646844,0.457821,0.697475,0.758880,0.865132,0.866383,0.770108,0.652844,0.552911,0.703250,0.782336,0.820783,0.727181,0.607922,0.483024,0.416116,0.548017,0.682085,0.525889,0.365240,0.240711,0.158870,0.452810,0.353533,0.189164,0.077862,0.001425,0.099518,-0.050429,-0.136196,-0.199968,-0.170498,-0.236600,-0.279391,-0.207554,-0.284950,-0.263100
7Y-1M,0.324965,0.486259,0.716648,0.945718,1.000000,1.000000,1.000000,1.000000,1.000000,0.979642,0.465848,0.574381,0.733760,0.798328,0.884066,0.925764,0.866377,0.788104,0.713586,0.423148,0.650173,0.721563,0.854723,0.898933,0.827508,0.727561,0.629411,0.663452,0.753724,0.825571,0.774284,0.676307,0.564677,0.504282,0.548367,0.722514,0.607792,0.460366,0.342931,0.264565,0.502817,0.448315,0.288936,0.181713,0.108242,0.217949,0.061629,-0.025251,-0.092104,-0.098870,-0.151309,-0.200999,-0.139627,-0.218474,-0.233473
10Y-1M,0.319036,0.454463,0.662937,0.870543,0.963103,1.000000,1.000000,1.000000,1.000000,1.000000,0.442505,0.531603,0.674185,0.741756,0.846156,0.910063,0.897056,0.839901,0.775541,0.386997,0.594725,0.670541,0.822181,0.891500,0.871371,0.793272,0.703419,0.615305,0.709271,0.808487,0.786147,0.738017,0.642355,0.592232,0.533587,0.737575,0.651544,0.552309,0.442315,0.370687,0.538785,0.508902,0.391295,0.286089,0.218253,0.289602,0.182358,0.090409,0.023945,0.026376,-0.032940,-0.092342,-0.070680,-0.143747,-0.188633
20Y-1M,0.323547,0.424054,0.595747,0.763356,0.856493,0.970873,1.000000,1.000000,1.000000,1.000000,0.412034,0.476842,0.595150,0.662256,0.778651,0.861993,0.881104,0.883641,0.835085,0.346699,0.521546,0.598299,0.756313,0.848507,0.864382,0.850058,0.775218,0.546936,0.638738,0.757350,0.772756,0.759920,0.722362,0.684193,0.502833,0.716086,0.674423,0.609353,0.551339,0.486248,0.553485,0.559796,0.466990,0.407296,0.342746,0.367959,0.279173,0.233380,0.162583,0.109105,0.116860,0.039227,0.084332,-0.011037,-0.147312
30Y-1M,0.334138,0.416030,0.558185,0.696977,0.787068,0.905423,0.979642,1.000000,1.000000,1.000000,0.396684,0.449339,0.556342,0.620483,0.734193,0.824336,0.862167,0.878138,0.862478,0.326788,0.482905,0.557660,0.709571,0.811011,0.848966,0.849214,0.810428,0.508203,0.596015,0.717710,0.751158,0.760751,0.735933,0.733139,0.481785,0.688868,0.669931,0.629136,0.581368,0.549898,0.542895,0.567957,0.496298,0.444202,0.411211,0.393495,0.326781,0.283005,0.244619,0.153725,0.166660,0.118804,0.114912,0.068648,-0.053514
