,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.591848,0.537504,0.625584,0.670607,0.689571,0.716386,0.728364,0.739056,0.755156,-0.467199,-0.421173,-0.172134,-0.037893,0.113390,0.142456,0.185005,0.138928,0.101258,-0.008595,0.384526,0.491057,0.528503,0.528900,0.526271,0.475233,0.464369,0.477745,0.520094,0.537671,0.518070,0.509572,0.449904,0.436280,0.393243,0.469776,0.425310,0.412573,0.308201,0.269351,0.483505,0.406184,0.387078,0.232281,0.170086,0.099181,0.185811,0.016006,-0.055067,0.265163,-0.039050,-0.132656,-0.227592,-0.290184,-0.283744
6M-1M,0.591848,1.000000,0.947248,0.891721,0.860611,0.796440,0.749841,0.701239,0.642369,0.645823,0.436160,0.427396,0.556563,0.602233,0.599842,0.546581,0.496970,0.383530,0.361759,0.106679,0.301505,0.323449,0.314175,0.213557,0.155647,0.011840,-0.040031,0.297090,0.289400,0.282231,0.175311,0.120379,-0.018161,-0.068542,0.173817,0.211537,0.058408,-0.000441,-0.164502,-0.226803,0.220867,-0.028638,-0.093508,-0.292159,-0.363991,-0.350812,-0.334617,-0.484047,-0.524748,-0.240747,-0.525513,-0.560359,-0.575176,-0.568761,-0.334031
1Y-1M,0.537504,0.947248,1.000000,0.928514,0.866482,0.788747,0.721435,0.662944,0.590199,0.593759,0.438966,0.538439,0.655302,0.661292,0.634536,0.553770,0.488763,0.358328,0.339523,0.419724,0.462213,0.401649,0.351484,0.218755,0.145631,-0.012640,-0.061471,0.280373,0.223399,0.215267,0.084110,0.023801,-0.127229,-0.179975,0.060696,0.120647,-0.059014,-0.117871,-0.286848,-0.347804,0.163111,-0.137573,-0.203043,-0.403207,-0.468178,-0.474392,-0.455040,-0.588732,-0.613036,-0.331061,-0.608427,-0.619581,-0.631753,-0.597552,-0.303693
2Y-1M,0.625584,0.891721,0.928514,1.000000,0.970649,0.921948,0.871006,0.820543,0.740061,0.730086,0.279726,0.373534,0.660828,0.718708,0.743935,0.688991,0.639082,0.495177,0.454390,0.355206,0.700384,0.666031,0.612583,0.489229,0.409305,0.228768,0.166100,0.616735,0.531763,0.501057,0.367535,0.295829,0.117841,0.051439,0.217392,0.307964,0.126306,0.059156,-0.155556,-0.246056,0.356004,0.049738,-0.030525,-0.299511,-0.407490,-0.388098,-0.352831,-0.568741,-0.643112,-0.228840,-0.632987,-0.709479,-0.732738,-0.756798,-0.500545
3Y-1M,0.670607,0.860611,0.866482,0.970649,1.000000,0.981703,0.954058,0.920575,0.857501,0.843663,0.195339,0.261824,0.580454,0.715869,0.788427,0.767471,0.743848,0.625161,0.579717,0.250863,0.687612,0.760251,0.735519,0.639663,0.573290,0.407699,0.342280,0.672368,0.680164,0.660361,0.546224,0.482840,0.315015,0.246477,0.445760,0.512179,0.341922,0.274181,0.053410,-0.047345,0.510698,0.235218,0.158701,-0.125252,-0.255016,-0.253678,-0.191919,-0.440316,-0.549817,-0.065936,-0.520198,-0.648980,-0.681932,-0.761494,-0.598884
5Y-1M,0.689571,0.796440,0.788747,0.921948,0.981703,1.000000,0.986422,0.967179,0.918633,0.901737,0.103778,0.159264,0.500717,0.673371,0.797737,0.796811,0.794387,0.697061,0.648038,0.191438,0.686217,0.808113,0.824320,0.744797,0.690226,0.540483,0.475091,0.711266,0.758587,0.770097,0.666954,0.612036,0.456390,0.387888,0.552769,0.652417,0.486774,0.422483,0.203716,0.097442,0.665067,0.392525,0.316189,0.025183,-0.117952,-0.170924,-0.079981,-0.341102,-0.473789,0.062176,-0.419475,-0.585130,-0.625220,-0.745295,-0.658759
7Y-1M,0.716386,0.749841,0.721435,0.871006,0.954058,0.986422,1.000000,0.993223,0.966010,0.953543,0.022728,0.060070,0.410597,0.610891,0.756783,0.792642,0.808690,0.741299,0.698643,0.114582,0.652387,0.816189,0.846627,0.806489,0.764335,0.640799,0.584142,0.722274,0.803453,0.818380,0.750708,0.704799,0.571978,0.512194,0.630178,0.718741,0.597352,0.537957,0.336601,0.236208,0.712178,0.515626,0.441973,0.165719,0.024408,-0.006788,0.074791,-0.194080,-0.336876,0.170955,-0.296957,-0.478353,-0.525508,-0.667287,-0.648774
10Y-1M,0.728364,0.701239,0.662944,0.820543,0.920575,0.967179,0.993223,1.000000,0.985098,0.975328,-0.043955,-0.014810,0.335357,0.554512,0.720410,0.772561,0.808114,0.758011,0.719191,0.070766,0.622728,0.815973,0.861918,0.839915,0.813383,0.705863,0.655677,0.715821,0.823966,0.848509,0.796757,0.764236,0.645289,0.591810,0.682106,0.770213,0.666045,0.619123,0.427340,0.331780,0.756609,0.589393,0.531713,0.262092,0.123061,0.069721,0.175928,-0.100044,-0.248029,0.284311,-0.200250,-0.392769,-0.464757,-0.617397,-0.637189
20Y-1M,0.739056,0.642369,0.590199,0.740061,0.857501,0.918633,0.966010,0.985098,1.000000,0.995362,-0.120465,-0.103737,0.223449,0.459483,0.644909,0.724612,0.777549,0.769787,0.738425,0.011804,0.546017,0.773873,0.840818,0.852341,0.840772,0.773948,0.734011,0.661979,0.807634,0.846881,0.826998,0.807003,0.725608,0.682198,0.725677,0.808448,0.742479,0.703672,0.549233,0.463342,0.784786,0.681486,0.630815,0.403027,0.271068,0.202042,0.305539,0.058066,-0.095038,0.382462,-0.040018,-0.245710,-0.305543,-0.485016,-0.603041
30Y-1M,0.755156,0.645823,0.593759,0.730086,0.843663,0.901737,0.953543,0.975328,0.995362,1.000000,-0.134651,-0.115997,0.195365,0.425687,0.608324,0.692857,0.749696,0.747714,0.728641,0.013067,0.519556,0.743755,0.811059,0.830847,0.824417,0.765043,0.737023,0.628643,0.775387,0.816345,0.805663,0.790890,0.716875,0.684642,0.706642,0.786463,0.733590,0.700314,0.554816,0.482704,0.762768,0.680617,0.636124,0.418700,0.303976,0.230128,0.332669,0.089724,-0.046548,0.402474,-0.008961,-0.191576,-0.275329,-0.428503,-0.523508
6M-3M,-0.467199,0.436160,0.438966,0.279726,0.195339,0.103778,0.022728,-0.043955,-0.120465,-0.134651,1.000000,0.939004,0.802660,0.702891,0.531376,0.440505,0.338586,0.265594,0.283768,0.126612,-0.098563,-0.193423,-0.245400,-0.356211,-0.416798,-0.517560,-0.562328,-0.207475,-0.263189,-0.290675,-0.386072,-0.436840,-0.522191,-0.562244,-0.248355,-0.292421,-0.410746,-0.461078,-0.524515,-0.549481,-0.297514,-0.484875,-0.534699,-0.579784,-0.589143,-0.495530,-0.574479,-0.548817,-0.514117,-0.560102,-0.532837,-0.466559,-0.376827,-0.299912,-0.049627
