,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.781192,0.631423,0.459098,0.405639,0.365292,0.348791,0.337546,0.330522,0.331157,0.202248,0.203640,0.180714,0.185027,0.179695,0.165292,0.142292,0.050021,0.099823,0.135362,0.128773,0.134597,0.137966,0.128640,0.110028,0.018384,0.065882,0.128412,0.109079,0.124974,0.123996,0.101980,-0.006988,0.053531,0.080275,0.083583,0.066101,0.035989,-0.046962,-0.019994,0.069266,0.040766,-0.000008,-0.070358,-0.054192,-0.031128,-0.066038,-0.098482,-0.097927,-0.080283,-0.096757,-0.105749,-0.084252,-0.112704,-0.074513
6M-1M,0.781192,1.000000,0.845562,0.657552,0.599458,0.553467,0.533089,0.507629,0.479915,0.472278,0.601825,0.473836,0.404631,0.383819,0.367707,0.354597,0.326424,0.287542,0.272753,0.209238,0.221702,0.227080,0.220450,0.204629,0.165391,0.120146,0.092636,0.205881,0.195954,0.183051,0.166079,0.117562,0.061473,0.032039,0.137507,0.096556,0.063625,0.004665,-0.054291,-0.080098,0.047552,0.008439,-0.059288,-0.110625,-0.137297,-0.067216,-0.141528,-0.171517,-0.188392,-0.173805,-0.196555,-0.204145,-0.179603,-0.195822,-0.152318
1Y-1M,0.631423,0.845562,1.000000,0.886574,0.830863,0.769997,0.736332,0.695068,0.642034,0.615693,0.527362,0.668980,0.592509,0.563110,0.531952,0.510718,0.465400,0.501880,0.372025,0.519664,0.472620,0.455160,0.437297,0.411961,0.350697,0.367829,0.222830,0.334156,0.346243,0.297723,0.253682,0.174283,0.184557,0.038581,0.239231,0.150253,0.093855,-0.000201,-0.017238,-0.136191,0.051679,-0.004415,-0.103366,-0.128726,-0.225644,-0.104494,-0.219936,-0.251230,-0.303619,-0.285382,-0.307125,-0.341938,-0.282977,-0.326650,-0.270598
2Y-1M,0.459098,0.657552,0.886574,1.000000,1.000000,1.000000,0.968641,0.898533,0.805181,0.756130,0.416336,0.595393,0.755249,0.731299,0.705398,0.678525,0.628318,0.728922,0.519850,0.522790,0.713378,0.687080,0.674140,0.634126,0.558780,0.611053,0.398912,0.629586,0.655942,0.543195,0.444328,0.336228,0.449226,0.170054,0.367165,0.237907,0.146968,0.031366,0.073284,-0.123179,0.085466,0.017894,-0.097765,-0.102877,-0.239794,-0.105158,-0.245467,-0.331433,-0.351357,-0.341999,-0.427015,-0.407798,-0.399162,-0.380129,-0.417647
3Y-1M,0.405639,0.599458,0.830863,1.000000,1.000000,1.000000,1.000000,0.997718,0.899926,0.846508,0.373009,0.558605,0.727548,0.756873,0.746519,0.731520,0.686265,0.838251,0.585786,0.504393,0.702597,0.732960,0.737377,0.710650,0.638971,0.730937,0.481086,0.633711,0.739718,0.630687,0.526609,0.414796,0.579175,0.242402,0.495755,0.354093,0.252298,0.125531,0.207337,-0.041861,0.130509,0.068444,-0.044380,-0.014266,-0.194506,-0.056246,-0.197745,-0.274000,-0.314899,-0.313643,-0.406410,-0.382322,-0.385655,-0.358235,-0.440333
5Y-1M,0.365292,0.553467,0.769997,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.969009,0.323670,0.493757,0.667493,0.712175,0.766865,0.781813,0.758444,0.976330,0.682071,0.453023,0.659219,0.704076,0.781342,0.787645,0.738638,0.881044,0.597630,0.616967,0.740809,0.713160,0.623913,0.519726,0.743967,0.355288,0.507764,0.480641,0.389011,0.258835,0.381824,0.088096,0.273300,0.208705,0.088794,0.161529,-0.067196,0.050570,-0.093108,-0.158195,-0.214143,-0.231909,-0.310312,-0.298390,-0.328564,-0.284501,-0.433847
7Y-1M,0.348791,0.533089,0.736332,0.968641,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.299686,0.451739,0.616554,0.667470,0.744119,0.795692,0.791987,1.000000,0.741071,0.413640,0.610195,0.662069,0.763814,0.813828,0.786217,0.961409,0.667773,0.591570,0.714534,0.726053,0.676046,0.584718,0.833976,0.430590,0.497760,0.522628,0.474193,0.347974,0.498167,0.179807,0.330013,0.295031,0.178649,0.281007,0.023318,0.165849,0.009722,-0.031679,-0.119673,-0.159144,-0.223180,-0.222545,-0.251538,-0.216029,-0.392882
10Y-1M,0.337546,0.507629,0.695068,0.898533,0.997718,1.000000,1.000000,1.000000,1.000000,1.000000,0.270490,0.402406,0.559071,0.613064,0.703935,0.774843,0.809418,1.000000,0.787334,0.366300,0.554863,0.610184,0.728313,0.802725,0.818754,1.000000,0.728273,0.562456,0.678558,0.724577,0.698929,0.643657,0.910173,0.505324,0.478284,0.549635,0.529262,0.437802,0.605889,0.274253,0.378855,0.360436,0.273292,0.401527,0.118270,0.242663,0.121943,0.094197,-0.018859,-0.029331,-0.086013,-0.119260,-0.166385,-0.143499,-0.324802
20Y-1M,0.330522,0.479915,0.642034,0.805181,0.899926,1.000000,1.000000,1.000000,1.000000,1.000000,0.244384,0.345593,0.484891,0.541589,0.645927,0.733493,0.789351,1.000000,0.827470,0.309751,0.480385,0.538800,0.669767,0.764599,0.806089,1.000000,0.779583,0.511895,0.618439,0.695320,0.698335,0.669195,0.965893,0.585278,0.444389,0.556723,0.568389,0.500772,0.711320,0.380891,0.418576,0.426272,0.355515,0.529393,0.235560,0.328095,0.219850,0.249909,0.107156,0.065620,0.084165,0.010888,0.019579,-0.008669,-0.246977
30Y-1M,0.331157,0.472278,0.615693,0.756130,0.846508,0.969009,1.000000,1.000000,1.000000,1.000000,0.231322,0.312842,0.443252,0.498887,0.604847,0.698379,0.762713,1.000000,0.835955,0.272365,0.435083,0.492580,0.625649,0.729682,0.782605,1.000000,0.794981,0.485586,0.582502,0.673502,0.687236,0.669924,0.965659,0.619330,0.416603,0.546780,0.573066,0.520069,0.744090,0.432895,0.427294,0.442291,0.386240,0.576690,0.293591,0.356790,0.264822,0.315637,0.174204,0.116818,0.153346,0.084665,0.079211,0.067768,-0.111224
