,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.803165,0.636185,0.467491,0.404451,0.356601,0.333191,0.316371,0.302058,0.301779,0.161180,0.178544,0.187330,0.193646,0.192177,0.163100,0.140171,0.095093,0.077854,0.131665,0.135658,0.144384,0.142258,0.107685,0.084459,0.064216,0.049695,0.113403,0.113126,0.096213,0.068637,0.047323,0.058726,0.045448,0.093102,0.033834,0.071044,0.039940,0.030102,0.000874,0.038526,0.045628,-0.003882,-0.023555,-0.053096,-0.013314,-0.071254,-0.088225,-0.106889,-0.102723,-0.101759,-0.116871,-0.093574,-0.120149,-0.100518
6M-1M,0.803165,1.000000,0.863356,0.634788,0.562369,0.503748,0.479177,0.451106,0.425020,0.418679,0.583751,0.488635,0.434798,0.424572,0.404513,0.375354,0.338208,0.285299,0.261560,0.204842,0.247688,0.257190,0.249922,0.212457,0.169382,0.119647,0.092202,0.227754,0.226928,0.197621,0.159702,0.110446,0.076975,0.049436,0.164511,0.087666,0.090920,0.030422,-0.012278,-0.051295,0.056136,0.037814,-0.038923,-0.085479,-0.122965,-0.042704,-0.132166,-0.169057,-0.192693,-0.180914,-0.198684,-0.216714,-0.180095,-0.214649,-0.168248
1Y-1M,0.636185,0.863356,1.000000,0.842624,0.782703,0.713916,0.676654,0.629771,0.574065,0.545637,0.553135,0.712212,0.634284,0.616451,0.584647,0.553834,0.506766,0.439358,0.404246,0.575379,0.510938,0.502677,0.479242,0.439724,0.379967,0.289217,0.243751,0.379788,0.382367,0.348736,0.294495,0.219451,0.125696,0.077023,0.272544,0.189367,0.128527,0.040808,-0.045409,-0.100886,0.107042,0.039675,-0.061681,-0.144346,-0.195138,-0.083183,-0.194617,-0.257484,-0.292320,-0.255352,-0.307762,-0.335602,-0.278241,-0.328996,-0.273578
2Y-1M,0.467491,0.634788,0.842624,1.000000,1.000000,0.954674,0.895744,0.829802,0.743766,0.696938,0.532242,0.707795,0.821934,0.805274,0.774659,0.740242,0.684293,0.601439,0.557122,0.607019,0.755145,0.740798,0.717935,0.674591,0.599180,0.469518,0.409037,0.708567,0.686538,0.642485,0.565478,0.460062,0.292856,0.225438,0.411113,0.350657,0.213410,0.097841,-0.031875,-0.100586,0.219864,0.090192,-0.035459,-0.156077,-0.220277,-0.095189,-0.224903,-0.315702,-0.363082,-0.304841,-0.389503,-0.428472,-0.355690,-0.419924,-0.363619
3Y-1M,0.404451,0.562369,0.782703,1.000000,1.000000,1.000000,0.999258,0.935109,0.842013,0.790001,0.516446,0.684660,0.805655,0.832996,0.819126,0.801485,0.753567,0.682461,0.639588,0.595009,0.752470,0.787011,0.781914,0.759218,0.690811,0.562059,0.500187,0.719863,0.756512,0.731579,0.671547,0.568403,0.382679,0.312199,0.558710,0.490821,0.316645,0.195809,0.045202,-0.025845,0.291433,0.155764,0.033026,-0.100776,-0.167347,-0.041151,-0.167953,-0.271081,-0.321481,-0.263098,-0.358240,-0.400736,-0.334083,-0.400692,-0.366870
5Y-1M,0.356601,0.503748,0.713916,0.954674,1.000000,1.000000,1.000000,1.000000,0.970601,0.911912,0.492978,0.637009,0.755419,0.796229,0.842872,0.860358,0.833157,0.789152,0.751806,0.552775,0.714296,0.763069,0.826151,0.845866,0.799185,0.688116,0.628273,0.699742,0.752556,0.808620,0.790854,0.704923,0.513694,0.442488,0.579095,0.643744,0.453735,0.337318,0.171442,0.099379,0.459636,0.305882,0.185427,0.033295,-0.036169,0.066598,-0.050132,-0.164686,-0.218081,-0.162123,-0.266114,-0.313808,-0.262850,-0.331361,-0.341409
7Y-1M,0.333191,0.479177,0.676654,0.895744,0.999258,1.000000,1.000000,1.000000,1.000000,0.990414,0.472863,0.597100,0.701967,0.749225,0.818438,0.874199,0.867489,0.851737,0.822722,0.515741,0.664814,0.721031,0.809684,0.875918,0.850456,0.763023,0.709435,0.657226,0.719430,0.807278,0.842510,0.775586,0.594162,0.527489,0.575273,0.690018,0.534379,0.427844,0.260728,0.192243,0.511074,0.397676,0.286159,0.130407,0.062896,0.183872,0.063488,-0.060428,-0.115101,-0.083375,-0.182266,-0.230613,-0.190143,-0.256342,-0.299337
10Y-1M,0.316371,0.451106,0.629771,0.829802,0.935109,1.000000,1.000000,1.000000,1.000000,1.000000,0.440334,0.547356,0.640534,0.689997,0.773681,0.854345,0.880652,0.894701,0.873855,0.469687,0.606601,0.665598,0.772015,0.871072,0.884215,0.829177,0.782301,0.602820,0.669549,0.782399,0.858823,0.834245,0.672671,0.610216,0.556392,0.717156,0.591383,0.520289,0.352621,0.286504,0.549847,0.465495,0.389770,0.229267,0.163001,0.264869,0.182235,0.047619,-0.008258,0.047369,-0.068877,-0.120423,-0.116729,-0.177205,-0.241768
20Y-1M,0.302058,0.425020,0.574065,0.743766,0.842013,0.970601,1.000000,1.000000,1.000000,1.000000,0.397421,0.479762,0.555954,0.606928,0.701195,0.803440,0.845452,0.920546,0.910031,0.406467,0.523292,0.584033,0.702726,0.832476,0.865945,0.882672,0.845559,0.524505,0.593287,0.724731,0.844917,0.843928,0.748564,0.692854,0.515598,0.713707,0.633332,0.579242,0.456290,0.393510,0.566463,0.525941,0.465641,0.345993,0.280503,0.351280,0.277005,0.183057,0.123626,0.125255,0.079090,0.019469,0.037477,-0.035452,-0.181983
30Y-1M,0.301779,0.418679,0.545637,0.696938,0.790001,0.911912,0.990414,1.000000,1.000000,1.000000,0.375367,0.442880,0.511319,0.561422,0.657372,0.766733,0.815897,0.905303,0.916767,0.369547,0.477107,0.537363,0.658181,0.798895,0.842234,0.879963,0.867821,0.478663,0.547355,0.682588,0.820531,0.832945,0.760514,0.729559,0.490516,0.696212,0.642977,0.600892,0.491004,0.449230,0.561384,0.545771,0.497695,0.388163,0.341944,0.388809,0.324581,0.234579,0.195009,0.168374,0.132682,0.096976,0.082384,0.042004,-0.061989
6M-3M,0.161180,0.583751,0.553135,0.532242,0.516446,0.492978,0.472863,0.440334,0.397421,0.375367,1.000000,0.953416,0.896244,0.882546,0.874812,0.836539,0.804351,0.655789,0.617076,0.564716,0.729701,0.732461,0.728312,0.596362,0.503943,0.132533,0.059566,0.787767,0.773657,0.726078,0.422259,0.268722,-0.175086,-0.232136,0.321555,0.172954,-0.344183,-0.415914,-0.574031,-0.586175,-0.035968,-0.435743,-0.492425,-0.603373,-0.610039,-0.591560,-0.582086,-0.671553,-0.672287,-0.380653,-0.696851,-0.699424,-0.605761,-0.623633,-0.510270
1Y-3M,0.178544,0.488635,0.712212,0.707795,0.684660,0.637009,0.597100,0.547356,0.479762,0.442880,0.953416,1.000000,1.000000,1.000000,0.977431,0.906087,0.862863,0.658211,0.602684,0.872586,0.934475,0.924200,0.883664,0.710478,0.607237,0.184194,0.096232,0.877728,0.860368,0.766613,0.409561,0.250665,-0.214823,-0.284327,0.363579,0.111988,-0.377990,-0.447120,-0.618000,-0.647721,-0.082730,-0.476021,-0.540711,-0.670411,-0.694512,-0.636731,-0.638485,-0.760452,-0.776596,-0.418446,-0.798891,-0.815717,-0.713692,-0.751783,-0.623103
2Y-3M,0.187330,0.434798,0.634284,0.821934,0.805655,0.755419,0.701967,0.640534,0.555954,0.511319,0.896244,1.000000,1.000000,1.000000,1.000000,0.954549,0.902877,0.683785,0.622655,0.857291,1.000000,1.000000,0.955959,0.767708,0.656721,0.229059,0.137642,0.984298,0.956034,0.847761,0.477708,0.312206,-0.149901,-0.223869,0.411996,0.155513,-0.323068,-0.401668,-0.578304,-0.617393,-0.033117,-0.429427,-0.507720,-0.647803,-0.682539,-0.616867,-0.634282,-0.766599,-0.792050,-0.433036,-0.815217,-0.839741,-0.733211,-0.781174,-0.650492
3Y-3M,0.193646,0.424572,0.616451,0.805274,0.832996,0.796229,0.749225,0.689997,0.606928,0.561422,0.882546,1.000000,1.000000,1.000000,1.000000,0.975666,0.928422,0.700395,0.636933,0.850687,1.000000,1.000000,0.976996,0.784417,0.678406,0.241370,0.148390,0.981818,0.989329,0.869145,0.493120,0.334472,-0.131055,-0.205953,0.505510,0.176644,-0.292988,-0.364851,-0.545334,-0.587832,-0.046461,-0.418486,-0.489261,-0.630526,-0.669273,-0.591819,-0.605107,-0.749815,-0.780116,-0.401236,-0.806184,-0.836070,-0.733935,-0.787455,-0.669941
5Y-3M,0.192177,0.404513,0.584647,0.774659,0.819126,0.842872,0.818438,0.773681,0.701195,0.657372,0.874812,0.977431,1.000000,1.000000,1.000000,1.000000,0.980570,0.790594,0.735282,0.818615,0.985181,1.000000,1.000000,0.852254,0.746767,0.348128,0.261002,0.977974,0.983039,0.937035,0.591415,0.424183,-0.018814,-0.090856,0.469512,0.303589,-0.191577,-0.282185,-0.447508,-0.487914,0.118314,-0.295578,-0.388869,-0.521605,-0.560090,-0.518116,-0.551047,-0.668677,-0.697976,-0.393025,-0.729632,-0.758578,-0.643200,-0.696505,-0.617230
7Y-3M,0.163100,0.375354,0.553834,0.740242,0.801485,0.860358,0.874199,0.854345,0.803440,0.766733,0.836539,0.906087,0.954549,0.975666,1.000000,1.000000,1.000000,0.908469,0.870982,0.740127,0.905666,0.929524,0.980503,0.927257,0.851612,0.534870,0.458951,0.919327,0.932416,0.954910,0.746324,0.602016,0.179846,0.110324,0.472647,0.462839,-0.000485,-0.097514,-0.285750,-0.320344,0.249335,-0.114024,-0.202137,-0.353315,-0.384752,-0.333644,-0.371818,-0.492655,-0.516087,-0.293084,-0.571684,-0.593571,-0.507503,-0.546237,-0.491356
10Y-3M,0.140171,0.338208,0.506766,0.684293,0.753567,0.833157,0.867489,0.880652,0.845452,0.815897,0.804351,0.862863,0.902877,0.928422,0.980570,1.000000,1.000000,0.927168,0.895272,0.706161,0.863342,0.894827,0.952694,0.931464,0.905566,0.575944,0.504113,0.883261,0.909258,0.940767,0.771131,0.684000,0.228121,0.161094,0.502779,0.485781,0.044807,-0.000179,-0.232132,-0.264217,0.248820,-0.073648,-0.106293,-0.298544,-0.327816,-0.265658,-0.245194,-0.423231,-0.447118,-0.117110,-0.511228,-0.533970,-0.509474,-0.539085,-0.459817
20Y-3M,0.095093,0.285299,0.439358,0.601439,0.682461,0.789152,0.851737,0.894701,0.920546,0.905303,0.655789,0.658211,0.683785,0.700395,0.790594,0.908469,0.927168,1.000000,1.000000,0.490764,0.639925,0.664031,0.792387,0.917708,0.896015,0.812675,0.764067,0.688587,0.709383,0.864014,0.908037,0.814634,0.545431,0.485542,0.399939,0.719287,0.354696,0.248081,0.088914,0.061297,0.509399,0.246792,0.164118,0.038736,0.014650,0.026121,-0.027431,-0.085492,-0.104662,-0.111700,-0.162080,-0.183370,-0.122572,-0.151271,-0.233899
30Y-3M,0.077854,0.261560,0.404246,0.557122,0.639588,0.751806,0.822722,0.873855,0.910031,0.916767,0.617076,0.602684,0.622655,0.636933,0.735282,0.870982,0.895272,1.000000,1.000000,0.434295,0.579612,0.601221,0.743357,0.898309,0.884916,0.837078,0.804500,0.636352,0.654201,0.832487,0.919788,0.834844,0.590853,0.544384,0.361037,0.745835,0.406388,0.299131,0.146026,0.129636,0.551175,0.307992,0.226192,0.104253,0.090669,0.090660,0.033903,-0.016186,-0.024657,-0.080938,-0.096278,-0.103511,-0.059118,-0.070011,-0.128022
1Y-6M,0.131665,0.204842,0.575379,0.607019,0.595009,0.552775,0.515741,0.469687,0.406467,0.369547,0.564716,0.872586,0.857291,0.850687,0.818615,0.740127,0.706161,0.490764,0.434295,1.000000,0.939958,0.922188,0.865628,0.705786,0.623679,0.221027,0.136712,0.751790,0.732663,0.618849,0.278258,0.154707,-0.260910,-0.322187,0.284543,-0.006986,-0.389840,-0.424938,-0.573914,-0.602841,-0.144775,-0.458379,-0.495590,-0.614423,-0.640006,-0.569523,-0.552605,-0.684155,-0.704864,-0.328660,-0.723658,-0.746501,-0.664553,-0.705577,-0.600827
2Y-6M,0.135658,0.247688,0.510938,0.755145,0.752470,0.714296,0.664814,0.606601,0.523292,0.477107,0.729701,0.934475,1.000000,1.000000,0.985181,0.905666,0.863342,0.639925,0.579612,0.939958,1.000000,1.000000,0.990050,0.816272,0.716204,0.278790,0.186419,0.979777,0.948850,0.845081,0.477376,0.321653,-0.157408,-0.230112,0.382991,0.134878,-0.343990,-0.407790,-0.588029,-0.622792,-0.044808,-0.438916,-0.501334,-0.645096,-0.676165,-0.613467,-0.611655,-0.752814,-0.776744,-0.393333,-0.802885,-0.827408,-0.729144,-0.774198,-0.653852
3Y-6M,0.144384,0.257190,0.502677,0.740798,0.787011,0.763069,0.721031,0.665598,0.584033,0.537363,0.732461,0.924200,1.000000,1.000000,1.000000,0.929524,0.894827,0.664031,0.601221,0.922188,1.000000,1.000000,1.000000,0.836155,0.745668,0.299200,0.204282,0.973338,0.989291,0.870489,0.504349,0.360039,-0.127370,-0.202488,0.522585,0.173601,-0.300749,-0.355448,-0.547004,-0.586118,-0.070249,-0.428280,-0.478045,-0.625917,-0.661349,-0.580201,-0.570454,-0.729543,-0.759005,-0.346760,-0.788468,-0.819527,-0.730249,-0.781295,-0.677649
5Y-6M,0.142258,0.249922,0.479242,0.717935,0.781914,0.826151,0.809684,0.772015,0.702726,0.658181,0.728312,0.883664,0.955959,0.976996,1.000000,0.980503,0.952694,0.792387,0.743357,0.865628,0.990050,1.000000,1.000000,0.931577,0.842932,0.470475,0.384567,0.959655,0.964529,0.957445,0.659605,0.503416,0.053325,-0.019076,0.452980,0.377950,-0.136489,-0.223791,-0.400792,-0.436536,0.181279,-0.239136,-0.322570,-0.463594,-0.497081,-0.467050,-0.487580,-0.604259,-0.630044,-0.341019,-0.666384,-0.693787,-0.588973,-0.636389,-0.585186
7Y-6M,0.107685,0.212457,0.439724,0.674591,0.759218,0.845866,0.875918,0.871072,0.832476,0.798895,0.596362,0.710478,0.767708,0.784417,0.852254,0.927257,0.931464,0.917708,0.898309,0.705786,0.816272,0.836155,0.931577,1.000000,0.968173,0.764316,0.700329,0.807436,0.822314,0.920818,0.875430,0.766592,0.390934,0.324219,0.434375,0.619119,0.208744,0.111083,-0.096065,-0.125164,0.390356,0.090026,0.014620,-0.152857,-0.177278,-0.127393,-0.162570,-0.279414,-0.296737,-0.165508,-0.366729,-0.383472,-0.334644,-0.359126,-0.348325
10Y-6M,0.084459,0.169382,0.379967,0.599180,0.690811,0.799185,0.850456,0.884215,0.865945,0.842234,0.503943,0.607237,0.656721,0.678406,0.746767,0.851612,0.905566,0.896015,0.884916,0.623679,0.716204,0.745668,0.842932,0.968173,1.000000,0.806648,0.751445,0.710255,0.743169,0.847946,0.880890,0.864845,0.467499,0.405718,0.463803,0.634083,0.299154,0.279388,0.010722,-0.016723,0.380197,0.172128,0.179074,-0.048276,-0.071106,0.002789,0.049161,-0.151509,-0.170044,0.108186,-0.249709,-0.267816,-0.318716,-0.330162,-0.279716
20Y-6M,0.064216,0.119647,0.289217,0.469518,0.562059,0.688116,0.763023,0.829177,0.882672,0.879963,0.132533,0.184194,0.229059,0.241370,0.348128,0.534870,0.575944,0.812675,0.837078,0.221027,0.278790,0.299200,0.470475,0.764316,0.806648,1.000000,0.994824,0.289927,0.317759,0.561706,0.892584,0.886446,0.873401,0.832479,0.267423,0.834065,0.753770,0.656603,0.549319,0.519519,0.696323,0.665426,0.593736,0.499663,0.473109,0.488780,0.401510,0.392025,0.370779,0.125146,0.317386,0.294627,0.292776,0.272837,0.091414
30Y-6M,0.049695,0.092202,0.243751,0.409037,0.500187,0.628273,0.709435,0.782301,0.845559,0.867821,0.059566,0.096232,0.137642,0.148390,0.261002,0.458951,0.504113,0.764067,0.804500,0.136712,0.186419,0.204282,0.384567,0.700329,0.751445,0.994824,1.000000,0.203361,0.227935,0.489203,0.862556,0.869708,0.904315,0.881974,0.210257,0.829059,0.804469,0.710358,0.620816,0.603195,0.725713,0.733244,0.662486,0.579303,0.563479,0.568563,0.474199,0.476010,0.465896,0.161757,0.398340,0.391666,0.370013,0.369464,0.226338
2Y-1Y,0.113403,0.227754,0.379788,0.708567,0.719863,0.699742,0.657226,0.602820,0.524505,0.478663,0.787767,0.877728,0.984298,0.981818,0.977974,0.919327,0.883261,0.688587,0.636352,0.751790,0.979777,0.973338,0.959655,0.807436,0.710255,0.289927,0.203361,1.000000,0.994222,0.927694,0.585775,0.423486,-0.071262,-0.142782,0.397573,0.235028,-0.295065,-0.369076,-0.555509,-0.583784,0.033599,-0.395108,-0.461475,-0.606453,-0.630797,-0.592552,-0.589533,-0.718090,-0.735723,-0.385603,-0.767577,-0.785639,-0.686588,-0.723229,-0.608206
3Y-1Y,0.113126,0.226928,0.382367,0.686538,0.756512,0.752556,0.719430,0.669549,0.593287,0.547355,0.773657,0.860368,0.956034,0.989329,0.983039,0.932416,0.909258,0.709383,0.654201,0.732663,0.948850,0.989291,0.964529,0.822314,0.743169,0.317759,0.227935,0.994222,1.000000,0.939351,0.612639,0.472416,-0.029767,-0.105208,0.604093,0.287125,-0.230355,-0.288650,-0.494653,-0.529186,-0.018920,-0.381944,-0.425477,-0.577106,-0.606858,-0.537940,-0.520076,-0.675666,-0.700637,-0.308454,-0.736005,-0.763198,-0.682258,-0.726106,-0.635767
