,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.560288,0.289085,0.207489,0.172187,0.144089,0.126688,0.129764,0.123725,0.133167,0.202658,0.137205,0.121524,0.097524,0.081186,0.063562,0.065661,0.048362,0.051147,0.099265,0.100602,0.075674,0.060917,0.040617,0.042474,0.017305,0.016985,0.099381,0.060133,0.042553,0.014683,0.016316,-0.026166,-0.029223,-0.041439,-0.017536,-0.063771,-0.055690,-0.132260,-0.109428,-0.001804,-0.073102,-0.055974,-0.137823,-0.099492,-0.262633,-0.103077,-0.151533,-0.096577,0.008235,-0.096524,-0.059957,-0.144226,-0.077627,-0.006662
6M-1M,0.560288,1.000000,0.933327,0.888887,0.876016,0.859080,0.846191,0.833538,0.815882,0.762278,0.924657,0.875014,0.852057,0.842231,0.829447,0.815539,0.802453,0.778557,0.721595,0.828373,0.822822,0.816259,0.805538,0.788368,0.770426,0.732015,0.647783,0.799887,0.787930,0.762540,0.733094,0.692259,0.593083,0.414838,0.669374,0.623340,0.549108,0.438350,0.117292,-0.128958,0.573529,0.453908,0.283771,-0.171520,-0.351072,-0.199160,-0.244385,-0.656760,-0.632590,-0.201248,-0.682004,-0.644721,-0.819439,-0.720473,-0.538046
1Y-1M,0.289085,0.933327,1.000000,0.985806,0.975356,0.946069,0.934113,0.909306,0.885155,0.808281,0.970516,0.987914,0.974537,0.963327,0.934405,0.921325,0.896311,0.868944,0.790471,0.974262,0.961706,0.950788,0.918844,0.902444,0.870626,0.828925,0.718559,0.930130,0.912408,0.857677,0.828554,0.766740,0.653332,0.431523,0.765768,0.672010,0.597214,0.449289,0.082981,-0.208778,0.590336,0.472470,0.254440,-0.257025,-0.464868,-0.185674,-0.322523,-0.765347,-0.752547,-0.305817,-0.807795,-0.775469,-0.918684,-0.841448,-0.663563
2Y-1M,0.207489,0.888887,0.985806,1.000000,0.995488,0.969944,0.958559,0.933219,0.909680,0.832433,0.955490,0.986439,0.996202,0.989904,0.963670,0.951133,0.925674,0.899846,0.821585,0.980017,0.991749,0.985260,0.954882,0.939045,0.906729,0.868011,0.758072,0.978581,0.962484,0.904711,0.875932,0.812658,0.704405,0.479981,0.814062,0.711305,0.635610,0.482141,0.112360,-0.189609,0.622625,0.503374,0.276563,-0.244560,-0.460799,-0.177242,-0.324694,-0.777765,-0.764808,-0.312923,-0.824115,-0.790001,-0.936531,-0.856675,-0.674451
3Y-1M,0.172187,0.876016,0.975356,0.995488,1.000000,0.987563,0.979841,0.958205,0.938082,0.866504,0.956503,0.981342,0.994766,0.997161,0.983673,0.974801,0.953111,0.931123,0.858848,0.971794,0.989754,0.993664,0.977711,0.966043,0.938027,0.904428,0.801384,0.981526,0.980226,0.939403,0.915966,0.857851,0.758840,0.540612,0.865497,0.771630,0.702134,0.551156,0.189628,-0.121728,0.686589,0.575022,0.345893,-0.176683,-0.407458,-0.122227,-0.280907,-0.754425,-0.744731,-0.286942,-0.813336,-0.777606,-0.941122,-0.851540,-0.661048
5Y-1M,0.144089,0.859080,0.946069,0.969944,0.987563,1.000000,0.997791,0.987262,0.973318,0.914359,0.949398,0.955588,0.971349,0.986743,0.997996,0.994655,0.984177,0.968731,0.909403,0.936732,0.962806,0.982713,0.995310,0.989959,0.974801,0.949828,0.861935,0.961564,0.983421,0.978001,0.962763,0.921305,0.839217,0.637561,0.924219,0.860957,0.800888,0.667813,0.326659,0.005587,0.792360,0.691286,0.475977,-0.041219,-0.295124,-0.039387,-0.179392,-0.690049,-0.687888,-0.203404,-0.764263,-0.730432,-0.935291,-0.825954,-0.620595
7Y-1M,0.126688,0.846191,0.934113,0.958559,0.979841,0.997791,1.000000,0.991863,0.981996,0.929640,0.942160,0.946034,0.961345,0.980272,0.996884,0.997989,0.989936,0.978791,0.926246,0.926170,0.952289,0.976468,0.995189,0.994940,0.982577,0.963008,0.883135,0.951319,0.979821,0.982194,0.973838,0.936006,0.862744,0.670620,0.937067,0.878378,0.829211,0.699448,0.370923,0.051616,0.812105,0.726876,0.512659,0.005381,-0.251782,0.027078,-0.137067,-0.654373,-0.655357,-0.185216,-0.742839,-0.706591,-0.918678,-0.803548,-0.595726
10Y-1M,0.129764,0.833538,0.909306,0.933219,0.958205,0.987262,0.991863,1.000000,0.996127,0.961138,0.925787,0.919868,0.935359,0.958178,0.986083,0.989606,0.997926,0.992781,0.957730,0.895409,0.924396,0.953500,0.985391,0.987931,0.994390,0.982560,0.923366,0.926310,0.961935,0.981456,0.976866,0.964338,0.905257,0.738894,0.938407,0.900938,0.856874,0.764731,0.457038,0.149608,0.847369,0.767929,0.599860,0.107025,-0.151042,0.063112,-0.020587,-0.570211,-0.574395,-0.058598,-0.658392,-0.625824,-0.895459,-0.753270,-0.527021
20Y-1M,0.123725,0.815882,0.885155,0.909680,0.938082,0.973318,0.981996,0.996127,1.000000,0.978386,0.907690,0.895856,0.912013,0.938309,0.972424,0.980065,0.994420,0.997139,0.975612,0.868813,0.900137,0.933512,0.972585,0.979868,0.993301,0.991171,0.948071,0.904435,0.946267,0.974874,0.976764,0.973724,0.930562,0.784806,0.939503,0.909866,0.876317,0.797500,0.514891,0.219353,0.860967,0.796697,0.643436,0.175219,-0.079387,0.124528,0.043091,-0.505563,-0.511029,-0.011125,-0.602999,-0.568112,-0.852852,-0.700392,-0.471449
30Y-1M,0.133167,0.762278,0.808281,0.832433,0.866504,0.914359,0.929640,0.961138,0.978386,1.000000,0.839977,0.814784,0.832793,0.865270,0.912436,0.926787,0.958596,0.974664,0.996608,0.782524,0.819314,0.860266,0.914461,0.929531,0.963187,0.977996,0.986882,0.829731,0.882436,0.930796,0.943581,0.968641,0.955886,0.879947,0.909182,0.901040,0.885993,0.850713,0.622625,0.386236,0.866059,0.828349,0.728868,0.317237,0.102790,0.224213,0.197237,-0.352047,-0.335090,0.129332,-0.458499,-0.396138,-0.754491,-0.542422,-0.278894
6M-3M,0.202658,0.924657,0.970516,0.955490,0.956503,0.949398,0.942160,0.925787,0.907690,0.839977,1.000000,0.971400,0.951469,0.950886,0.943284,0.934943,0.918508,0.898210,0.829587,0.933702,0.926526,0.930226,0.924336,0.913369,0.891304,0.857464,0.758028,0.899971,0.903880,0.881945,0.859945,0.810917,0.713198,0.503874,0.810414,0.745001,0.678497,0.543838,0.199472,-0.102152,0.678879,0.570237,0.361220,-0.139416,-0.369312,-0.114714,-0.241534,-0.706785,-0.703475,-0.241710,-0.761919,-0.734652,-0.902470,-0.816087,-0.633038
1Y-3M,0.137205,0.875014,0.987914,0.986439,0.981342,0.955588,0.946034,0.919868,0.895856,0.814784,0.971400,1.000000,0.988698,0.980984,0.953704,0.943023,0.916801,0.891285,0.809636,0.992017,0.978809,0.971548,0.940884,0.927202,0.893979,0.854904,0.740758,0.946334,0.934352,0.880567,0.854946,0.790721,0.680253,0.451239,0.799067,0.698183,0.628276,0.473906,0.107277,-0.198309,0.611125,0.500712,0.272338,-0.243633,-0.464899,-0.149596,-0.317031,-0.767385,-0.763039,-0.317769,-0.820215,-0.792686,-0.927230,-0.858095,-0.685525
2Y-3M,0.121524,0.852057,0.974537,0.996202,0.994766,0.971349,0.961345,0.935359,0.912013,0.832793,0.951469,0.988698,1.000000,0.995746,0.970581,0.959429,0.933409,0.908742,0.829085,0.985559,0.997344,0.992978,0.963469,0.949206,0.916251,0.879205,0.767681,0.984092,0.971251,0.914196,0.887476,0.823128,0.717067,0.489623,0.829693,0.723301,0.650610,0.494171,0.125781,-0.182651,0.631920,0.517265,0.285602,-0.235880,-0.458703,-0.156465,-0.320282,-0.775687,-0.767432,-0.318246,-0.827614,-0.796254,-0.937433,-0.862333,-0.683752
3Y-3M,0.097524,0.842231,0.963327,0.989904,0.997161,0.986743,0.980272,0.958178,0.938309,0.865270,0.950886,0.980984,0.995746,1.000000,0.987621,0.980005,0.957931,0.937039,0.863804,0.974238,0.992281,0.998137,0.983147,0.972911,0.944464,0.912441,0.808359,0.984062,0.985748,0.945848,0.924299,0.865459,0.768674,0.548427,0.877599,0.780936,0.714256,0.561102,0.201695,-0.114620,0.693815,0.586546,0.353742,-0.167972,-0.404059,-0.103413,-0.275927,-0.750629,-0.745036,-0.290534,-0.814354,-0.781050,-0.939812,-0.854397,-0.667363
5Y-3M,0.081186,0.829447,0.934405,0.963670,0.983673,0.997996,0.996884,0.986083,0.972424,0.912436,0.943284,0.953704,0.970581,0.987621,1.000000,0.997762,0.987074,0.972622,0.912689,0.937139,0.963315,0.984959,0.998591,0.994499,0.979113,0.955569,0.867063,0.962141,0.986666,0.982331,0.968765,0.926904,0.846940,0.644026,0.933532,0.868285,0.810739,0.676188,0.337471,0.012624,0.798188,0.700945,0.482988,-0.032704,-0.290890,-0.022878,-0.174094,-0.685335,-0.686672,-0.205397,-0.763601,-0.731865,-0.932812,-0.826945,-0.624643
7Y-3M,0.063562,0.815539,0.921325,0.951133,0.974801,0.994655,0.997989,0.989606,0.980065,0.926787,0.934943,0.943023,0.959429,0.980005,0.997762,1.000000,0.991764,0.981656,0.928613,0.925462,0.951655,0.977574,0.997351,0.998398,0.985842,0.967761,0.887423,0.950757,0.981940,0.985451,0.978825,0.940659,0.869665,0.676567,0.945416,0.884843,0.838331,0.707262,0.381630,0.058922,0.817162,0.735969,0.519355,0.014220,-0.246956,0.044024,-0.131314,-0.648672,-0.653173,-0.186869,-0.741191,-0.707059,-0.915052,-0.803477,-0.598924
