,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.784216,0.636627,0.472869,0.417311,0.380368,0.364227,0.354111,0.347085,0.348360,0.181147,0.147668,0.152159,0.158994,0.171771,0.173849,0.162423,0.073138,0.132880,0.121438,0.115948,0.124448,0.133677,0.130648,0.111915,0.050112,0.067822,0.105824,0.104243,0.104963,0.098026,0.072072,0.034566,0.026035,0.074241,0.053421,0.033373,-0.000282,-0.014681,-0.051442,0.019854,-0.002847,-0.042969,-0.036272,-0.092026,-0.064143,-0.104273,-0.072212,-0.132400,-0.125468,-0.073905,-0.141982,-0.070140,-0.139067,-0.065216
6M-1M,0.784216,1.000000,0.861116,0.673662,0.620222,0.572473,0.551611,0.525443,0.497314,0.488861,0.602650,0.483771,0.397104,0.374935,0.347819,0.323777,0.286178,0.311098,0.222611,0.169798,0.211069,0.214307,0.217279,0.200745,0.161668,0.142265,0.084575,0.202522,0.194371,0.180383,0.156190,0.106616,0.063639,0.022672,0.123319,0.092850,0.057637,0.001643,-0.057274,-0.077924,0.051747,0.013242,-0.050127,-0.122662,-0.123820,-0.055641,-0.124270,-0.183673,-0.169333,-0.149056,-0.207126,-0.182304,-0.185662,-0.173966,-0.156516
1Y-1M,0.636627,0.861116,1.000000,0.922579,0.872955,0.803502,0.758783,0.702097,0.633018,0.595726,0.533930,0.728170,0.590515,0.547307,0.495117,0.463117,0.415398,0.495407,0.338939,0.537101,0.449489,0.420696,0.392879,0.366999,0.317282,0.336540,0.226112,0.324601,0.312872,0.289698,0.265355,0.207631,0.134245,0.104586,0.212733,0.172454,0.136720,0.065949,-0.095655,-0.045099,0.108761,0.068344,-0.014959,-0.219785,-0.118834,-0.028138,-0.121636,-0.342414,-0.192927,-0.181785,-0.396229,-0.228885,-0.347676,-0.227738,-0.331055
2Y-1M,0.472869,0.673662,0.922579,1.000000,1.000000,1.000000,0.971631,0.881143,0.770097,0.707865,0.461773,0.651526,0.789592,0.736586,0.670523,0.628046,0.572971,0.683113,0.483526,0.511786,0.693481,0.643204,0.595914,0.556397,0.496394,0.550383,0.390377,0.652640,0.590149,0.527383,0.482993,0.410757,0.340935,0.287338,0.336019,0.305308,0.264814,0.183516,-0.087231,0.049906,0.226728,0.178388,0.081165,-0.269831,-0.054619,0.038083,-0.073708,-0.479421,-0.181695,-0.183235,-0.558188,-0.248429,-0.490825,-0.258035,-0.497790
3Y-1M,0.417311,0.620222,0.872955,1.000000,1.000000,1.000000,1.000000,0.953883,0.840386,0.775575,0.421112,0.624732,0.773565,0.789385,0.738261,0.702150,0.649846,0.772865,0.556652,0.500070,0.690527,0.708579,0.674867,0.641309,0.583925,0.642905,0.473184,0.658020,0.673346,0.619366,0.577880,0.505506,0.444975,0.372537,0.490446,0.428389,0.379482,0.291421,0.027833,0.141326,0.308121,0.264099,0.165482,-0.205165,0.014312,0.115761,-0.001772,-0.441646,-0.129191,-0.127983,-0.543760,-0.209707,-0.480739,-0.231278,-0.520606
5Y-1M,0.380368,0.572473,0.803502,1.000000,1.000000,1.000000,1.000000,1.000000,0.939303,0.875781,0.379947,0.574215,0.738149,0.783706,0.813082,0.794847,0.751859,0.881721,0.659175,0.477080,0.671724,0.715752,0.758637,0.741220,0.691316,0.767993,0.579181,0.648843,0.694125,0.719335,0.690824,0.622628,0.592394,0.484099,0.542336,0.570706,0.520202,0.426319,0.200387,0.262545,0.481732,0.420080,0.307324,-0.024712,0.137217,0.228785,0.107655,-0.318473,-0.035063,-0.033270,-0.439993,-0.130052,-0.410736,-0.164415,-0.499576
7Y-1M,0.364227,0.551611,0.758783,0.971631,1.000000,1.000000,1.000000,1.000000,0.995601,0.939481,0.355056,0.541825,0.701630,0.762922,0.821261,0.834358,0.802366,0.942861,0.724161,0.461289,0.644211,0.702932,0.772977,0.786022,0.746650,0.835929,0.647413,0.623183,0.686587,0.741365,0.743495,0.684666,0.676539,0.556237,0.564548,0.621246,0.596648,0.505491,0.318260,0.343769,0.541134,0.506733,0.392289,0.105103,0.219405,0.337052,0.197202,-0.176273,0.044846,0.034557,-0.339076,-0.063923,-0.324787,-0.104366,-0.448325
10Y-1M,0.354111,0.525443,0.702097,0.881143,0.953883,1.000000,1.000000,1.000000,1.000000,0.991353,0.327347,0.503387,0.656992,0.728026,0.807368,0.835452,0.839377,0.980936,0.783562,0.440134,0.610382,0.678935,0.768090,0.796270,0.792391,0.887101,0.714946,0.591301,0.667034,0.744368,0.762689,0.740571,0.750123,0.629912,0.572968,0.652615,0.641781,0.583869,0.431733,0.427353,0.582670,0.561046,0.478184,0.237836,0.303489,0.393781,0.292604,-0.030638,0.128577,0.142293,-0.184867,0.021008,-0.232682,-0.040920,-0.372586
20Y-1M,0.347085,0.497314,0.633018,0.770097,0.840386,0.939303,0.995601,1.000000,1.000000,1.000000,0.299350,0.453518,0.590053,0.665847,0.760555,0.806900,0.834514,0.998466,0.834242,0.404732,0.553091,0.626766,0.730160,0.777179,0.797496,0.918672,0.774809,0.539014,0.620844,0.716712,0.757164,0.760266,0.810760,0.700540,0.554466,0.657137,0.669815,0.633794,0.549442,0.515036,0.601290,0.606471,0.540810,0.384353,0.396139,0.456763,0.367826,0.145279,0.226473,0.213711,0.006801,0.120640,-0.026105,0.066584,-0.280700
30Y-1M,0.348360,0.488861,0.595726,0.707865,0.775575,0.875781,0.939481,0.991353,1.000000,1.000000,0.284448,0.426270,0.557140,0.634439,0.730459,0.782509,0.820357,0.974725,0.850306,0.384470,0.523112,0.597631,0.702219,0.755148,0.785908,0.902881,0.795083,0.509708,0.593720,0.691665,0.739116,0.755069,0.811714,0.729095,0.540702,0.646457,0.667077,0.645906,0.587202,0.557344,0.596620,0.611043,0.561479,0.440521,0.442736,0.473854,0.402048,0.219907,0.280502,0.256525,0.085226,0.180710,0.044385,0.131392,-0.138882
