,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.494394,0.305868,0.257493,0.267718,0.238663,0.238338,0.235937,0.222691,0.223229,0.097147,0.128966,0.155034,0.178896,0.154539,0.150701,0.145783,0.124494,0.125136,0.131303,0.159161,0.185756,0.157490,0.152161,0.147404,0.122180,0.123771,0.176360,0.215509,0.168683,0.160013,0.152109,0.108952,0.110094,0.234385,0.120005,0.081604,0.043575,-0.087532,-0.074516,-0.131646,-0.231069,-0.255119,-0.355407,-0.287305,-0.139753,-0.174450,-0.260986,-0.223125,-0.121935,-0.276203,-0.213545,-0.331503,-0.246659,0.009963
6M-1M,0.494394,1.000000,0.863364,0.778906,0.764731,0.759428,0.739432,0.759101,0.754023,0.773005,0.913155,0.805507,0.742837,0.734188,0.728990,0.707239,0.726131,0.716923,0.736319,0.638717,0.638609,0.641485,0.643933,0.610524,0.633269,0.612487,0.639807,0.613147,0.625687,0.631885,0.574820,0.606155,0.560382,0.598186,0.461101,0.525973,0.327423,0.323067,0.063025,0.126149,0.449598,-0.068760,-0.058260,-0.396466,-0.239739,-0.709219,-0.479110,-0.608476,-0.444187,-0.005454,-0.444262,-0.248497,-0.685550,-0.369996,0.267796
1Y-1M,0.305868,0.863364,1.000000,0.975266,0.970950,0.969296,0.960570,0.963896,0.959341,0.958733,0.845114,0.983570,0.963994,0.962580,0.959149,0.949666,0.952424,0.945149,0.944600,0.939691,0.922885,0.923752,0.924774,0.906111,0.913531,0.899875,0.905335,0.872033,0.888255,0.894752,0.858084,0.862811,0.822389,0.820359,0.651174,0.738645,0.561482,0.461078,0.141017,0.125060,0.624805,0.131980,-0.073233,-0.492958,-0.401916,-0.670913,-0.656879,-0.791567,-0.685207,-0.312665,-0.709044,-0.556726,-0.851293,-0.646236,0.002959
2Y-1M,0.257493,0.778906,0.975266,1.000000,0.990132,0.987564,0.981874,0.976599,0.969699,0.960662,0.771095,0.966981,0.994517,0.986737,0.982004,0.975798,0.969924,0.960634,0.951502,0.959223,0.980021,0.969305,0.967299,0.953077,0.951371,0.937251,0.932727,0.958648,0.949210,0.949336,0.920087,0.910849,0.870755,0.851645,0.637774,0.729925,0.562385,0.423307,0.087625,0.047722,0.627787,0.158063,-0.124590,-0.547792,-0.482863,-0.638913,-0.718998,-0.844226,-0.766552,-0.438861,-0.796128,-0.668570,-0.885703,-0.737520,-0.111899
3Y-1M,0.267718,0.764731,0.970950,0.990132,1.000000,0.997345,0.995262,0.991957,0.986576,0.978202,0.750069,0.960546,0.983321,0.995848,0.991053,0.988486,0.984593,0.976766,0.968310,0.962251,0.972407,0.984867,0.982333,0.972504,0.973445,0.961741,0.958180,0.942353,0.972365,0.970835,0.948767,0.944178,0.909569,0.891705,0.739419,0.807618,0.657515,0.524422,0.194594,0.144430,0.633394,0.195971,-0.081550,-0.515407,-0.453492,-0.594145,-0.674362,-0.817046,-0.740121,-0.416784,-0.783100,-0.654836,-0.883110,-0.730312,-0.102662
5Y-1M,0.238663,0.759428,0.969296,0.987564,0.997345,1.000000,0.998323,0.996575,0.992535,0.986442,0.757623,0.964333,0.983840,0.995882,0.996319,0.994272,0.992038,0.985799,0.979663,0.963322,0.970938,0.983133,0.986776,0.977480,0.980364,0.970477,0.969736,0.938797,0.968883,0.977088,0.955936,0.954547,0.923421,0.910113,0.737165,0.828311,0.680425,0.553357,0.228823,0.182819,0.688061,0.252972,-0.024230,-0.469022,-0.405774,-0.589982,-0.658143,-0.802927,-0.718190,-0.396508,-0.766389,-0.629923,-0.873358,-0.705215,-0.071475
7Y-1M,0.238338,0.739432,0.960570,0.981874,0.995262,0.998323,1.000000,0.997783,0.995078,0.988520,0.734879,0.955306,0.978059,0.993786,0.994642,0.996008,0.993299,0.988421,0.981811,0.963571,0.970299,0.986031,0.989787,0.984639,0.987183,0.979435,0.978185,0.937433,0.973398,0.981596,0.967025,0.965279,0.938243,0.923961,0.753051,0.841297,0.708912,0.579443,0.261190,0.209680,0.691000,0.290382,0.001718,-0.443821,-0.387165,-0.542258,-0.630829,-0.781019,-0.701161,-0.403579,-0.761950,-0.628812,-0.860816,-0.699246,-0.077787
10Y-1M,0.235937,0.759101,0.963896,0.976599,0.991957,0.996575,0.997783,1.000000,0.998644,0.995325,0.758526,0.959225,0.972926,0.990637,0.993076,0.993973,0.995782,0.992295,0.988983,0.955310,0.957588,0.976805,0.982831,0.976930,0.984524,0.977925,0.980594,0.921471,0.963807,0.975543,0.959884,0.966271,0.941734,0.933963,0.760223,0.852495,0.718870,0.608249,0.296123,0.252129,0.705368,0.300560,0.045262,-0.406294,-0.342581,-0.547807,-0.593634,-0.753710,-0.663741,-0.341797,-0.722542,-0.581120,-0.848978,-0.665168,-0.033554
20Y-1M,0.222691,0.754023,0.959341,0.969699,0.986576,0.992535,0.995078,0.998644,1.000000,0.997311,0.758924,0.956992,0.967304,0.986394,0.990134,0.992437,0.995652,0.995028,0.992356,0.951805,0.950732,0.971764,0.979345,0.975064,0.984278,0.981055,0.984506,0.912056,0.957922,0.972149,0.959061,0.968102,0.949531,0.943005,0.763797,0.859520,0.732746,0.628002,0.328332,0.282784,0.716057,0.326240,0.077052,-0.368545,-0.309025,-0.526893,-0.566664,-0.724238,-0.635520,-0.322244,-0.694024,-0.555437,-0.820314,-0.638474,-0.024947
30Y-1M,0.223229,0.773005,0.958733,0.960662,0.978202,0.986442,0.988520,0.995325,0.997311,1.000000,0.780405,0.956257,0.958007,0.977792,0.983888,0.985712,0.992223,0.992237,0.995038,0.938011,0.933623,0.956689,0.967450,0.962426,0.975223,0.972221,0.982133,0.892829,0.942440,0.961610,0.947506,0.962390,0.944787,0.949087,0.761186,0.865233,0.737763,0.647374,0.352308,0.323247,0.734758,0.342516,0.117012,-0.334985,-0.258530,-0.529925,-0.537581,-0.702929,-0.594258,-0.275259,-0.663951,-0.504114,-0.811151,-0.589943,0.048379
