,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.790574,0.640391,0.465367,0.420536,0.382195,0.366732,0.358160,0.353112,0.356009,0.155187,0.145126,0.162445,0.166276,0.174264,0.169079,0.152607,0.078952,0.113582,0.106879,0.123017,0.125388,0.136713,0.130473,0.107721,0.052231,0.053951,0.114300,0.105665,0.108431,0.098065,0.066789,0.037367,0.009667,0.058028,0.043962,0.025496,-0.012566,0.001357,-0.071156,0.021842,0.000829,-0.046487,-0.032914,-0.102408,-0.027916,-0.094035,-0.066049,-0.125268,-0.135324,-0.066281,-0.147283,-0.068514,-0.122457,-0.058753
6M-1M,0.790574,1.000000,0.850805,0.673983,0.605075,0.556129,0.530533,0.502111,0.474156,0.464794,0.609359,0.492678,0.381425,0.368742,0.354394,0.343515,0.317285,0.281872,0.268530,0.179930,0.201475,0.214524,0.225334,0.216974,0.188253,0.110427,0.124311,0.182626,0.188649,0.185545,0.171418,0.132314,0.040434,0.057826,0.143585,0.104816,0.072780,0.020878,-0.087716,-0.061652,0.052878,0.015888,-0.047731,-0.132295,-0.127781,-0.034332,-0.135606,-0.189765,-0.194591,-0.170154,-0.199425,-0.219421,-0.172142,-0.216253,-0.153353
1Y-1M,0.640391,0.850805,1.000000,0.910841,0.842771,0.767209,0.719851,0.663948,0.598096,0.562383,0.564826,0.720131,0.571606,0.551767,0.522735,0.503025,0.468428,0.458187,0.400921,0.578594,0.434992,0.431584,0.418362,0.398530,0.359525,0.303309,0.274702,0.314950,0.328797,0.317223,0.294354,0.246481,0.095210,0.145692,0.258231,0.205761,0.153245,0.087401,-0.121448,-0.035464,0.124928,0.057560,-0.019547,-0.222440,-0.139862,-0.068007,-0.165829,-0.332050,-0.259694,-0.187253,-0.375007,-0.275619,-0.322627,-0.302867,-0.315344
2Y-1M,0.465367,0.673983,0.910841,1.000000,1.000000,0.994112,0.918235,0.831823,0.730535,0.675221,0.482094,0.664601,0.766741,0.747394,0.714621,0.680071,0.635309,0.652141,0.545123,0.581882,0.687708,0.673156,0.645375,0.606936,0.553798,0.506190,0.443641,0.629649,0.612997,0.572190,0.524852,0.458566,0.306383,0.328753,0.403991,0.362580,0.282179,0.202916,-0.108931,0.051089,0.263641,0.156591,0.071296,-0.269667,-0.085343,-0.088538,-0.152841,-0.447205,-0.281689,-0.162242,-0.535108,-0.287197,-0.458224,-0.359795,-0.475074
3Y-1M,0.420536,0.605075,0.842771,1.000000,1.000000,1.000000,0.999026,0.911986,0.805945,0.745577,0.470220,0.654631,0.777250,0.804208,0.782318,0.752529,0.710189,0.730298,0.619207,0.579921,0.706847,0.741435,0.721718,0.687944,0.635993,0.608782,0.523633,0.654892,0.693812,0.657912,0.614706,0.548143,0.420659,0.413667,0.547180,0.478646,0.395443,0.310525,0.022882,0.147257,0.331434,0.231333,0.147686,-0.193966,-0.019362,-0.038558,-0.089421,-0.406210,-0.229478,-0.116118,-0.514357,-0.244251,-0.452556,-0.326919,-0.500341
5Y-1M,0.382195,0.556129,0.767209,0.994112,1.000000,1.000000,1.000000,1.000000,0.912231,0.849993,0.448240,0.623427,0.765928,0.808533,0.840853,0.829245,0.797041,0.843937,0.712182,0.553554,0.708417,0.758294,0.792774,0.776657,0.734137,0.738555,0.626071,0.671357,0.725672,0.745544,0.718111,0.657979,0.577823,0.523053,0.589728,0.602293,0.528604,0.440502,0.213974,0.270068,0.483625,0.388066,0.292897,-0.000467,0.113293,0.054213,0.018809,-0.279695,-0.129824,-0.032660,-0.408320,-0.162922,-0.380536,-0.257537,-0.480049
7Y-1M,0.366732,0.530533,0.719851,0.918235,0.999026,1.000000,1.000000,1.000000,0.974758,0.919988,0.437157,0.598261,0.738018,0.788689,0.842206,0.856632,0.837058,0.911483,0.765012,0.529971,0.684693,0.743942,0.799621,0.810515,0.779871,0.817158,0.683026,0.654631,0.719153,0.760733,0.760592,0.710429,0.672465,0.583685,0.604586,0.644830,0.601811,0.516837,0.338760,0.348971,0.534273,0.477067,0.379769,0.134564,0.199278,0.164467,0.123389,-0.141681,-0.033461,0.028762,-0.305116,-0.094883,-0.294377,-0.190527,-0.428316
10Y-1M,0.358160,0.502111,0.663948,0.831823,0.911986,1.000000,1.000000,1.000000,1.000000,0.975133,0.412198,0.560943,0.698229,0.754609,0.824630,0.855723,0.865461,0.953742,0.814737,0.497660,0.651427,0.716414,0.789670,0.818153,0.817372,0.874163,0.741031,0.627265,0.698290,0.760241,0.778646,0.759008,0.750587,0.648240,0.603597,0.668639,0.645447,0.589978,0.457931,0.426740,0.571344,0.534498,0.464569,0.270777,0.281107,0.241115,0.231975,0.006285,0.060760,0.131509,-0.152227,-0.008407,-0.197314,-0.126602,-0.349657
20Y-1M,0.353112,0.474156,0.598096,0.730535,0.805945,0.912231,0.974758,1.000000,1.000000,1.000000,0.377961,0.504741,0.627932,0.688896,0.774562,0.823540,0.852761,0.976907,0.854073,0.448527,0.587863,0.657552,0.746761,0.794661,0.814476,0.912174,0.790290,0.571759,0.647439,0.728476,0.769573,0.771340,0.814475,0.709204,0.579842,0.668632,0.674043,0.636169,0.574273,0.511044,0.589435,0.586813,0.527188,0.415773,0.375452,0.333085,0.319677,0.183086,0.174053,0.195649,0.036545,0.093486,0.005729,-0.002873,-0.258954
30Y-1M,0.356009,0.464794,0.562383,0.675221,0.745577,0.849993,0.919988,0.975133,1.000000,1.000000,0.362547,0.474965,0.593072,0.654258,0.742735,0.797341,0.834004,0.956035,0.862438,0.419089,0.553844,0.624169,0.716466,0.770908,0.798727,0.900328,0.803371,0.540130,0.616879,0.701372,0.749893,0.762032,0.817536,0.730938,0.563666,0.656187,0.672902,0.646062,0.610799,0.550995,0.584409,0.596731,0.547933,0.471168,0.423475,0.366138,0.361648,0.258944,0.238412,0.231659,0.113686,0.152847,0.075231,0.070920,-0.117207
