,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.691598,0.520789,0.438894,0.447552,0.353499,0.367695,0.352546,0.399985,0.385322,-0.415674,-0.504457,-0.311289,-0.050337,0.033786,0.142966,0.168701,0.283301,0.272132,-0.163103,-0.066802,0.135620,0.152124,0.229753,0.239977,0.332997,0.320308,0.074975,0.214084,0.196434,0.253946,0.259814,0.338055,0.325219,0.248643,0.218496,0.278414,0.281694,0.357389,0.341717,0.145571,0.263069,0.266726,0.358027,0.338910,0.325068,0.296089,0.385690,0.359124,0.206942,0.393064,0.355091,0.415755,0.366061,0.004757
6M-1M,0.691598,1.000000,0.459821,0.540607,0.544181,0.483245,0.479153,0.470486,0.534850,0.537681,0.369445,-0.248099,0.035442,0.227256,0.278466,0.338185,0.355419,0.466129,0.471001,-0.518218,-0.205933,0.073726,0.188678,0.274685,0.304601,0.435137,0.442437,0.244538,0.351863,0.351219,0.382112,0.392076,0.482393,0.486711,0.294719,0.334103,0.374983,0.389977,0.486926,0.490224,0.304340,0.374059,0.387067,0.496786,0.498154,0.375811,0.380752,0.509401,0.506718,0.316038,0.539476,0.529398,0.557529,0.543056,0.237472
1Y-1M,0.520789,0.459821,1.000000,0.542496,0.409755,0.274157,0.207282,0.206074,0.158171,0.146689,-0.091004,0.474387,0.169898,0.171101,0.113815,0.091261,0.111528,0.095077,0.085432,0.521182,0.247186,0.223532,0.145032,0.112018,0.128981,0.106564,0.096496,-0.205802,-0.080230,-0.043162,-0.022082,0.017761,0.031792,0.024982,0.073732,0.048919,0.042274,0.075631,0.069288,0.060105,0.015317,0.022260,0.069103,0.064201,0.053825,0.024845,0.088481,0.071877,0.058861,0.147358,0.086829,0.067936,0.050279,0.031350,-0.056653
2Y-1M,0.438894,0.540607,0.542496,1.000000,0.799536,0.741368,0.676491,0.683478,0.613160,0.592790,0.116085,0.096107,0.717272,0.651476,0.641151,0.610972,0.630969,0.582244,0.561236,0.002917,0.711914,0.640562,0.640557,0.605811,0.627877,0.580505,0.560524,0.710428,0.587245,0.592260,0.564443,0.593766,0.551053,0.532214,0.207930,0.410800,0.437411,0.499691,0.483973,0.465159,0.521904,0.503111,0.557020,0.511124,0.486517,0.405562,0.503821,0.471536,0.442307,0.526684,0.477458,0.435561,0.392446,0.351073,0.029011
3Y-1M,0.447552,0.544181,0.409755,0.799536,1.000000,0.957244,0.922694,0.906883,0.849869,0.827875,0.109447,-0.047077,0.498543,0.870596,0.868819,0.870852,0.864527,0.828762,0.805257,-0.128361,0.475753,0.876805,0.881445,0.874627,0.868297,0.832258,0.810106,0.588111,0.876380,0.860065,0.847101,0.847628,0.807691,0.786159,0.753738,0.823635,0.815951,0.827203,0.785332,0.760929,0.724260,0.758675,0.774763,0.744408,0.716090,0.667271,0.701638,0.695778,0.661295,0.612268,0.678359,0.630350,0.613200,0.561908,0.104487
5Y-1M,0.353499,0.483245,0.274157,0.741368,0.957244,1.000000,0.971151,0.944980,0.888602,0.866439,0.153718,-0.087238,0.509958,0.874591,0.946844,0.945784,0.923711,0.882011,0.857666,-0.200393,0.458959,0.860906,0.950938,0.942958,0.921803,0.881745,0.859012,0.633949,0.901253,0.948955,0.928340,0.912698,0.864298,0.841846,0.747754,0.916412,0.897727,0.890519,0.839597,0.814161,0.892760,0.874783,0.856976,0.807698,0.777510,0.718215,0.727926,0.728012,0.693122,0.604520,0.702175,0.654241,0.646686,0.594316,0.117822
7Y-1M,0.367695,0.479153,0.207282,0.676491,0.922694,0.971151,1.000000,0.984108,0.954446,0.937836,0.130301,-0.169515,0.430334,0.828194,0.911140,0.972961,0.962048,0.948989,0.930277,-0.260867,0.386910,0.822182,0.920025,0.975585,0.964870,0.952459,0.935482,0.614399,0.898808,0.940919,0.973465,0.965571,0.939528,0.922245,0.762473,0.915911,0.958167,0.957149,0.925204,0.904733,0.877806,0.951188,0.935929,0.902609,0.877211,0.863424,0.846077,0.843738,0.812289,0.668771,0.802002,0.759284,0.747494,0.701515,0.200664
10Y-1M,0.352546,0.470486,0.206074,0.683478,0.906883,0.944980,0.984108,1.000000,0.965564,0.953637,0.138878,-0.155115,0.449472,0.818871,0.888388,0.959810,0.981857,0.962672,0.948718,-0.253701,0.402273,0.808355,0.893731,0.960344,0.983786,0.965475,0.953411,0.623550,0.882169,0.914126,0.957507,0.982042,0.950937,0.938363,0.729079,0.876189,0.936046,0.973831,0.936156,0.920799,0.840048,0.936989,0.969039,0.921952,0.901840,0.872418,0.912173,0.876063,0.849699,0.790162,0.841878,0.804789,0.748620,0.714370,0.253229
20Y-1M,0.399985,0.534850,0.158171,0.613160,0.849869,0.888602,0.954446,0.965564,1.000000,0.995845,0.158894,-0.252486,0.338313,0.729095,0.811839,0.916459,0.935973,0.992289,0.986580,-0.361696,0.266749,0.703692,0.807746,0.911746,0.933534,0.993493,0.989972,0.581767,0.845160,0.871268,0.938399,0.956093,0.991941,0.986924,0.713167,0.841534,0.927155,0.954862,0.988032,0.980301,0.794463,0.932507,0.950778,0.984536,0.972275,0.905136,0.910623,0.961366,0.942080,0.748363,0.943698,0.913562,0.895330,0.864264,0.346695
30Y-1M,0.385322,0.537681,0.146689,0.592790,0.827875,0.866439,0.937836,0.953637,0.995845,1.000000,0.181323,-0.248977,0.328141,0.712600,0.793202,0.902423,0.926382,0.989924,0.992815,-0.375474,0.240693,0.675926,0.781885,0.892841,0.920084,0.988684,0.994025,0.567657,0.827189,0.852009,0.924110,0.946119,0.989208,0.992538,0.699637,0.823572,0.914789,0.947051,0.987407,0.988666,0.775887,0.922044,0.945769,0.986582,0.984354,0.903556,0.913388,0.968457,0.960441,0.755757,0.953796,0.937949,0.905160,0.891851,0.430673
