,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.878660,0.644951,0.210179,0.076103,-0.009180,-0.031971,-0.040194,-0.065555,-0.053642,0.253101,-0.161205,-0.047120,-0.031728,-0.059689,-0.074571,-0.084950,-0.116957,-0.114224,-0.319470,-0.092123,-0.050013,-0.068353,-0.081921,-0.092706,-0.125888,-0.124747,-0.005362,-0.014975,-0.052646,-0.068803,-0.078948,-0.110504,-0.106372,-0.020067,-0.061553,-0.078383,-0.090572,-0.129911,-0.128500,-0.082873,-0.100028,-0.117901,-0.181418,-0.189925,-0.137732,-0.181721,-0.284389,-0.125557,-0.075852,-0.104341,-0.016533,-0.108491,0.002591,0.122224
6M-1M,0.878660,1.000000,0.694635,0.280571,0.141501,0.070921,0.048259,0.040699,0.007527,0.020757,0.684293,0.023582,0.056574,0.046933,0.026403,0.010655,0.001161,-0.037944,-0.032820,-0.413435,-0.061830,-0.001473,0.003781,-0.008493,-0.019008,-0.061289,-0.060298,0.058001,0.046751,0.025767,0.009807,0.000098,-0.039869,-0.034926,0.038523,0.018840,0.001682,-0.010053,-0.059272,-0.057197,0.008221,-0.012717,-0.030120,-0.107697,-0.116821,-0.066384,-0.126778,-0.330710,-0.191672,-0.116439,-0.199555,-0.100770,-0.223696,-0.089520,0.061772
1Y-1M,0.644951,0.694635,1.000000,0.583600,0.439903,0.336169,0.286927,0.256340,0.222639,0.213697,0.422485,0.650260,0.427382,0.371296,0.302997,0.258752,0.226682,0.188237,0.173356,0.367816,0.361248,0.344059,0.290253,0.247791,0.215013,0.174434,0.157074,0.294937,0.316771,0.275977,0.234771,0.200569,0.157161,0.136130,0.318359,0.268284,0.221592,0.180791,0.125311,0.092118,0.238960,0.180698,0.119017,0.018687,-0.070637,0.016250,-0.241131,-0.620362,-0.568272,-0.526218,-0.491751,-0.410623,-0.415796,-0.349022,-0.251430
2Y-1M,0.210179,0.280571,0.583600,1.000000,0.955399,0.913824,0.887566,0.872425,0.858059,0.847216,0.247506,0.544725,0.966673,0.934993,0.901614,0.876579,0.860544,0.843138,0.830094,0.376007,0.940649,0.924591,0.897237,0.872631,0.856231,0.837166,0.823124,0.948044,0.922794,0.893450,0.867726,0.849668,0.829310,0.812147,0.875465,0.869927,0.842569,0.818713,0.787110,0.753334,0.857882,0.817811,0.775642,0.705084,0.597907,0.656205,0.340680,-0.405325,-0.758897,-0.708877,-0.859754,-0.881473,-0.846470,-0.877337,-0.846372
3Y-1M,0.076103,0.141501,0.439903,0.955399,1.000000,0.986510,0.971431,0.959995,0.948657,0.935629,0.170486,0.492437,0.956213,0.994183,0.980947,0.965975,0.953884,0.940242,0.926214,0.373893,0.943444,0.989729,0.979468,0.964491,0.952166,0.937164,0.922663,0.951860,0.991146,0.977273,0.960927,0.946938,0.930911,0.913388,0.979140,0.968893,0.949319,0.930793,0.906785,0.875958,0.953317,0.924250,0.888587,0.827672,0.721645,0.783871,0.470895,-0.324340,-0.757217,-0.716478,-0.903809,-0.947308,-0.906102,-0.956667,-0.941140
5Y-1M,-0.009180,0.070921,0.336169,0.913824,0.986510,1.000000,0.995924,0.989455,0.981367,0.970481,0.157725,0.443255,0.936068,0.989873,0.998723,0.994050,0.987087,0.977208,0.966078,0.333828,0.925168,0.986294,0.997743,0.993021,0.985860,0.974670,0.963177,0.943580,0.992235,0.998001,0.991628,0.982942,0.971138,0.957091,0.985669,0.995246,0.986064,0.973979,0.956194,0.931385,0.989890,0.972265,0.946074,0.897249,0.805013,0.858344,0.569982,-0.228775,-0.702480,-0.673776,-0.892259,-0.947676,-0.913511,-0.970125,-0.960136
7Y-1M,-0.031971,0.048259,0.286927,0.887566,0.971431,0.995924,1.000000,0.997731,0.992002,0.984506,0.146615,0.402320,0.915208,0.977220,0.995805,0.999090,0.996363,0.988971,0.981418,0.300795,0.905876,0.974335,0.995182,0.998389,0.995495,0.986845,0.979016,0.931975,0.983590,0.997145,0.998540,0.994247,0.985279,0.975283,0.979059,0.996593,0.995953,0.989117,0.975362,0.956505,0.995435,0.988451,0.969945,0.929019,0.849306,0.901125,0.637487,-0.153691,-0.646554,-0.627672,-0.870064,-0.930564,-0.907397,-0.962940,-0.952324
10Y-1M,-0.040194,0.040699,0.256340,0.872425,0.959995,0.989455,0.997731,1.000000,0.996886,0.992672,0.143856,0.370995,0.901892,0.966644,0.989763,0.997177,0.998995,0.994257,0.990043,0.271852,0.892804,0.963874,0.989206,0.996547,0.998217,0.992240,0.987782,0.926142,0.976033,0.992596,0.997962,0.998359,0.992317,0.986029,0.970762,0.992368,0.996254,0.994906,0.984914,0.971087,0.993411,0.992103,0.981485,0.947467,0.878052,0.919310,0.682982,-0.095305,-0.599388,-0.573833,-0.840225,-0.906737,-0.894568,-0.949784,-0.939777
20Y-1M,-0.065555,0.007527,0.222639,0.858059,0.948657,0.981367,0.992002,0.996886,1.000000,0.997603,0.115375,0.352685,0.893855,0.958018,0.982971,0.992544,0.997027,0.998668,0.996492,0.272075,0.889594,0.957211,0.983331,0.992696,0.997083,0.997630,0.995392,0.922440,0.969040,0.986603,0.994050,0.997200,0.997776,0.993745,0.962091,0.985992,0.992359,0.994211,0.992152,0.981435,0.988316,0.990128,0.984140,0.962692,0.900346,0.925600,0.706104,-0.037465,-0.555993,-0.540158,-0.800886,-0.879335,-0.856539,-0.926053,-0.933208
30Y-1M,-0.053642,0.020757,0.213697,0.847216,0.935629,0.970481,0.984506,0.992672,0.997603,1.000000,0.123988,0.329295,0.879657,0.943672,0.971501,0.984556,0.992290,0.995666,0.998152,0.243655,0.873642,0.942140,0.971526,0.984440,0.992076,0.994328,0.996714,0.913185,0.956602,0.976093,0.986947,0.993458,0.995959,0.996897,0.948230,0.975372,0.985711,0.991496,0.991913,0.987606,0.979523,0.986387,0.986148,0.969585,0.919551,0.935287,0.737098,0.007009,-0.510096,-0.497702,-0.774684,-0.851945,-0.842545,-0.905011,-0.906106
