,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.780860,0.623969,0.459661,0.404795,0.364247,0.345918,0.334455,0.327089,0.327845,0.207498,0.195727,0.189705,0.185832,0.178448,0.162049,0.135412,0.046340,0.108543,0.135842,0.141883,0.142391,0.141167,0.132949,0.121137,0.014284,0.085487,0.135652,0.115530,0.118797,0.123410,0.107466,-0.003224,0.061919,0.100351,0.077282,0.060293,0.031561,-0.046223,-0.021016,0.037552,0.022072,-0.011736,-0.067990,-0.061717,-0.036098,-0.071387,-0.096280,-0.099649,-0.090987,-0.091123,-0.106748,-0.082891,-0.101785,-0.073746
6M-1M,0.780860,1.000000,0.852647,0.655719,0.596056,0.551264,0.532482,0.506660,0.481142,0.474830,0.594288,0.472212,0.404129,0.387974,0.369168,0.353618,0.327239,0.290216,0.264682,0.194364,0.220058,0.219238,0.216969,0.201594,0.166797,0.125250,0.090506,0.210816,0.200496,0.193062,0.171956,0.123737,0.057608,0.033913,0.143510,0.099908,0.061377,0.002573,-0.050136,-0.085731,0.045718,0.003904,-0.062152,-0.104649,-0.142614,-0.074200,-0.144482,-0.167106,-0.195116,-0.173091,-0.193906,-0.211440,-0.168818,-0.209009,-0.145736
1Y-1M,0.623969,0.852647,1.000000,0.889127,0.835609,0.777408,0.745736,0.702922,0.646995,0.617971,0.510444,0.664345,0.572752,0.554658,0.529514,0.513290,0.476860,0.510997,0.371371,0.517991,0.454136,0.449155,0.436018,0.407957,0.337788,0.367325,0.202671,0.316941,0.330271,0.304763,0.252820,0.166567,0.181716,0.030047,0.213243,0.153065,0.092233,-0.002387,-0.008305,-0.136837,0.082947,0.011216,-0.095499,-0.123913,-0.216966,-0.102358,-0.215918,-0.255827,-0.297268,-0.268645,-0.321231,-0.331270,-0.294643,-0.327090,-0.279589
2Y-1M,0.459661,0.655719,0.889127,1.000000,1.000000,1.000000,0.992311,0.925972,0.831707,0.783519,0.417684,0.619958,0.720614,0.703607,0.686190,0.673916,0.631351,0.754205,0.490005,0.541501,0.662985,0.655485,0.649475,0.614037,0.510146,0.641075,0.323705,0.605305,0.630701,0.541685,0.432001,0.295490,0.467390,0.118357,0.273703,0.240014,0.165635,0.040534,0.068786,-0.125582,0.185866,0.083519,-0.061727,-0.113029,-0.221013,-0.076695,-0.230401,-0.334981,-0.348728,-0.326630,-0.432746,-0.411488,-0.411193,-0.406613,-0.419231
3Y-1M,0.404795,0.596056,0.835609,1.000000,1.000000,1.000000,1.000000,1.000000,0.920698,0.865569,0.377126,0.586626,0.690184,0.726153,0.731892,0.736947,0.705229,0.861155,0.564115,0.530162,0.649241,0.699691,0.714589,0.691422,0.587567,0.757314,0.399847,0.584896,0.708438,0.618369,0.505739,0.366095,0.591739,0.191229,0.394022,0.345441,0.265886,0.134959,0.191451,-0.037915,0.254461,0.159641,0.012894,-0.043127,-0.154537,-0.007959,-0.164640,-0.295715,-0.296096,-0.280211,-0.424732,-0.374456,-0.404920,-0.385963,-0.450811
5Y-1M,0.364247,0.551264,0.777408,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.972985,0.332643,0.526668,0.630927,0.685583,0.762533,0.801937,0.799560,0.985747,0.673839,0.488221,0.604189,0.673557,0.765895,0.777362,0.695239,0.892882,0.515721,0.549785,0.706113,0.714606,0.614299,0.480252,0.745906,0.309223,0.422810,0.470855,0.398571,0.267135,0.362594,0.091689,0.421221,0.315453,0.159470,0.126170,-0.018698,0.110688,-0.045456,-0.189798,-0.189781,-0.179574,-0.339975,-0.287695,-0.341548,-0.322462,-0.443921
7Y-1M,0.345918,0.532482,0.745736,0.992311,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.306688,0.482570,0.579558,0.642246,0.743985,0.821966,0.846254,1.000000,0.744651,0.451066,0.557192,0.635278,0.755250,0.810538,0.752954,0.964405,0.591772,0.507514,0.681045,0.730708,0.672340,0.550992,0.826827,0.391860,0.438354,0.517607,0.479533,0.354057,0.471382,0.183532,0.478175,0.409923,0.255629,0.241294,0.077095,0.230664,0.060451,-0.068978,-0.094120,-0.101929,-0.251655,-0.212050,-0.263288,-0.256165,-0.402147
10Y-1M,0.334455,0.506660,0.702922,0.925972,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.276951,0.432943,0.521244,0.589142,0.706847,0.802966,0.872426,1.000000,0.802955,0.407072,0.503755,0.588024,0.727002,0.805846,0.796340,1.000000,0.662529,0.461314,0.644032,0.729260,0.695724,0.614586,0.895724,0.475961,0.446856,0.552479,0.534108,0.442486,0.568274,0.281480,0.524877,0.476186,0.354076,0.356504,0.178037,0.304591,0.169910,0.060151,0.008851,0.018963,-0.111027,-0.107860,-0.185606,-0.175368,-0.336403
20Y-1M,0.327089,0.481142,0.646995,0.831707,0.920698,1.000000,1.000000,1.000000,1.000000,1.000000,0.247102,0.374141,0.450667,0.520996,0.649506,0.759480,0.852653,1.000000,0.851754,0.352834,0.436657,0.523198,0.673478,0.771577,0.793849,1.000000,0.727371,0.404416,0.585314,0.697223,0.693807,0.644590,0.947065,0.564267,0.437487,0.565450,0.572998,0.507388,0.667125,0.390758,0.550445,0.532860,0.433443,0.483556,0.294653,0.382662,0.265745,0.217462,0.134150,0.112864,0.058397,0.022251,0.001270,-0.032828,-0.259699
30Y-1M,0.327845,0.474830,0.617971,0.783519,0.865569,0.972985,1.000000,1.000000,1.000000,1.000000,0.230409,0.340176,0.409764,0.478396,0.606347,0.720198,0.826184,1.000000,0.866920,0.318220,0.394407,0.480224,0.632141,0.739382,0.779725,1.000000,0.751506,0.366501,0.549417,0.672224,0.680925,0.646855,0.945085,0.601738,0.431633,0.560924,0.576807,0.527013,0.694484,0.442689,0.550377,0.543363,0.462371,0.530234,0.352438,0.405816,0.309027,0.284174,0.200037,0.164836,0.126694,0.095160,0.062061,0.049141,-0.124662
