,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.747048,0.703448,0.544369,0.451247,0.083302,-0.075224,-0.132911,-0.208245,-0.187534,0.186185,0.201149,0.097077,0.013916,-0.200414,-0.286569,-0.303658,-0.349694,-0.348008,0.116936,-0.023868,-0.103907,-0.251034,-0.314455,-0.320944,-0.356222,-0.357379,-0.083638,-0.142098,-0.264273,-0.323031,-0.326745,-0.359618,-0.361414,-0.120512,-0.262859,-0.324225,-0.323059,-0.352062,-0.353842,-0.309137,-0.365315,-0.349695,-0.374198,-0.379969,-0.420237,-0.363420,-0.388581,-0.397174,-0.264797,-0.341433,-0.335139,-0.364461,-0.318940,0.296014
6M-1M,0.747048,1.000000,0.961821,0.874031,0.676478,0.133759,-0.089585,-0.208568,-0.351620,-0.306616,0.792235,0.751597,0.627037,0.390653,-0.079398,-0.246160,-0.331896,-0.449027,-0.418909,0.228336,0.257124,-0.040814,-0.314723,-0.410758,-0.457486,-0.542236,-0.527981,0.161897,-0.111788,-0.342530,-0.429661,-0.470863,-0.550929,-0.538306,-0.282280,-0.422032,-0.490624,-0.514216,-0.580738,-0.573053,-0.450489,-0.519845,-0.534386,-0.600904,-0.595813,-0.581066,-0.574071,-0.650346,-0.646876,-0.502347,-0.634349,-0.617501,-0.667889,-0.567285,0.562185
1Y-1M,0.703448,0.961821,1.000000,0.884607,0.698510,0.146119,-0.073699,-0.200834,-0.348887,-0.302589,0.775830,0.837717,0.663514,0.436778,-0.054937,-0.221554,-0.316793,-0.439861,-0.407696,0.486068,0.334713,0.025676,-0.285978,-0.383664,-0.440228,-0.531130,-0.514675,0.116959,-0.122910,-0.349449,-0.429107,-0.475171,-0.558020,-0.545430,-0.260102,-0.416051,-0.480268,-0.510922,-0.581503,-0.573072,-0.453489,-0.514222,-0.535968,-0.606112,-0.600813,-0.562188,-0.574348,-0.656500,-0.652853,-0.522052,-0.652895,-0.640017,-0.682946,-0.586012,0.568042
2Y-1M,0.544369,0.874031,0.884607,1.000000,0.847105,0.359939,0.152988,-0.006986,-0.191664,-0.137891,0.792103,0.800910,0.887730,0.681491,0.200186,0.030333,-0.102465,-0.265365,-0.223617,0.355903,0.694269,0.311431,-0.042306,-0.147289,-0.240464,-0.370119,-0.345392,0.566600,0.209132,-0.090641,-0.181979,-0.267042,-0.390061,-0.368364,-0.187800,-0.269282,-0.316059,-0.373438,-0.475658,-0.465371,-0.283470,-0.332919,-0.392313,-0.500674,-0.493155,-0.380175,-0.461787,-0.594563,-0.598271,-0.492710,-0.657664,-0.680105,-0.717462,-0.710164,0.488232
3Y-1M,0.451247,0.676478,0.698510,0.847105,1.000000,0.731997,0.554045,0.396838,0.213494,0.268237,0.585603,0.615979,0.757428,0.898592,0.592255,0.435617,0.302115,0.136710,0.179742,0.324719,0.682800,0.708240,0.401531,0.284795,0.179613,0.038301,0.067228,0.569809,0.624320,0.352528,0.248698,0.150528,0.015048,0.040762,0.362884,0.212753,0.139753,0.057287,-0.066075,-0.050121,0.113207,0.054904,-0.021905,-0.145717,-0.139101,-0.043607,-0.135945,-0.285285,-0.304552,-0.214442,-0.386990,-0.450144,-0.489403,-0.627437,0.168869
5Y-1M,0.083302,0.133759,0.146119,0.359939,0.731997,1.000000,0.960718,0.897773,0.798202,0.825759,0.121227,0.137377,0.381345,0.779219,0.959611,0.905189,0.848385,0.752054,0.774046,0.092677,0.517771,0.864887,0.898557,0.835492,0.780438,0.686103,0.702740,0.508362,0.855651,0.875838,0.817192,0.763300,0.670383,0.685340,0.721774,0.801587,0.755701,0.700761,0.606007,0.614791,0.759795,0.706052,0.645421,0.543396,0.545180,0.552557,0.509199,0.385986,0.347536,0.407839,0.269622,0.165112,0.110813,-0.233835,-0.469748
7Y-1M,-0.075224,-0.089585,-0.073699,0.152988,0.554045,0.960718,1.000000,0.975605,0.915450,0.935144,-0.063353,-0.043773,0.222802,0.657777,0.965746,0.976902,0.951090,0.888177,0.905240,0.023891,0.436990,0.837555,0.959838,0.944876,0.911028,0.841958,0.857157,0.456033,0.848820,0.945869,0.932422,0.898008,0.828958,0.842935,0.755755,0.893659,0.889218,0.848907,0.773979,0.783350,0.872326,0.861650,0.811011,0.726535,0.731443,0.762162,0.710189,0.598396,0.569658,0.577455,0.466607,0.370160,0.306082,-0.049418,-0.612804
10Y-1M,-0.132911,-0.208568,-0.200834,-0.006986,0.396838,0.897773,0.975605,1.000000,0.972835,0.982920,-0.186254,-0.174670,0.064654,0.509995,0.920148,0.965826,0.984687,0.951810,0.960588,-0.048440,0.295055,0.738327,0.952239,0.961660,0.965078,0.920430,0.930054,0.339985,0.769584,0.948274,0.956396,0.957396,0.911439,0.920462,0.745706,0.931200,0.939855,0.930241,0.874023,0.880779,0.930551,0.928228,0.908976,0.841543,0.845769,0.835733,0.836226,0.738923,0.713619,0.742599,0.630427,0.546228,0.447025,0.081450,-0.718635
20Y-1M,-0.208245,-0.351620,-0.348887,-0.191664,0.213494,0.798202,0.915450,0.972835,1.000000,0.995933,-0.328530,-0.320836,-0.113119,0.341605,0.843524,0.924174,0.971824,0.989147,0.985741,-0.118324,0.139639,0.626711,0.920220,0.953621,0.978697,0.977233,0.978059,0.208288,0.676935,0.926195,0.955561,0.976641,0.972371,0.973263,0.730665,0.946765,0.967598,0.972810,0.954489,0.955595,0.960307,0.967849,0.962652,0.935407,0.935204,0.887344,0.907115,0.863803,0.837339,0.825094,0.783091,0.705595,0.641961,0.294319,-0.828428
30Y-1M,-0.187534,-0.306616,-0.302589,-0.137891,0.268237,0.825759,0.935144,0.982920,0.995933,1.000000,-0.281028,-0.272940,-0.060686,0.392760,0.864770,0.938657,0.977876,0.982140,0.986122,-0.097329,0.179927,0.657842,0.926685,0.956855,0.975811,0.963383,0.970238,0.240997,0.702315,0.929709,0.956621,0.972051,0.957238,0.963906,0.737557,0.940753,0.961612,0.962433,0.934504,0.940831,0.948255,0.958097,0.948775,0.911476,0.916675,0.882205,0.892510,0.834526,0.815846,0.802516,0.743719,0.675256,0.592847,0.263481,-0.774599
6M-3M,0.186185,0.792235,0.775830,0.792103,0.585603,0.121227,-0.063353,-0.186254,-0.328530,-0.281028,1.000000,0.926203,0.837637,0.564603,0.066619,-0.100767,-0.211796,-0.342656,-0.299689,0.230136,0.401933,0.035059,-0.234720,-0.318443,-0.381548,-0.474424,-0.452293,0.316055,-0.034783,-0.263665,-0.338507,-0.395994,-0.484156,-0.463850,-0.306581,-0.382467,-0.427513,-0.463452,-0.535148,-0.522154,-0.382045,-0.432983,-0.468812,-0.544633,-0.531812,-0.473052,-0.514868,-0.604505,-0.591487,-0.499391,-0.624141,-0.605018,-0.652573,-0.545668,0.559175
1Y-3M,0.201149,0.751597,0.837717,0.800910,0.615979,0.137377,-0.043773,-0.174670,-0.320836,-0.272940,0.926203,1.000000,0.839874,0.591280,0.078273,-0.085162,-0.203292,-0.337534,-0.294499,0.580058,0.479645,0.115225,-0.201256,-0.287159,-0.360130,-0.458307,-0.434739,0.225458,-0.060215,-0.278560,-0.343199,-0.403832,-0.492758,-0.474025,-0.265881,-0.371439,-0.412793,-0.455937,-0.530928,-0.517940,-0.387479,-0.428017,-0.469989,-0.547835,-0.536099,-0.451925,-0.512340,-0.606230,-0.594600,-0.516041,-0.637488,-0.624575,-0.661210,-0.562591,0.555439
2Y-3M,0.097077,0.627037,0.663514,0.887730,0.757428,0.381345,0.222802,0.064654,-0.113119,-0.060686,0.837637,0.839874,1.000000,0.800941,0.347506,0.193261,0.045077,-0.122936,-0.074328,0.358098,0.836837,0.426533,0.087574,-0.002180,-0.109170,-0.243643,-0.213670,0.718162,0.326116,0.037491,-0.038633,-0.137521,-0.265440,-0.238711,-0.156683,-0.175240,-0.197061,-0.265781,-0.371146,-0.357963,-0.166676,-0.194515,-0.273557,-0.388679,-0.376591,-0.220442,-0.348455,-0.492183,-0.491866,-0.439270,-0.592927,-0.623007,-0.651238,-0.667561,0.416824
3Y-3M,0.013916,0.390653,0.436778,0.681491,0.898592,0.779219,0.657777,0.509995,0.341605,0.392760,0.564603,0.591280,0.800941,1.000000,0.762144,0.628998,0.487816,0.325121,0.372508,0.306341,0.776790,0.844649,0.573334,0.473718,0.359056,0.218066,0.251047,0.679576,0.769398,0.524937,0.437490,0.329320,0.193682,0.223376,0.465854,0.367628,0.316007,0.223033,0.099071,0.117823,0.278845,0.241141,0.147399,0.020720,0.030969,0.157767,0.026368,-0.128591,-0.145953,-0.110077,-0.265730,-0.339586,-0.369157,-0.546202,0.043664
5Y-3M,-0.200414,-0.079398,-0.054937,0.200186,0.592255,0.959611,0.965746,0.920148,0.843524,0.864770,0.066619,0.078273,0.347506,0.762144,1.000000,0.970819,0.919798,0.838088,0.859232,0.058102,0.515774,0.879629,0.954266,0.910170,0.857877,0.775092,0.791775,0.523397,0.881330,0.935668,0.894599,0.842666,0.760597,0.775808,0.743618,0.862271,0.834483,0.780141,0.695173,0.704312,0.834249,0.797272,0.733255,0.639868,0.643251,0.661872,0.603205,0.489174,0.453799,0.475713,0.361463,0.256940,0.211835,-0.139850,-0.545390
7Y-3M,-0.286569,-0.246160,-0.221554,0.030333,0.435617,0.905189,0.976902,0.965826,0.924174,0.938657,-0.100767,-0.085162,0.193261,0.628998,0.970819,1.000000,0.978863,0.928282,0.944314,-0.002105,0.424967,0.826974,0.975990,0.975206,0.944076,0.885274,0.900125,0.456072,0.845981,0.965407,0.965078,0.932809,0.873512,0.887326,0.751941,0.914941,0.923824,0.884844,0.819070,0.828455,0.904362,0.906143,0.854143,0.778230,0.784183,0.822326,0.760216,0.658199,0.632429,0.611553,0.521475,0.427462,0.372180,0.020868,-0.652206
10Y-3M,-0.303658,-0.331896,-0.316793,-0.102465,0.302115,0.848385,0.951090,0.984687,0.971824,0.977876,-0.211796,-0.203292,0.045077,0.487816,0.919798,0.978863,1.000000,0.976492,0.984634,-0.067133,0.287837,0.728037,0.959551,0.979763,0.984190,0.947474,0.956929,0.341542,0.764802,0.958068,0.976210,0.977825,0.939428,0.948418,0.738051,0.941406,0.960520,0.951073,0.902131,0.908939,0.948922,0.956570,0.935315,0.874801,0.879879,0.877314,0.867794,0.778681,0.755867,0.760443,0.666090,0.584042,0.493834,0.134397,-0.742896
20Y-3M,-0.349694,-0.449027,-0.439861,-0.265365,0.136710,0.752054,0.888177,0.951810,0.989147,0.982140,-0.342656,-0.337534,-0.122936,0.325121,0.838088,0.928282,0.976492,1.000000,0.996485,-0.130905,0.137341,0.615913,0.919156,0.960677,0.985671,0.989568,0.990533,0.212076,0.669758,0.926868,0.963823,0.984573,0.985422,0.986546,0.717981,0.946359,0.975533,0.980350,0.967158,0.968485,0.966283,0.981946,0.974622,0.952206,0.952878,0.913084,0.923487,0.885779,0.861722,0.830106,0.801386,0.726210,0.669662,0.329829,-0.837989
30Y-3M,-0.348008,-0.418909,-0.407696,-0.223617,0.179742,0.774046,0.905240,0.960588,0.985741,0.986122,-0.299689,-0.294499,-0.074328,0.372508,0.859232,0.944314,0.984634,0.996485,1.000000,-0.112658,0.175761,0.645423,0.926881,0.966395,0.985585,0.979686,0.986424,0.244150,0.694324,0.932005,0.967622,0.982976,0.974394,0.981062,0.724312,0.942306,0.972587,0.973174,0.951420,0.957759,0.957288,0.976178,0.964640,0.933183,0.939120,0.913028,0.913259,0.862171,0.845794,0.810697,0.767533,0.701126,0.627429,0.305381,-0.789329
1Y-6M,0.116936,0.228336,0.486068,0.355903,0.324719,0.092677,0.023891,-0.048440,-0.118324,-0.097329,0.230136,0.580058,0.358098,0.306341,0.058102,-0.002105,-0.067133,-0.130905,-0.112658,1.000000,0.369646,0.221667,-0.012350,-0.053195,-0.105203,-0.157952,-0.144931,-0.100906,-0.080274,-0.149347,-0.154492,-0.186793,-0.225848,-0.221368,-0.023900,-0.132407,-0.141824,-0.175538,-0.214200,-0.208749,-0.174721,-0.169301,-0.200228,-0.237345,-0.234755,-0.144440,-0.210036,-0.258717,-0.256825,-0.253028,-0.296974,-0.304961,-0.296777,-0.273200,0.225556
2Y-6M,-0.023868,0.257124,0.334713,0.694269,0.682800,0.517771,0.436990,0.295055,0.139639,0.179927,0.401933,0.479645,0.836837,0.776790,0.515774,0.424967,0.287837,0.137341,0.175761,0.369646,1.000000,0.679883,0.382052,0.315502,0.199396,0.067056,0.095122,0.887130,0.581548,0.327105,0.274504,0.166348,0.040271,0.064726,0.044612,0.089560,0.098128,0.018949,-0.085823,-0.076748,0.103494,0.107879,0.011286,-0.105708,-0.098294,0.104575,-0.068110,-0.219212,-0.231728,-0.235860,-0.368414,-0.438005,-0.437668,-0.572176,0.138316
3Y-6M,-0.103907,-0.040814,0.025676,0.311431,0.708240,0.864887,0.837555,0.738327,0.626711,0.657842,0.035059,0.115225,0.426533,0.844649,0.879629,0.826974,0.728037,0.615913,0.645423,0.221667,0.679883,1.000000,0.846454,0.780136,0.682228,0.571749,0.597331,0.617871,0.954181,0.806626,0.749283,0.655592,0.548535,0.571321,0.762921,0.693203,0.659915,0.570647,0.467050,0.481328,0.585427,0.572812,0.482543,0.378331,0.382425,0.497847,0.365865,0.236371,0.206905,0.190613,0.083053,-0.018779,-0.023741,-0.307452,-0.309803
