,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6M-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6M-3M,,,,,,,,,,,1.000000,0.856304,0.740101,0.688020,0.643684,0.541943,0.542007,,0.527815,-0.007798,0.090072,0.075609,0.148206,0.074012,0.099666,,0.082992,0.179300,0.131878,0.221406,0.104160,0.135876,,0.110555,-0.012691,0.244490,0.048671,0.102999,,0.067697,0.349179,0.063988,0.128915,,0.084846,-0.238702,-0.075560,,-0.120727,0.372420,,0.091677,,-0.134417,
1Y-3M,,,,,,,,,,,0.856304,1.000000,0.947361,0.916052,0.892894,0.830492,0.826457,,0.797847,0.509778,0.541570,0.513918,0.568481,0.498184,0.514356,,0.476883,0.442098,0.410025,0.525374,0.440172,0.463261,,0.404396,0.255800,0.563357,0.404887,0.448267,,0.364222,0.647228,0.422216,0.476121,,0.373246,0.120624,0.268942,,0.112121,0.508231,,0.051198,,-0.275381,
2Y-3M,,,,,,,,,,,0.740101,0.947361,1.000000,0.993428,0.982744,0.948319,0.948440,,0.935436,0.601425,0.736425,0.721307,0.764027,0.704129,0.721779,,0.700634,0.706006,0.674067,0.756326,0.677404,0.699370,,0.655555,0.473731,0.740783,0.606921,0.654592,,0.596249,0.775237,0.605391,0.667907,,0.596900,0.329327,0.490477,,0.367325,0.651821,,0.256575,,-0.115687,
3Y-3M,,,,,,,,,,,0.688020,0.916052,0.993428,1.000000,0.992989,0.969824,0.971020,,0.961043,0.627559,0.779084,0.775635,0.812869,0.759285,0.776746,,0.758609,0.756849,0.741400,0.812065,0.740202,0.761140,,0.719639,0.571418,0.796575,0.672403,0.719013,,0.664447,0.799393,0.656520,0.719693,,0.653999,0.399427,0.559176,,0.438647,0.682818,,0.298087,,-0.084725,
5Y-3M,,,,,,,,,,,0.643684,0.892894,0.982744,0.992989,1.000000,0.988063,0.987437,,0.978758,0.656573,0.807862,0.804563,0.852238,0.806158,0.820217,,0.803171,0.778141,0.764204,0.852222,0.790411,0.806380,,0.765179,0.594077,0.852254,0.736978,0.775344,,0.721006,0.864810,0.729384,0.782115,,0.716341,0.467609,0.611018,,0.488266,0.667764,,0.300780,,-0.071332,
7Y-3M,,,,,,,,,,,0.541943,0.830492,0.948319,0.969824,0.988063,1.000000,0.998785,,0.993201,0.705227,0.859231,0.861224,0.906362,0.878220,0.888806,,0.874679,0.819732,0.815936,0.902172,0.865725,0.876516,,0.837386,0.662663,0.906260,0.827747,0.857752,,0.806411,0.902531,0.820614,0.863755,,0.801652,0.598198,0.719628,,0.593648,0.667048,,0.325676,,-0.039883,
10Y-3M,,,,,,,,,,,0.542007,0.826457,0.948440,0.971020,0.987437,0.998785,1.000000,,0.995095,0.697309,0.859346,0.862812,0.905509,0.876742,0.890209,,0.876868,0.828996,0.825408,0.905676,0.867392,0.881808,,0.843512,0.671000,0.903644,0.824490,0.860454,,0.810528,0.894266,0.814051,0.864771,,0.804473,0.594486,0.728429,,0.604016,0.702949,,0.350466,,-0.032995,
20Y-3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-3M,,,,,,,,,,,0.527815,0.797847,0.935436,0.961043,0.978758,0.993201,0.995095,,1.000000,0.665555,0.854364,0.861447,0.903996,0.878192,0.892096,,0.890234,0.855848,0.850590,0.922520,0.884098,0.898054,,0.874012,0.687476,0.908906,0.833499,0.869662,,0.841540,0.892536,0.820160,0.871486,,0.837615,0.607587,0.741486,,0.656813,0.709398,,0.433529,,0.066034,
1Y-6M,,,,,,,,,,,-0.007798,0.509778,0.601425,0.627559,0.656573,0.705227,0.697309,,0.665555,1.000000,0.898528,0.869081,0.853795,0.841277,0.829856,,0.785076,0.557303,0.574197,0.648401,0.678738,0.670612,,0.598817,0.516408,0.683490,0.702851,0.696345,,0.592425,0.671494,0.710889,0.707106,,0.581330,0.631162,0.646577,,0.418183,0.363660,,-0.053582,,-0.309278,
2Y-6M,,,,,,,,,,,0.090072,0.541570,0.736425,0.779084,0.807862,0.859231,0.859346,,0.854364,0.898528,1.000000,0.992160,0.982396,0.968328,0.968658,,0.954117,0.865189,0.865595,0.897353,0.898421,0.899046,,0.859630,0.714341,0.851113,0.849859,0.865805,,0.814915,0.796822,0.832185,0.859452,,0.798628,0.727849,0.802385,,0.665441,0.590669,,0.287750,,-0.036107,
3Y-6M,,,,,,,,,,,0.075609,0.513918,0.721307,0.775635,0.804563,0.861224,0.862812,,0.861447,0.869081,0.992160,1.000000,0.988019,0.978923,0.980602,,0.970184,0.884000,0.904018,0.923247,0.926480,0.927665,,0.892663,0.796195,0.881885,0.881584,0.898376,,0.854104,0.794703,0.846436,0.876769,,0.824831,0.756449,0.834056,,0.707727,0.614309,,0.329850,,0.000495,
5Y-6M,,,,,,,,,,,0.148206,0.568481,0.764027,0.812869,0.852238,0.906362,0.905509,,0.903996,0.853795,0.982396,0.988019,1.000000,0.991172,0.991803,,0.981174,0.882992,0.897399,0.949941,0.950214,0.949169,,0.913236,0.776378,0.934202,0.919096,0.931537,,0.885450,0.878861,0.898812,0.922571,,0.867699,0.767450,0.841248,,0.713497,0.608338,,0.326015,,-0.000292,
7Y-6M,,,,,,,,,,,0.074012,0.498184,0.704129,0.759285,0.806158,0.878220,0.876742,,0.878192,0.841277,0.968328,0.978923,0.991172,1.000000,0.997962,,0.990688,0.870680,0.893162,0.944544,0.968016,0.962773,,0.930749,0.793555,0.936259,0.954528,0.959216,,0.918383,0.872257,0.937347,0.951591,,0.902976,0.845675,0.896928,,0.773140,0.579602,,0.334285,,0.029167,
10Y-6M,,,,,,,,,,,0.099666,0.514356,0.721779,0.776746,0.820217,0.888806,0.890209,,0.892096,0.829856,0.968658,0.980602,0.991803,0.997962,1.000000,,0.993242,0.884353,0.905812,0.952320,0.970547,0.970424,,0.938806,0.801358,0.937400,0.949831,0.962963,,0.922986,0.869547,0.929167,0.954025,,0.906520,0.833280,0.903436,,0.780612,0.630425,,0.365263,,0.033798,
20Y-6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-6M,,,,,,,,,,,0.082992,0.476883,0.700634,0.758609,0.803171,0.874679,0.876868,,0.890234,0.785076,0.954117,0.970184,0.981174,0.990688,0.993242,,1.000000,0.908006,0.927268,0.963651,0.981448,0.980814,,0.966185,0.813419,0.935298,0.951839,0.965134,,0.951070,0.859947,0.927974,0.953375,,0.937268,0.840893,0.910505,,0.835380,0.632608,,0.459492,,0.149563,
2Y-1Y,,,,,,,,,,,0.179300,0.442098,0.706006,0.756849,0.778141,0.819732,0.828996,,0.855848,0.557303,0.865189,0.884000,0.882992,0.870680,0.884353,,0.908006,1.000000,0.981468,0.956770,0.924131,0.934596,,0.942056,0.761357,0.829207,0.804718,0.842316,,0.864771,0.740209,0.762100,0.818004,,0.846635,0.655810,0.779201,,0.781072,0.701915,,0.605559,,0.285035,
3Y-1Y,,,,,,,,,,,0.131878,0.410025,0.674067,0.741400,0.764204,0.815936,0.825408,,0.850590,0.574197,0.865595,0.904018,0.897399,0.893162,0.905812,,0.927268,0.981468,1.000000,0.967698,0.946832,0.955814,,0.959929,0.871485,0.868917,0.851686,0.885101,,0.901635,0.734990,0.786569,0.840040,,0.862775,0.706532,0.821657,,0.809950,0.702454,,0.592233,,0.268097,
5Y-1Y,,,,,,,,,,,0.221406,0.525374,0.756326,0.812065,0.852222,0.902172,0.905676,,0.922520,0.648401,0.897353,0.923247,0.949941,0.944544,0.952320,,0.963651,0.956770,0.967698,1.000000,0.982193,0.985541,,0.976082,0.825407,0.955927,0.922219,0.944316,,0.939286,0.882200,0.887733,0.924746,,0.919987,0.743486,0.842151,,0.792401,0.671347,,0.508896,,0.185178,
7Y-1Y,,,,,,,,,,,0.104160,0.440172,0.677404,0.740202,0.790411,0.865725,0.867392,,0.884098,0.678738,0.898421,0.926480,0.950214,0.968016,0.970547,,0.981448,0.924131,0.946832,0.982193,1.000000,0.996649,,0.986465,0.838340,0.954654,0.970487,0.979874,,0.972633,0.873280,0.943417,0.964523,,0.956854,0.855887,0.918356,,0.856193,0.618586,,0.478974,,0.183155,
10Y-1Y,,,,,,,,,,,0.135876,0.463261,0.699370,0.761140,0.806380,0.876516,0.881808,,0.898054,0.670612,0.899046,0.927665,0.949169,0.962773,0.970424,,0.980814,0.934596,0.955814,0.985541,0.996649,1.000000,,0.989027,0.841949,0.950524,0.958674,0.978948,,0.970760,0.865507,0.927726,0.962409,,0.953670,0.834741,0.921341,,0.856865,0.680787,,0.508784,,0.178741,
20Y-1Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-1Y,,,,,,,,,,,0.110555,0.404396,0.655555,0.719639,0.765179,0.837386,0.843512,,0.874012,0.598817,0.859630,0.892663,0.913236,0.930749,0.938806,,0.966185,0.942056,0.959929,0.976082,0.986465,0.989027,,1.000000,0.836778,0.924814,0.938143,0.958040,,0.983117,0.832380,0.903939,0.938357,,0.969890,0.824532,0.908123,,0.906065,0.666577,,0.616430,,0.322135,
3Y-2Y,,,,,,,,,,,-0.012691,0.255800,0.473731,0.571418,0.594077,0.662663,0.671000,,0.687476,0.516408,0.714341,0.796195,0.776378,0.793555,0.801358,,0.813419,0.761357,0.871485,0.825407,0.838340,0.841949,,0.836778,1.000000,0.817665,0.822042,0.838871,,0.837343,0.592316,0.710798,0.748639,,0.752281,0.712031,0.785746,,0.741352,0.580243,,0.453929,,0.177579,
5Y-2Y,,,,,,,,,,,0.244490,0.563357,0.740783,0.796575,0.852254,0.906260,0.903644,,0.908906,0.683490,0.851113,0.881885,0.934202,0.936259,0.937400,,0.935298,0.829207,0.868917,0.955927,0.954654,0.950524,,0.924814,0.817665,1.000000,0.959943,0.964454,,0.932121,0.948156,0.936691,0.951388,,0.913340,0.766779,0.831829,,0.734334,0.581602,,0.366679,,0.068132,
7Y-2Y,,,,,,,,,,,0.048671,0.404887,0.606921,0.672403,0.736978,0.827747,0.824490,,0.833499,0.702851,0.849859,0.881584,0.919096,0.954528,0.949831,,0.951839,0.804718,0.851686,0.922219,0.970487,0.958674,,0.938143,0.822042,0.959943,1.000000,0.990855,,0.965431,0.889678,0.984839,0.982348,,0.952361,0.915925,0.935107,,0.837338,0.518113,,0.362005,,0.104675,
10Y-2Y,,,,,,,,,,,0.102999,0.448267,0.654592,0.719013,0.775344,0.857752,0.860454,,0.869662,0.696345,0.865805,0.898376,0.931537,0.959216,0.962963,,0.965134,0.842316,0.885101,0.944316,0.979874,0.978948,,0.958040,0.838871,0.964454,0.990855,1.000000,,0.974709,0.886702,0.968415,0.988891,,0.959220,0.888513,0.948928,,0.850159,0.628782,,0.423448,,0.107277,
20Y-2Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-2Y,,,,,,,,,,,0.067697,0.364222,0.596249,0.664447,0.721006,0.806411,0.810528,,0.841540,0.592425,0.814915,0.854104,0.885450,0.918383,0.922986,,0.951070,0.864771,0.901635,0.939286,0.972633,0.970760,,0.983117,0.837343,0.932121,0.965431,0.974709,,1.000000,0.842294,0.937476,0.958505,,0.990092,0.876582,0.934411,,0.930309,0.614980,,0.592470,,0.326751,
5Y-3Y,,,,,,,,,,,0.349179,0.647228,0.775237,0.799393,0.864810,0.902531,0.894266,,0.892536,0.671494,0.796822,0.794703,0.878861,0.872257,0.869547,,0.859947,0.740209,0.734990,0.882200,0.873280,0.865507,,0.832380,0.592316,0.948156,0.889678,0.886702,,0.842294,1.000000,0.918547,0.918226,,0.862966,0.680068,0.730415,,0.618473,0.493658,,0.262595,,-0.002677,
7Y-3Y,,,,,,,,,,,0.063988,0.422216,0.605391,0.656520,0.729384,0.820614,0.814051,,0.820160,0.710889,0.832185,0.846436,0.898812,0.937347,0.929167,,0.927974,0.762100,0.786569,0.887733,0.943417,0.927726,,0.903939,0.710798,0.936691,0.984839,0.968415,,0.937476,0.918547,1.000000,0.985396,,0.947244,0.914497,0.915735,,0.808489,0.463241,,0.308887,,0.075203,
10Y-3Y,,,,,,,,,,,0.128915,0.476121,0.667907,0.719693,0.782115,0.863755,0.864771,,0.871486,0.707106,0.859452,0.876769,0.922571,0.951591,0.954025,,0.953375,0.818004,0.840040,0.924746,0.964523,0.962409,,0.938357,0.748639,0.951388,0.982348,0.988891,,0.958505,0.918226,0.985396,1.000000,,0.962867,0.887740,0.941194,,0.833020,0.607384,,0.391788,,0.082167,
20Y-3Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-3Y,,,,,,,,,,,0.084846,0.373246,0.596900,0.653999,0.716341,0.801652,0.804473,,0.837615,0.581330,0.798628,0.824831,0.867699,0.902976,0.906520,,0.937268,0.846635,0.862775,0.919987,0.956854,0.953670,,0.969890,0.752281,0.913340,0.952361,0.959220,,0.990092,0.862966,0.947244,0.962867,,1.000000,0.873540,0.924299,,0.930759,0.592115,,0.597431,,0.348178,
7Y-5Y,,,,,,,,,,,-0.238702,0.120624,0.329327,0.399427,0.467609,0.598198,0.594486,,0.607587,0.631162,0.727849,0.756449,0.767450,0.845675,0.833280,,0.840893,0.655810,0.706532,0.743486,0.855887,0.834741,,0.824532,0.712031,0.766779,0.915925,0.888513,,0.876582,0.680068,0.914497,0.887740,,0.873540,1.000000,0.950767,,0.866438,0.353884,,0.304104,,0.142212,
10Y-5Y,,,,,,,,,,,-0.075560,0.268942,0.490477,0.559176,0.611018,0.719628,0.728429,,0.741486,0.646577,0.802385,0.834056,0.841248,0.896928,0.903436,,0.910505,0.779201,0.821657,0.842151,0.918356,0.921341,,0.908123,0.785746,0.831829,0.935107,0.948928,,0.934411,0.730415,0.915735,0.941194,,0.924299,0.950767,1.000000,,0.908947,0.626312,,0.451629,,0.143982,
20Y-5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-5Y,,,,,,,,,,,-0.120727,0.112121,0.367325,0.438647,0.488266,0.593648,0.604016,,0.656813,0.418183,0.665441,0.707727,0.713497,0.773140,0.780612,,0.835380,0.781072,0.809950,0.792401,0.856193,0.856865,,0.906065,0.741352,0.734334,0.837338,0.850159,,0.930309,0.618473,0.808489,0.833020,,0.930759,0.866438,0.908947,,1.000000,0.563648,,0.739125,,0.543440,
10Y-7Y,,,,,,,,,,,0.372420,0.508231,0.651821,0.682818,0.667764,0.667048,0.702949,,0.709398,0.363660,0.590669,0.614309,0.608338,0.579602,0.630425,,0.632608,0.701915,0.702454,0.671347,0.618586,0.680787,,0.666577,0.580243,0.581602,0.518113,0.628782,,0.614980,0.493658,0.463241,0.607384,,0.592115,0.353884,0.626312,,0.563648,1.000000,,0.598031,,0.076799,
20Y-7Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-7Y,,,,,,,,,,,0.091677,0.051198,0.256575,0.298087,0.300780,0.325676,0.350466,,0.433529,-0.053582,0.287750,0.329850,0.326015,0.334285,0.365263,,0.459492,0.605559,0.592233,0.508896,0.478974,0.508784,,0.616430,0.453929,0.366679,0.362005,0.423448,,0.592470,0.262595,0.308887,0.391788,,0.597431,0.304104,0.451629,,0.739125,0.598031,,1.000000,,0.845034,
20Y-10Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Y-10Y,,,,,,,,,,,-0.134417,-0.275381,-0.115687,-0.084725,-0.071332,-0.039883,-0.032995,,0.066034,-0.309278,-0.036107,0.000495,-0.000292,0.029167,0.033798,,0.149563,0.285035,0.268097,0.185178,0.183155,0.178741,,0.322135,0.177579,0.068132,0.104675,0.107277,,0.326751,-0.002677,0.075203,0.082167,,0.348178,0.142212,0.143982,,0.543440,0.076799,,0.845034,,1.000000,
30Y-20Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
