,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.836647,0.782157,0.671511,0.641655,0.629619,0.622061,0.621724,0.579335,0.598670,0.325030,0.266589,0.187497,0.174178,0.192620,0.197855,0.226751,0.225679,0.269572,-0.038115,-0.038864,-0.030693,0.035073,0.055707,0.121496,0.141312,0.206179,-0.038913,-0.027579,0.057137,0.079965,0.152711,0.164416,0.228974,0.008903,0.165110,0.171514,0.239644,0.220324,0.273205,0.196826,0.189770,0.252654,0.230389,0.276381,0.144863,0.278304,0.237710,0.293049,0.352211,0.253200,0.311539,0.179330,0.289193,0.298371
6M-1M,0.836647,1.000000,0.993766,0.957522,0.944951,0.939503,0.934118,0.926671,0.894733,0.882799,0.789938,0.748004,0.681416,0.669686,0.682461,0.683429,0.695201,0.678889,0.684696,0.431085,0.436774,0.449335,0.511047,0.522011,0.552317,0.547828,0.544947,0.435957,0.452668,0.524028,0.529001,0.552984,0.541410,0.527164,0.423597,0.508855,0.480678,0.489461,0.492909,0.453618,0.388179,0.381191,0.415417,0.453121,0.409590,0.303993,0.408295,0.467114,0.407786,0.454139,0.492602,0.415651,0.476753,0.391083,0.172000
1Y-1M,0.782157,0.993766,1.000000,0.983259,0.974851,0.969198,0.963214,0.953505,0.923202,0.903569,0.840174,0.809047,0.753821,0.743470,0.752804,0.751510,0.758340,0.738349,0.734196,0.528996,0.532964,0.544251,0.597074,0.602193,0.621201,0.608193,0.588447,0.530480,0.545647,0.604314,0.601398,0.611633,0.592708,0.559928,0.496618,0.551650,0.513584,0.509707,0.517667,0.459309,0.400206,0.390649,0.418826,0.467894,0.406564,0.307199,0.404894,0.482583,0.400682,0.446429,0.510671,0.406926,0.507724,0.382268,0.126893
2Y-1M,0.671511,0.957522,0.983259,1.000000,0.998289,0.992613,0.986131,0.973135,0.946940,0.914470,0.901463,0.887522,0.853759,0.845439,0.849058,0.844479,0.843203,0.818365,0.797111,0.669381,0.677622,0.685463,0.722755,0.718930,0.719209,0.693549,0.645263,0.676062,0.686014,0.722439,0.707403,0.694828,0.664923,0.600887,0.598754,0.606360,0.554996,0.530884,0.547361,0.457276,0.410738,0.398684,0.416000,0.483366,0.392182,0.309354,0.392057,0.499566,0.379726,0.424136,0.530860,0.382464,0.549898,0.357778,0.044940
3Y-1M,0.641655,0.944951,0.974851,0.998289,1.000000,0.993459,0.986634,0.972403,0.947387,0.910033,0.913183,0.902678,0.872469,0.867031,0.868117,0.862453,0.858605,0.832833,0.805217,0.697014,0.704342,0.716918,0.748087,0.741628,0.736478,0.708568,0.650301,0.702101,0.718683,0.746455,0.727920,0.708811,0.677143,0.602291,0.644567,0.621996,0.565027,0.533413,0.551807,0.450182,0.404584,0.392666,0.407319,0.480972,0.379453,0.304603,0.382030,0.498655,0.365429,0.411126,0.530965,0.366862,0.557252,0.341755,0.011321
5Y-1M,0.629619,0.939503,0.969198,0.992613,0.993459,1.000000,0.998072,0.991085,0.975848,0.948424,0.917250,0.905288,0.873403,0.866452,0.883632,0.883764,0.888412,0.872469,0.856789,0.692737,0.700533,0.710668,0.774562,0.778275,0.786100,0.768031,0.724442,0.698559,0.711723,0.781925,0.774713,0.768544,0.744378,0.683246,0.629173,0.698354,0.647257,0.619491,0.636803,0.543366,0.506367,0.491079,0.502684,0.572757,0.475942,0.380251,0.466085,0.584485,0.458654,0.495679,0.616409,0.460812,0.636747,0.436169,0.088028
7Y-1M,0.622061,0.934118,0.963214,0.986131,0.986634,0.998072,1.000000,0.996937,0.986038,0.963398,0.916414,0.903160,0.870121,0.862600,0.885752,0.890568,0.899818,0.888175,0.878193,0.685291,0.694044,0.703508,0.779667,0.792088,0.807171,0.793193,0.756719,0.692601,0.704733,0.790836,0.793982,0.795223,0.773763,0.719308,0.620455,0.723962,0.685359,0.660807,0.675769,0.586337,0.542462,0.537279,0.548788,0.615091,0.520633,0.436917,0.516733,0.628193,0.504868,0.539044,0.655271,0.504042,0.670190,0.478130,0.123985
10Y-1M,0.621724,0.926671,0.953505,0.973135,0.972403,0.991085,0.996937,1.000000,0.994441,0.979582,0.903932,0.888460,0.853130,0.844548,0.877130,0.886929,0.903812,0.898376,0.897803,0.663402,0.672494,0.680521,0.775885,0.797504,0.825158,0.817337,0.793284,0.671401,0.681513,0.792806,0.806839,0.821628,0.804405,0.762135,0.595458,0.754838,0.727030,0.711734,0.722581,0.642084,0.593970,0.593650,0.609154,0.668193,0.580261,0.492543,0.579805,0.680649,0.565608,0.603268,0.705086,0.564148,0.708276,0.535165,0.180143
20Y-1M,0.579335,0.894733,0.923202,0.946940,0.947387,0.975848,0.986038,0.994441,1.000000,0.989963,0.896244,0.881572,0.848191,0.839967,0.883430,0.897909,0.920059,0.924805,0.929365,0.661260,0.672228,0.680267,0.796624,0.826075,0.860829,0.863783,0.844734,0.672075,0.681989,0.820213,0.842986,0.864349,0.856723,0.818192,0.595297,0.809511,0.787335,0.771193,0.787306,0.705565,0.660858,0.661618,0.672429,0.736302,0.644749,0.550953,0.636068,0.747620,0.628226,0.654544,0.771913,0.625928,0.778671,0.598688,0.215042
30Y-1M,0.598670,0.882799,0.903569,0.914470,0.910033,0.948424,0.963398,0.979582,0.989963,1.000000,0.853995,0.832964,0.791563,0.779450,0.837140,0.858333,0.891018,0.903784,0.932728,0.593202,0.601369,0.603710,0.749843,0.792385,0.845809,0.858445,0.874951,0.600411,0.602786,0.781187,0.820092,0.862477,0.862036,0.860916,0.508210,0.821323,0.816327,0.815566,0.823457,0.778034,0.723306,0.727175,0.741234,0.787773,0.728847,0.611035,0.705102,0.793712,0.716694,0.725389,0.812812,0.717125,0.799918,0.694070,0.350907
6M-3M,0.325030,0.789938,0.840174,0.901463,0.913183,0.917250,0.916414,0.903932,0.896244,0.853995,1.000000,0.993022,0.966597,0.961256,0.962667,0.958478,0.946454,0.919492,0.880380,0.786956,0.797619,0.810159,0.843082,0.838914,0.817590,0.787656,0.710062,0.796263,0.812428,0.840796,0.823826,0.783796,0.750709,0.653842,0.721393,0.693725,0.637907,0.576801,0.604382,0.477345,0.449866,0.445700,0.434396,0.524419,0.397773,0.362687,0.393386,0.540383,0.376000,0.389799,0.567048,0.368879,0.622380,0.351477,-0.037055
1Y-3M,0.266589,0.748004,0.809047,0.887522,0.902678,0.905288,0.903160,0.888460,0.881572,0.832964,0.993022,1.000000,0.989181,0.985734,0.982776,0.975835,0.959144,0.929232,0.881404,0.854228,0.861072,0.870825,0.890496,0.878953,0.846297,0.807482,0.715750,0.857277,0.870046,0.880884,0.854839,0.802052,0.761735,0.650134,0.759793,0.697572,0.632648,0.562385,0.592922,0.452769,0.433393,0.425266,0.409534,0.506437,0.368185,0.338543,0.363788,0.522252,0.343363,0.358320,0.551089,0.335580,0.616211,0.318517,-0.085165
2Y-3M,0.187497,0.681416,0.753821,0.853759,0.872469,0.873403,0.870121,0.853130,0.848191,0.791563,0.966597,0.989181,1.000000,0.998329,0.990168,0.980419,0.958424,0.926252,0.867235,0.914116,0.925566,0.930219,0.933442,0.913873,0.868015,0.820077,0.710489,0.923532,0.928762,0.917520,0.881548,0.813763,0.765895,0.635647,0.787455,0.687777,0.615189,0.535354,0.570771,0.414196,0.406174,0.395153,0.373920,0.478867,0.325676,0.308292,0.324158,0.495197,0.297452,0.314751,0.525796,0.288090,0.602938,0.271067,-0.150082
3Y-3M,0.174178,0.669686,0.743470,0.845439,0.867031,0.866452,0.862600,0.844548,0.839967,0.779450,0.961256,0.985734,0.998329,1.000000,0.989414,0.978741,0.955030,0.922639,0.858669,0.919631,0.929525,0.940364,0.937657,0.915960,0.866611,0.817906,0.700960,0.926681,0.940607,0.921229,0.882603,0.810812,0.762551,0.624514,0.821752,0.691299,0.613999,0.529152,0.565318,0.400492,0.391568,0.380852,0.358812,0.467837,0.307623,0.296963,0.309682,0.485784,0.278791,0.299026,0.517203,0.268619,0.598939,0.250901,-0.179293
5Y-3M,0.192620,0.682461,0.752804,0.849058,0.868117,0.883632,0.885752,0.877130,0.883430,0.837140,0.962667,0.982776,0.990168,0.989414,1.000000,0.997012,0.985469,0.965978,0.919723,0.897935,0.908233,0.916110,0.957180,0.949435,0.919673,0.884908,0.790763,0.905769,0.915567,0.953184,0.930318,0.878686,0.841110,0.724993,0.789316,0.782561,0.714163,0.638037,0.671546,0.521661,0.520957,0.505901,0.482663,0.584586,0.434588,0.392981,0.420979,0.594988,0.402708,0.413820,0.625974,0.394290,0.696179,0.376631,-0.068621
7Y-3M,0.197855,0.683429,0.751510,0.844479,0.862453,0.883764,0.890568,0.886929,0.897909,0.858333,0.958478,0.975835,0.980419,0.978741,0.997012,1.000000,0.994794,0.980840,0.942845,0.880086,0.891479,0.898582,0.955723,0.959287,0.939951,0.910939,0.827593,0.889702,0.898307,0.956888,0.947564,0.906859,0.873192,0.767514,0.771602,0.810441,0.758393,0.688076,0.718031,0.575347,0.564788,0.562400,0.540276,0.636219,0.491245,0.462839,0.485245,0.648368,0.461825,0.470242,0.673270,0.450049,0.734860,0.430590,-0.018110
10Y-3M,0.226751,0.695201,0.758340,0.843203,0.858605,0.888412,0.899818,0.903812,0.920059,0.891018,0.946454,0.959144,0.958424,0.955030,0.985469,0.994794,1.000000,0.993827,0.969132,0.845764,0.857478,0.862997,0.945650,0.961259,0.959702,0.939150,0.873799,0.856146,0.862528,0.954635,0.959613,0.938258,0.910445,0.822611,0.735586,0.848430,0.810352,0.754108,0.778152,0.649161,0.631062,0.634520,0.619441,0.705021,0.570550,0.533328,0.568932,0.716511,0.543222,0.557728,0.738434,0.531304,0.782761,0.507472,0.060989
20Y-3M,0.225679,0.678889,0.738349,0.818365,0.832833,0.872469,0.888175,0.898376,0.924805,0.903784,0.919492,0.929232,0.926252,0.922639,0.965978,0.980840,0.993827,1.000000,0.984962,0.808133,0.821592,0.827387,0.935762,0.961331,0.972161,0.966444,0.913399,0.821432,0.827991,0.953656,0.970220,0.961799,0.947221,0.871037,0.707349,0.890470,0.860976,0.809883,0.838159,0.715779,0.697995,0.702196,0.685767,0.772501,0.641610,0.590889,0.630336,0.782611,0.614081,0.617923,0.804416,0.602704,0.846972,0.580577,0.117756
30Y-3M,0.269572,0.684696,0.734196,0.797111,0.805217,0.856789,0.878193,0.897803,0.929365,0.932728,0.880380,0.881404,0.867235,0.858669,0.919723,0.942845,0.969132,0.984962,1.000000,0.730322,0.740479,0.739614,0.885694,0.927551,0.962162,0.968433,0.959076,0.739349,0.737101,0.913444,0.949941,0.968149,0.962350,0.931941,0.606977,0.913091,0.904202,0.872618,0.890802,0.812387,0.780975,0.788802,0.777396,0.843369,0.751824,0.669392,0.722411,0.847214,0.729709,0.713529,0.863204,0.721904,0.880956,0.704246,0.287553
1Y-6M,-0.038115,0.431085,0.528996,0.669381,0.697014,0.692737,0.685291,0.663402,0.661260,0.593202,0.786956,0.854228,0.914116,0.919631,0.897935,0.880086,0.845764,0.808133,0.730322,1.000000,0.988802,0.984543,0.942322,0.900299,0.823451,0.752339,0.614467,0.974921,0.970470,0.902109,0.840652,0.740944,0.675869,0.519013,0.794954,0.591384,0.497777,0.399550,0.437729,0.264496,0.284265,0.260107,0.227630,0.337760,0.172743,0.172337,0.169083,0.350121,0.138867,0.156287,0.383447,0.129540,0.480235,0.116978,-0.282227
2Y-6M,-0.038864,0.436774,0.532964,0.677622,0.704342,0.700533,0.694044,0.672494,0.672228,0.601369,0.797619,0.861072,0.925566,0.929525,0.908233,0.891479,0.857478,0.821592,0.740479,0.988802,1.000000,0.992426,0.951379,0.911484,0.835062,0.766465,0.623180,0.997216,0.985645,0.917287,0.857699,0.757305,0.693530,0.530096,0.787571,0.593862,0.505488,0.407869,0.450478,0.269651,0.291363,0.271580,0.238310,0.352310,0.178869,0.189786,0.181780,0.367158,0.144610,0.164938,0.399784,0.133097,0.499593,0.118741,-0.298459
3Y-6M,-0.030693,0.449335,0.544251,0.685463,0.716918,0.710668,0.703508,0.680521,0.680267,0.603710,0.810159,0.870825,0.930219,0.940364,0.916110,0.898582,0.862997,0.827387,0.739614,0.984543,0.992426,1.000000,0.953615,0.912620,0.833989,0.767353,0.614410,0.988050,0.997718,0.921502,0.860302,0.757030,0.695230,0.521219,0.857303,0.614027,0.518522,0.413494,0.456371,0.262622,0.277554,0.259905,0.226986,0.347745,0.163321,0.183949,0.173115,0.366211,0.128877,0.154880,0.400122,0.116032,0.505657,0.099830,-0.335554
5Y-6M,0.035073,0.511047,0.597074,0.722755,0.748087,0.774562,0.779667,0.775885,0.796624,0.749843,0.843082,0.890496,0.933442,0.937657,0.957180,0.955723,0.945650,0.935762,0.885694,0.942322,0.951379,0.953615,1.000000,0.989071,0.952747,0.915693,0.811636,0.947932,0.950110,0.994506,0.967226,0.907460,0.868191,0.741095,0.796644,0.812813,0.736622,0.650730,0.687807,0.525891,0.553880,0.528421,0.494344,0.600560,0.437999,0.392861,0.415655,0.604152,0.397948,0.405267,0.637197,0.388841,0.717498,0.372368,-0.096702
