,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.777313,0.622537,0.438142,0.379395,0.336218,0.320155,0.310702,0.304255,0.307957,0.230177,0.213684,0.182905,0.174174,0.159190,0.150423,0.135210,0.126425,0.122462,0.111153,0.107495,0.118205,0.143704,0.146613,0.129019,0.107274,0.091661,0.118766,0.113778,0.129404,0.125475,0.097285,0.067580,0.051371,0.077584,0.075434,0.057691,0.017057,-0.014708,-0.038339,0.067077,0.036101,-0.018081,-0.053488,-0.076878,-0.043709,-0.100466,-0.117962,-0.129918,-0.133316,-0.134418,-0.143686,-0.114438,-0.135136,-0.117112
6M-1M,0.777313,1.000000,0.845101,0.647117,0.588952,0.545862,0.528368,0.508619,0.493753,0.490930,0.577605,0.485605,0.412992,0.389138,0.367139,0.350875,0.315655,0.274939,0.256839,0.196502,0.214977,0.221303,0.225608,0.216107,0.178876,0.130951,0.105303,0.204661,0.198695,0.186432,0.168268,0.118199,0.059690,0.033334,0.132774,0.092794,0.061019,0.000023,-0.055184,-0.085168,0.046556,0.009868,-0.060699,-0.113311,-0.140375,-0.064862,-0.144560,-0.180002,-0.193143,-0.184407,-0.205025,-0.212426,-0.182684,-0.202780,-0.146823
1Y-1M,0.622537,0.845101,1.000000,0.924882,0.876455,0.813048,0.770808,0.717518,0.645956,0.607910,0.519283,0.661931,0.594386,0.582408,0.563050,0.532088,0.483826,0.407044,0.363407,0.578233,0.493931,0.470933,0.420382,0.378483,0.323708,0.244622,0.201199,0.331972,0.338699,0.290658,0.251160,0.189205,0.105585,0.060088,0.247612,0.159015,0.103157,0.030802,-0.051213,-0.100549,0.055786,0.006009,-0.071171,-0.144482,-0.186925,-0.088108,-0.171158,-0.229422,-0.258873,-0.208438,-0.264397,-0.289373,-0.253343,-0.294766,-0.237310
2Y-1M,0.438142,0.647117,0.924882,1.000000,1.000000,1.000000,1.000000,0.934667,0.813566,0.745072,0.407599,0.561623,0.750181,0.770958,0.779868,0.731865,0.671415,0.548849,0.477149,0.571221,0.778835,0.735654,0.636267,0.554123,0.483746,0.370861,0.311733,0.675649,0.639853,0.527938,0.445361,0.368508,0.250895,0.189165,0.395674,0.278310,0.190795,0.113679,0.004424,-0.059634,0.116392,0.047344,-0.026043,-0.121789,-0.177993,-0.081115,-0.151007,-0.238853,-0.285868,-0.185342,-0.286628,-0.331332,-0.305244,-0.362075,-0.315284
3Y-1M,0.379395,0.588952,0.876455,1.000000,1.000000,1.000000,1.000000,1.000000,0.909297,0.839521,0.358131,0.515072,0.719533,0.802411,0.838053,0.803950,0.748058,0.625472,0.548393,0.563256,0.785086,0.807725,0.714590,0.632886,0.560682,0.444435,0.381829,0.684929,0.723383,0.613808,0.531208,0.453011,0.331608,0.266283,0.543279,0.403234,0.304138,0.220602,0.099971,0.029682,0.172581,0.113958,0.043794,-0.057090,-0.118908,-0.013823,-0.083627,-0.181643,-0.235216,-0.135969,-0.241293,-0.292291,-0.269867,-0.332566,-0.308827
5Y-1M,0.336218,0.545862,0.813048,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.964802,0.302017,0.452227,0.658927,0.759640,0.874796,0.874586,0.835965,0.729970,0.653302,0.528029,0.761116,0.802690,0.785077,0.723947,0.660622,0.552631,0.490718,0.673716,0.730770,0.699760,0.635800,0.565143,0.449771,0.384171,0.569872,0.541981,0.447588,0.362797,0.238980,0.164426,0.331557,0.270262,0.195190,0.086553,0.017857,0.105153,0.037505,-0.067062,-0.126910,-0.037219,-0.140108,-0.198519,-0.181734,-0.251109,-0.269938
7Y-1M,0.320155,0.528368,0.770808,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.274565,0.417633,0.609691,0.715761,0.855429,0.895372,0.874798,0.792657,0.723942,0.501513,0.721798,0.773717,0.790591,0.766249,0.715668,0.623212,0.566279,0.642365,0.710228,0.714834,0.687783,0.627857,0.525459,0.463887,0.572913,0.589166,0.531259,0.450098,0.332030,0.258761,0.392119,0.368678,0.292689,0.185437,0.115450,0.235763,0.147702,0.036451,-0.027294,0.030175,-0.059845,-0.119124,-0.102118,-0.172705,-0.221437
10Y-1M,0.310702,0.508619,0.717518,0.934667,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.242317,0.378186,0.559029,0.662256,0.812966,0.876779,0.893487,0.841929,0.787591,0.470710,0.677025,0.733900,0.781746,0.781406,0.761967,0.689373,0.641298,0.607962,0.679924,0.717460,0.713729,0.684937,0.598948,0.544848,0.561048,0.620189,0.584883,0.532289,0.421650,0.352243,0.446354,0.440307,0.389858,0.283456,0.214013,0.315733,0.258453,0.139560,0.074759,0.146964,0.045057,-0.015917,-0.020421,-0.085887,-0.155606
20Y-1M,0.304255,0.493753,0.645956,0.813566,0.909297,1.000000,1.000000,1.000000,1.000000,1.000000,0.206440,0.334075,0.489338,0.587587,0.744426,0.831941,0.871092,0.882025,0.842216,0.427506,0.604233,0.664191,0.742908,0.771641,0.772459,0.749277,0.710359,0.548343,0.621736,0.692758,0.718493,0.708849,0.670053,0.623055,0.529279,0.626850,0.623516,0.586181,0.518631,0.452057,0.488594,0.508119,0.465571,0.396480,0.325199,0.403419,0.346578,0.267282,0.196184,0.218031,0.178400,0.107410,0.138429,0.050889,-0.096607
30Y-1M,0.307957,0.490930,0.607910,0.745072,0.839521,0.964802,1.000000,1.000000,1.000000,1.000000,0.196238,0.314408,0.455999,0.548117,0.701496,0.797299,0.848724,0.875110,0.866703,0.399920,0.560024,0.621075,0.710800,0.753248,0.766772,0.756564,0.744224,0.511102,0.584691,0.667909,0.707465,0.710909,0.684463,0.663929,0.506435,0.617329,0.629121,0.604301,0.546673,0.504888,0.497720,0.529194,0.496937,0.433801,0.385210,0.436533,0.389293,0.309490,0.264173,0.259396,0.219257,0.179346,0.173377,0.129525,0.016399
