,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.786774,0.635775,0.467422,0.420953,0.384922,0.366353,0.355493,0.348040,0.348203,0.152991,0.166229,0.170154,0.174240,0.183968,0.176991,0.157804,0.060062,0.119653,0.093813,0.114219,0.120040,0.135050,0.127398,0.102726,0.046608,0.050122,0.112600,0.102866,0.106363,0.094066,0.061826,0.028631,0.005243,0.051060,0.035951,0.015898,-0.017948,-0.014134,-0.078362,0.023735,0.015278,-0.022884,-0.054275,-0.080092,0.025322,-0.031046,-0.101384,-0.072225,-0.089179,-0.092564,-0.105827,-0.085751,-0.114159,-0.076294
6M-1M,0.786774,1.000000,0.856576,0.659287,0.587317,0.536205,0.512668,0.483598,0.459004,0.451596,0.580266,0.445274,0.387336,0.378602,0.369152,0.356286,0.329091,0.266279,0.273691,0.196371,0.228276,0.241262,0.252988,0.240444,0.207030,0.069358,0.133202,0.207556,0.211906,0.206706,0.183620,0.136746,0.015603,0.049014,0.156688,0.117062,0.073298,0.015758,-0.104739,-0.081598,0.068342,0.024671,-0.039556,-0.148362,-0.133414,0.002718,-0.080784,-0.202506,-0.153087,-0.149402,-0.214860,-0.203180,-0.174545,-0.196032,-0.157235
1Y-1M,0.635775,0.856576,1.000000,0.872874,0.799813,0.717292,0.676629,0.628414,0.572517,0.542424,0.536562,0.682407,0.601242,0.585172,0.558841,0.536258,0.496469,0.429885,0.415294,0.540369,0.486354,0.482395,0.468695,0.445432,0.397617,0.269538,0.294808,0.359333,0.372658,0.356774,0.321193,0.255697,0.061527,0.131105,0.289504,0.234424,0.166130,0.075146,-0.123292,-0.070913,0.145975,0.058556,-0.045747,-0.212732,-0.186440,-0.055911,-0.171244,-0.293742,-0.274209,-0.243421,-0.336684,-0.332315,-0.296463,-0.304146,-0.284314
2Y-1M,0.467422,0.659287,0.872874,1.000000,1.000000,0.934264,0.867980,0.796517,0.705128,0.657746,0.492629,0.689110,0.812746,0.796053,0.757700,0.720324,0.668003,0.619944,0.560517,0.606290,0.745456,0.731025,0.696675,0.655767,0.593190,0.483446,0.462634,0.703599,0.677565,0.621859,0.566184,0.481964,0.298397,0.326108,0.444250,0.385968,0.284788,0.167780,-0.054197,-0.009616,0.263235,0.119251,-0.014945,-0.187342,-0.190102,-0.123077,-0.249881,-0.350088,-0.375604,-0.305945,-0.438463,-0.421554,-0.402521,-0.380367,-0.412806
3Y-1M,0.420953,0.587317,0.799813,1.000000,1.000000,1.000000,0.949152,0.878519,0.784606,0.733457,0.493806,0.693471,0.822414,0.851047,0.822614,0.790717,0.740665,0.705306,0.631355,0.619589,0.761586,0.795106,0.768189,0.732069,0.671147,0.590965,0.537124,0.718130,0.754675,0.704664,0.653901,0.570404,0.422993,0.407881,0.586073,0.500000,0.402490,0.279931,0.087887,0.090240,0.325685,0.189533,0.053155,-0.098234,-0.133852,-0.083993,-0.211242,-0.295372,-0.350693,-0.277324,-0.403744,-0.401464,-0.383913,-0.373655,-0.428108
5Y-1M,0.384922,0.536205,0.717292,0.934264,1.000000,1.000000,1.000000,0.983112,0.899198,0.846949,0.485686,0.673407,0.802714,0.846621,0.873348,0.860001,0.822794,0.826927,0.719366,0.607689,0.748371,0.797324,0.826947,0.808945,0.760333,0.733657,0.629882,0.706387,0.763061,0.778156,0.745969,0.674123,0.598816,0.511284,0.620370,0.617225,0.536452,0.419323,0.282532,0.221695,0.472984,0.350232,0.209339,0.094470,0.006058,0.000746,-0.119467,-0.162970,-0.274556,-0.193666,-0.295448,-0.329784,-0.302800,-0.332972,-0.404162
7Y-1M,0.366353,0.512668,0.676629,0.867980,0.949152,1.000000,1.000000,1.000000,0.971563,0.926996,0.477494,0.647074,0.764688,0.816453,0.863711,0.877346,0.854702,0.904913,0.766797,0.583660,0.711674,0.769686,0.820821,0.830908,0.796983,0.823046,0.681785,0.669791,0.739548,0.779732,0.779909,0.723071,0.702216,0.574522,0.626126,0.650762,0.610131,0.504192,0.407544,0.316481,0.516460,0.442413,0.306910,0.225207,0.108252,0.100967,-0.023563,-0.032192,-0.183231,-0.124060,-0.201215,-0.256811,-0.219396,-0.275450,-0.358730
10Y-1M,0.355493,0.483598,0.628414,0.796517,0.878519,0.983112,1.000000,1.000000,1.000000,0.993021,0.457205,0.607485,0.715513,0.771671,0.834083,0.864280,0.871030,0.961756,0.803506,0.545775,0.665418,0.728648,0.796106,0.823900,0.820270,0.894956,0.725366,0.627430,0.704252,0.764984,0.786299,0.764066,0.789739,0.632910,0.615208,0.666094,0.652841,0.584015,0.524461,0.403975,0.547746,0.507341,0.407859,0.353465,0.209329,0.174999,0.086724,0.105390,-0.082962,0.001891,-0.058834,-0.148983,-0.127695,-0.216052,-0.285575
20Y-1M,0.348040,0.459004,0.572517,0.705128,0.784606,0.899198,0.971563,1.000000,1.000000,1.000000,0.421257,0.544999,0.640025,0.699016,0.775659,0.822199,0.848259,0.994973,0.833094,0.487925,0.594530,0.660929,0.743154,0.788621,0.805730,0.940406,0.763440,0.564434,0.644306,0.723184,0.767761,0.768829,0.858146,0.688650,0.581118,0.655014,0.675865,0.631452,0.639804,0.495027,0.558441,0.564699,0.484853,0.491659,0.324068,0.270595,0.191708,0.268245,0.051093,0.090957,0.114144,-0.013517,0.060965,-0.084915,-0.205812
30Y-1M,0.348203,0.451596,0.542424,0.657746,0.733457,0.846949,0.926996,0.993021,1.000000,1.000000,0.406024,0.512890,0.600256,0.658504,0.736763,0.788092,0.821722,0.983281,0.833254,0.454014,0.553580,0.619763,0.704230,0.755261,0.780944,0.935624,0.767359,0.526560,0.606553,0.688038,0.741900,0.755243,0.866095,0.708265,0.557320,0.633090,0.670858,0.642971,0.677189,0.540871,0.545508,0.576872,0.514041,0.545467,0.384805,0.302751,0.240150,0.337662,0.123518,0.137967,0.185119,0.066595,0.121068,-0.008626,-0.069656
6M-3M,0.152991,0.580266,0.536562,0.492629,0.493806,0.485686,0.477494,0.457205,0.421257,0.406024,1.000000,0.928893,0.809453,0.805379,0.767960,0.762516,0.757818,0.452476,0.720165,0.722802,0.658922,0.687047,0.664325,0.655819,0.653703,0.244656,0.607890,0.528933,0.634927,0.642273,0.629745,0.629300,0.177675,0.567712,0.662683,0.694327,0.638946,0.592177,0.031982,0.509969,0.460226,0.253714,0.193173,-0.054664,0.093337,-0.611821,-0.487448,-0.150611,-0.503962,-0.087121,-0.207583,-0.280075,-0.207529,-0.366547,-0.159819
1Y-3M,0.166229,0.445274,0.682407,0.689110,0.693471,0.673407,0.647074,0.607485,0.544999,0.512890,0.928893,1.000000,1.000000,1.000000,0.986269,0.965004,0.941905,0.568609,0.903838,1.000000,0.954251,0.946093,0.933444,0.913127,0.891044,0.434308,0.844651,0.794771,0.832194,0.869049,0.828544,0.788647,0.258403,0.727820,0.690576,0.846245,0.692610,0.568066,0.042451,0.481786,0.677829,0.336256,0.164331,-0.086846,0.062736,-0.768852,-0.718080,-0.237361,-0.703586,-0.341777,-0.305743,-0.460644,-0.294400,-0.326906,-0.248505
2Y-3M,0.170154,0.387336,0.601242,0.812746,0.822414,0.802714,0.764688,0.715513,0.640025,0.600256,0.809453,1.000000,1.000000,1.000000,1.000000,1.000000,0.982498,0.663150,0.931587,0.989210,1.000000,1.000000,1.000000,0.977009,0.945190,0.549087,0.883460,0.942747,0.949203,0.964304,0.909995,0.854623,0.393938,0.774182,0.712379,0.850724,0.675993,0.531808,0.067113,0.424305,0.685514,0.327050,0.134761,-0.082182,0.019032,-0.706615,-0.698213,-0.269490,-0.701117,-0.385743,-0.348535,-0.486369,-0.330239,-0.317558,-0.308019
3Y-3M,0.174240,0.378602,0.585172,0.796053,0.851047,0.846621,0.816453,0.771671,0.699016,0.658504,0.805379,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.717974,0.955145,0.960546,1.000000,1.000000,1.000000,0.993507,0.964460,0.607382,0.902061,0.926209,0.979740,0.979404,0.935340,0.882625,0.458864,0.799781,0.807369,0.879615,0.720474,0.578888,0.142996,0.464310,0.655750,0.315155,0.134998,-0.034043,0.013269,-0.625877,-0.627079,-0.228375,-0.646206,-0.351121,-0.319565,-0.460910,-0.308315,-0.308872,-0.319523
5Y-3M,0.183968,0.369152,0.558841,0.757700,0.822614,0.873348,0.863711,0.834083,0.775659,0.736763,0.767960,0.986269,1.000000,1.000000,1.000000,1.000000,1.000000,0.786673,1.000000,0.950282,1.000000,1.000000,1.000000,1.000000,1.000000,0.687065,0.952946,0.912810,0.953910,1.000000,0.968359,0.922393,0.547793,0.841243,0.761863,0.927597,0.761904,0.625758,0.246560,0.505246,0.772346,0.431111,0.245014,0.078268,0.108096,-0.574493,-0.573973,-0.154083,-0.605409,-0.300402,-0.248569,-0.424150,-0.247887,-0.287338,-0.311046
7Y-3M,0.176991,0.356286,0.536258,0.720324,0.790717,0.860001,0.877346,0.864280,0.822199,0.788092,0.762516,0.965004,1.000000,1.000000,1.000000,1.000000,1.000000,0.842839,1.000000,0.931347,0.975589,1.000000,1.000000,1.000000,1.000000,0.751046,0.987671,0.891643,0.946742,1.000000,0.991839,0.954941,0.619677,0.888622,0.780842,0.944958,0.813126,0.682631,0.333489,0.575147,0.778576,0.478043,0.295958,0.170132,0.169940,-0.492646,-0.500168,-0.053356,-0.530181,-0.262001,-0.176662,-0.369571,-0.176840,-0.231834,-0.292574
10Y-3M,0.157804,0.329091,0.496469,0.668003,0.740665,0.822794,0.854702,0.871030,0.848259,0.821722,0.757818,0.941905,0.982498,1.000000,1.000000,1.000000,1.000000,0.877454,1.000000,0.910596,0.949142,0.981872,1.000000,1.000000,1.000000,0.794576,1.000000,0.867405,0.929744,1.000000,0.996647,0.984038,0.672040,0.930361,0.783253,0.963237,0.837567,0.733233,0.400852,0.626964,0.801106,0.502806,0.349767,0.243602,0.218233,-0.465753,-0.437797,0.025896,-0.480516,-0.169928,-0.087888,-0.314574,-0.126661,-0.215466,-0.251896
20Y-3M,0.060062,0.266279,0.429885,0.619944,0.705306,0.826927,0.904913,0.961756,0.994973,0.983281,0.452476,0.568609,0.663150,0.717974,0.786673,0.842839,0.877454,1.000000,0.889167,0.529038,0.643067,0.701855,0.771263,0.825564,0.851813,1.000000,0.829292,0.608073,0.686231,0.760853,0.812555,0.818226,0.901738,0.750229,0.593609,0.693724,0.720161,0.670605,0.631070,0.541298,0.565853,0.580442,0.502363,0.500261,0.351753,0.235754,0.177466,0.303977,0.055313,0.090443,0.133319,0.007582,0.085965,-0.035077,-0.191725
30Y-3M,0.119653,0.273691,0.415294,0.560517,0.631355,0.719366,0.766797,0.803506,0.833094,0.833254,0.720165,0.903838,0.931587,0.955145,1.000000,1.000000,1.000000,0.889167,1.000000,0.890916,0.916796,0.950104,1.000000,1.000000,1.000000,0.829248,1.000000,0.842738,0.905376,0.994378,1.000000,1.000000,0.727374,1.000000,0.774363,0.993711,0.857751,0.758958,0.498387,0.719234,0.841995,0.508325,0.360118,0.364722,0.286490,-0.453656,-0.410824,0.175308,-0.398124,-0.135974,0.069471,-0.240731,0.057361,-0.063887,-0.128925
1Y-6M,0.093813,0.196371,0.540369,0.606290,0.619589,0.607689,0.583660,0.545775,0.487925,0.454014,0.722802,1.000000,0.989210,0.960546,0.950282,0.931347,0.910596,0.529038,0.890916,1.000000,0.988969,0.963716,0.952145,0.931827,0.911841,0.492092,0.887507,0.816625,0.830181,0.878124,0.832628,0.788035,0.270646,0.749360,0.645439,0.843411,0.668122,0.526447,0.044166,0.465361,0.710871,0.334042,0.135692,-0.072626,0.062469,-0.806033,-0.770478,-0.217712,-0.725367,-0.403885,-0.287292,-0.483556,-0.263581,-0.259189,-0.243424
