,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.784213,0.632461,0.460066,0.406126,0.365926,0.349210,0.338095,0.331214,0.331834,0.202196,0.199580,0.178710,0.181594,0.177734,0.164785,0.142738,0.051748,0.099923,0.133051,0.129159,0.133304,0.138262,0.129425,0.109741,0.016823,0.062260,0.131685,0.109390,0.122588,0.120963,0.100261,-0.008445,0.052568,0.078128,0.081881,0.063656,0.034980,-0.049225,-0.020230,0.077173,0.046447,0.005449,-0.072036,-0.050055,-0.032446,-0.065597,-0.100211,-0.096894,-0.079735,-0.096799,-0.103293,-0.084239,-0.110913,-0.074193
6M-1M,0.784213,1.000000,0.844358,0.656571,0.598852,0.552774,0.532347,0.506664,0.478815,0.471052,0.607993,0.478778,0.407351,0.385532,0.369542,0.355538,0.326777,0.284281,0.272865,0.207035,0.221055,0.226705,0.221294,0.206176,0.167015,0.122108,0.092023,0.206323,0.197474,0.182414,0.165063,0.116926,0.060395,0.032421,0.137386,0.096746,0.063862,0.005685,-0.055922,-0.077739,0.048644,0.009713,-0.057422,-0.113108,-0.134639,-0.066473,-0.139833,-0.173719,-0.185681,-0.172268,-0.198657,-0.201361,-0.180700,-0.194197,-0.153810
1Y-1M,0.632461,0.844358,1.000000,0.882568,0.825675,0.764066,0.729527,0.688277,0.635777,0.609881,0.529802,0.677828,0.598293,0.571409,0.538884,0.515617,0.469143,0.494158,0.374954,0.528471,0.475615,0.460845,0.440385,0.412860,0.352613,0.361049,0.229100,0.333219,0.350055,0.302821,0.260796,0.180459,0.180960,0.042330,0.247796,0.157214,0.101765,0.006240,-0.019649,-0.133715,0.048497,-0.004372,-0.104261,-0.129036,-0.229150,-0.099008,-0.218033,-0.250023,-0.306375,-0.285668,-0.303486,-0.348204,-0.280531,-0.333256,-0.267860
2Y-1M,0.460066,0.656571,0.882568,1.000000,1.000000,1.000000,0.958264,0.889219,0.796976,0.748788,0.414112,0.607623,0.766363,0.746743,0.715583,0.684226,0.631031,0.718424,0.520994,0.538998,0.720599,0.696937,0.676942,0.633359,0.560264,0.601068,0.411564,0.630364,0.653939,0.561501,0.465935,0.353673,0.442896,0.179830,0.376651,0.251377,0.161631,0.039769,0.076358,-0.124629,0.077152,0.010238,-0.108678,-0.096262,-0.253778,-0.101999,-0.249150,-0.321808,-0.362205,-0.345663,-0.420294,-0.422723,-0.393677,-0.394325,-0.412035
3Y-1M,0.406126,0.598852,0.825675,1.000000,1.000000,1.000000,1.000000,0.987149,0.890582,0.838039,0.369327,0.572095,0.739055,0.776162,0.758652,0.738339,0.689191,0.827015,0.585465,0.525519,0.711962,0.747794,0.741554,0.708885,0.638993,0.719625,0.494389,0.629782,0.735445,0.648059,0.551301,0.435983,0.571507,0.256659,0.507760,0.366620,0.270701,0.137612,0.210047,-0.040111,0.115375,0.058905,-0.056884,-0.008861,-0.210876,-0.048426,-0.199490,-0.265341,-0.326539,-0.318131,-0.397994,-0.401300,-0.379463,-0.375304,-0.433864
5Y-1M,0.365926,0.552774,0.764066,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.962921,0.318011,0.508296,0.679347,0.733316,0.778615,0.787500,0.758743,0.967301,0.676115,0.476297,0.669691,0.721489,0.784799,0.783587,0.735096,0.872429,0.609109,0.608625,0.736362,0.730939,0.651036,0.542681,0.739391,0.369226,0.522538,0.488251,0.409949,0.273415,0.385923,0.092313,0.249946,0.195673,0.073451,0.167832,-0.085840,0.057822,-0.095740,-0.146029,-0.226238,-0.238913,-0.302311,-0.319938,-0.320657,-0.307974,-0.426228
7Y-1M,0.349210,0.532347,0.729527,0.958264,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.294152,0.466313,0.627236,0.688535,0.755091,0.800812,0.791267,1.000000,0.732665,0.437942,0.620843,0.681303,0.767842,0.808440,0.780131,0.954195,0.676758,0.579144,0.710059,0.740518,0.702718,0.607917,0.830313,0.444661,0.516013,0.527136,0.496229,0.364164,0.500683,0.185858,0.300311,0.282018,0.163628,0.287482,0.003990,0.177910,0.010365,-0.023859,-0.129807,-0.168702,-0.211903,-0.245983,-0.243416,-0.241932,-0.384183
10Y-1M,0.338095,0.506664,0.688277,0.889219,0.987149,1.000000,1.000000,1.000000,1.000000,1.000000,0.265755,0.416797,0.568727,0.633708,0.714169,0.779522,0.807182,1.000000,0.775895,0.390265,0.565196,0.630233,0.732695,0.796937,0.809650,1.000000,0.733795,0.546944,0.673579,0.736307,0.723932,0.666982,0.907995,0.519117,0.498804,0.551091,0.550447,0.454717,0.608697,0.281792,0.345287,0.346324,0.259314,0.407936,0.099268,0.254766,0.125099,0.101227,-0.027026,-0.039281,-0.076478,-0.141600,-0.157132,-0.171309,-0.315981
20Y-1M,0.331214,0.478815,0.635777,0.796976,0.890582,1.000000,1.000000,1.000000,1.000000,1.000000,0.240928,0.359097,0.493096,0.560811,0.654157,0.736972,0.786028,1.000000,0.814047,0.332018,0.489638,0.558320,0.673160,0.758595,0.796053,1.000000,0.781971,0.495685,0.613289,0.703344,0.720908,0.690946,0.964990,0.597992,0.465444,0.555729,0.588151,0.516882,0.714876,0.388862,0.384277,0.412024,0.341860,0.536270,0.217419,0.339955,0.223389,0.256478,0.101190,0.055675,0.092301,-0.008619,0.027477,-0.034517,-0.239028
30Y-1M,0.331834,0.471052,0.609881,0.748788,0.838039,0.962921,1.000000,1.000000,1.000000,1.000000,0.228954,0.325755,0.450469,0.517642,0.611751,0.701063,0.758637,1.000000,0.820822,0.293811,0.443758,0.512502,0.628294,0.723162,0.771457,1.000000,0.794594,0.468085,0.576539,0.678411,0.708673,0.691313,0.965307,0.632060,0.439307,0.543799,0.592197,0.535956,0.748156,0.441425,0.391297,0.427776,0.372623,0.584158,0.275576,0.369277,0.269021,0.321625,0.169951,0.106625,0.160893,0.066840,0.086088,0.043052,-0.103725
