,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.793490,0.629007,0.452753,0.389557,0.340894,0.320638,0.304495,0.290411,0.289373,0.197503,0.191548,0.186692,0.190017,0.196954,0.189558,0.166104,0.119345,0.099627,0.200660,0.123322,0.132599,0.148964,0.140263,0.113518,0.085445,0.077657,0.125727,0.125590,0.131013,0.114623,0.083616,0.041575,0.032786,0.089352,0.068537,0.031212,0.008084,0.042284,0.019176,0.031740,-0.013119,-0.037601,-0.001362,-0.025536,-0.071489,-0.080603,-0.058222,-0.072967,-0.087102,-0.069999,-0.084706,-0.061788,-0.082529,-0.091847
6M-1M,0.793490,1.000000,0.851200,0.638763,0.573811,0.517464,0.489810,0.456382,0.425658,0.417132,0.592715,0.513339,0.429740,0.414170,0.395230,0.378068,0.345625,0.309776,0.289199,0.239712,0.232130,0.239426,0.245350,0.231993,0.188655,0.125956,0.100986,0.225906,0.223914,0.212178,0.188741,0.136446,0.062207,0.035987,0.148449,0.104694,0.062507,0.005047,-0.017803,-0.050303,0.047183,0.000926,-0.063061,-0.078264,-0.110181,-0.067861,-0.135207,-0.145845,-0.166425,-0.162375,-0.171801,-0.189240,-0.154074,-0.184778,-0.159234
1Y-1M,0.629007,0.851200,1.000000,0.896140,0.837046,0.760497,0.706066,0.645279,0.565008,0.525494,0.552797,0.716562,0.611358,0.592090,0.558146,0.536357,0.497888,0.460166,0.429177,0.522866,0.495151,0.482756,0.452589,0.428735,0.373814,0.282321,0.227133,0.353166,0.356762,0.331876,0.307396,0.237793,0.122823,0.065112,0.256054,0.193363,0.151024,0.042640,-0.082143,-0.131527,0.112405,0.067438,-0.061294,-0.167582,-0.212828,-0.035240,-0.201635,-0.247567,-0.281574,-0.242672,-0.288513,-0.315174,-0.254688,-0.306658,-0.264087
2Y-1M,0.452753,0.638763,0.896140,1.000000,1.000000,1.000000,0.922695,0.840668,0.733058,0.677158,0.499720,0.661371,0.791848,0.779040,0.743986,0.711114,0.662123,0.603213,0.560520,0.466610,0.756294,0.736023,0.688949,0.647076,0.578663,0.451290,0.372217,0.666302,0.645871,0.590539,0.545971,0.456755,0.324414,0.241752,0.398501,0.342266,0.283851,0.130816,-0.092639,-0.157540,0.242757,0.176850,-0.005885,-0.207469,-0.267913,0.002553,-0.236439,-0.332133,-0.380979,-0.303452,-0.393477,-0.431255,-0.357260,-0.426789,-0.359705
3Y-1M,0.389557,0.573811,0.837046,1.000000,1.000000,1.000000,1.000000,0.952850,0.853382,0.798339,0.464332,0.622573,0.774950,0.808676,0.787966,0.761733,0.717837,0.662409,0.620553,0.430059,0.757279,0.790029,0.753710,0.717999,0.656767,0.533868,0.451562,0.678203,0.713122,0.664896,0.626284,0.541557,0.420139,0.333691,0.550335,0.459661,0.402904,0.246579,-0.014949,-0.087803,0.316441,0.263876,0.078805,-0.164649,-0.230503,0.070669,-0.174063,-0.311730,-0.364255,-0.277326,-0.389169,-0.429366,-0.363864,-0.436091,-0.369342
5Y-1M,0.340894,0.517464,0.760497,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.981877,0.422637,0.557221,0.727060,0.775156,0.809939,0.802828,0.774914,0.733624,0.697027,0.372246,0.725410,0.773348,0.800160,0.784901,0.745559,0.650879,0.571180,0.665546,0.714512,0.726981,0.707403,0.639943,0.550699,0.465369,0.576339,0.581889,0.540307,0.398998,0.114487,0.032710,0.474643,0.427202,0.251554,-0.038585,-0.113262,0.172884,-0.048981,-0.241017,-0.296436,-0.201862,-0.337844,-0.380858,-0.335277,-0.407297,-0.351327
7Y-1M,0.320638,0.489810,0.706066,0.922695,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.397947,0.515701,0.676505,0.729746,0.785245,0.804475,0.792551,0.770337,0.742232,0.337081,0.679120,0.734572,0.786223,0.801334,0.782894,0.722678,0.652155,0.628055,0.684812,0.721388,0.732123,0.682522,0.629220,0.551404,0.574587,0.613472,0.610306,0.489103,0.208140,0.124779,0.519863,0.515836,0.358143,0.055021,-0.021326,0.282404,0.073920,-0.160015,-0.216467,-0.140089,-0.281145,-0.323451,-0.290411,-0.359206,-0.313310
10Y-1M,0.304495,0.456382,0.645279,0.840668,0.952850,1.000000,1.000000,1.000000,1.000000,1.000000,0.364162,0.460306,0.612878,0.667721,0.737160,0.770387,0.791748,0.792965,0.777514,0.292262,0.622487,0.680998,0.750690,0.782056,0.805206,0.784786,0.727395,0.579688,0.639313,0.694888,0.722630,0.713583,0.699942,0.633686,0.554741,0.625556,0.643219,0.575554,0.301009,0.219621,0.550321,0.567324,0.466702,0.151866,0.076862,0.337433,0.207144,-0.070823,-0.125181,-0.021206,-0.191838,-0.233399,-0.237429,-0.296189,-0.255982
20Y-1M,0.290411,0.425658,0.565008,0.733058,0.853382,1.000000,1.000000,1.000000,1.000000,1.000000,0.319406,0.391501,0.526207,0.578038,0.656391,0.703243,0.743625,0.797510,0.796313,0.239366,0.538922,0.596191,0.679374,0.727847,0.776656,0.835197,0.793720,0.508099,0.565284,0.634816,0.681687,0.699130,0.765860,0.713356,0.507930,0.605961,0.651496,0.621007,0.407401,0.327161,0.553523,0.602075,0.539276,0.269169,0.193722,0.395082,0.310592,0.047693,-0.007746,0.057822,-0.071188,-0.116561,-0.111646,-0.176195,-0.194272
30Y-1M,0.289373,0.417132,0.525494,0.677158,0.798339,0.981877,1.000000,1.000000,1.000000,1.000000,0.298181,0.355277,0.480297,0.529988,0.609539,0.660381,0.709434,0.773961,0.801453,0.212217,0.490690,0.546830,0.633713,0.688119,0.749346,0.828135,0.825173,0.466427,0.522060,0.595281,0.648368,0.679819,0.767980,0.752204,0.478351,0.583748,0.639546,0.632992,0.440472,0.388997,0.540884,0.601736,0.566676,0.310327,0.261389,0.410904,0.364017,0.092783,0.063236,0.104457,-0.025229,-0.043842,-0.076079,-0.102395,-0.073024
