,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.566050,-0.096300,-0.309952,-0.412686,-0.411458,-0.347748,-0.189677,0.069907,0.232996,-0.433293,-0.588185,-0.534590,-0.551509,-0.502228,-0.441628,-0.305977,-0.047945,0.122839,-0.473734,-0.478858,-0.518619,-0.478518,-0.412381,-0.262364,0.000623,0.166474,-0.377680,-0.472708,-0.440643,-0.357849,-0.176799,0.085319,0.238128,-0.467751,-0.417813,-0.292746,-0.062953,0.184375,0.316198,-0.341658,-0.166758,0.106728,0.305668,0.410678,0.157244,0.358768,0.431011,0.493763,0.461944,0.485043,0.540011,0.485906,0.562466,0.621526
6M-1M,0.566050,1.000000,0.352655,0.133961,0.043860,0.022269,0.012217,0.025870,0.020593,0.044241,0.497701,-0.002119,-0.027575,-0.058086,-0.042185,-0.049930,-0.044006,-0.046141,-0.019911,-0.304826,-0.168009,-0.151465,-0.099754,-0.105409,-0.104392,-0.101298,-0.072667,-0.042449,-0.077190,-0.049257,-0.056019,-0.046556,-0.044212,-0.018118,-0.095829,-0.046609,-0.051728,-0.036079,-0.031689,-0.006744,-0.011063,-0.023515,-0.004121,-0.006241,0.015611,-0.029570,0.003006,-0.001484,0.018113,0.029244,0.008961,0.030071,-0.007099,0.029464,0.091836
1Y-1M,-0.096300,0.352655,1.000000,0.777882,0.716344,0.634427,0.499107,0.278497,-0.074983,-0.201847,0.486865,0.861610,0.716399,0.672736,0.612696,0.488089,0.281796,-0.063722,-0.194920,0.783720,0.667556,0.640043,0.588425,0.454905,0.231177,-0.117563,-0.242713,0.446394,0.510597,0.500260,0.344364,0.080873,-0.254713,-0.362789,0.466349,0.467034,0.252365,-0.064815,-0.367817,-0.450351,0.416927,0.115252,-0.249425,-0.487161,-0.538884,-0.360726,-0.573254,-0.635180,-0.637193,-0.648182,-0.667561,-0.651049,-0.659113,-0.629955,-0.486854
2Y-1M,-0.309952,0.133961,0.777882,1.000000,0.937385,0.858818,0.707508,0.463693,0.052974,-0.123391,0.472566,0.790089,0.969189,0.912248,0.849487,0.710771,0.487448,0.089599,-0.090297,0.702809,0.954393,0.901359,0.838414,0.687870,0.443881,0.036397,-0.138837,0.909566,0.865640,0.798352,0.613772,0.319299,-0.090203,-0.250217,0.636055,0.663533,0.409480,0.035872,-0.331738,-0.456961,0.608770,0.241477,-0.200881,-0.495976,-0.584304,-0.386665,-0.651430,-0.721419,-0.744384,-0.755678,-0.766634,-0.770660,-0.748160,-0.751808,-0.651038
3Y-1M,-0.412686,0.043860,0.716344,0.937385,1.000000,0.949904,0.833294,0.614037,0.198029,-0.002439,0.482151,0.792477,0.940147,0.987422,0.947398,0.842322,0.645768,0.246960,0.044944,0.699982,0.919252,0.980868,0.940053,0.823557,0.605180,0.191711,-0.007559,0.861099,0.965700,0.913333,0.762137,0.488133,0.061664,-0.124629,0.864987,0.833544,0.603413,0.235956,-0.170799,-0.326859,0.723871,0.388494,-0.063362,-0.396567,-0.512388,-0.265833,-0.575149,-0.672991,-0.717623,-0.729256,-0.749919,-0.774007,-0.739570,-0.770752,-0.717417
5Y-1M,-0.411458,0.022269,0.634427,0.858818,0.949904,1.000000,0.949691,0.775378,0.376724,0.159581,0.457255,0.725293,0.869992,0.941332,0.994790,0.953571,0.802060,0.425742,0.210147,0.630938,0.847601,0.935510,0.992544,0.941853,0.768502,0.372154,0.156714,0.803392,0.934453,0.986685,0.904333,0.672620,0.249862,0.043513,0.867194,0.953116,0.793264,0.456213,0.028010,-0.154422,0.903241,0.632621,0.182712,-0.200052,-0.347688,-0.048794,-0.420174,-0.557722,-0.627590,-0.652204,-0.684289,-0.730242,-0.685115,-0.746076,-0.750495
7Y-1M,-0.347748,0.012217,0.499107,0.707508,0.833294,0.949691,1.000000,0.924515,0.621144,0.422908,0.379234,0.582856,0.718988,0.823482,0.939933,0.994777,0.938893,0.662965,0.471552,0.499880,0.700114,0.822092,0.943699,0.993067,0.918181,0.616592,0.420776,0.677417,0.841114,0.958803,0.985414,0.855558,0.511515,0.317160,0.826839,0.969023,0.934451,0.698142,0.316680,0.134015,0.952295,0.833136,0.469213,0.096731,-0.062049,0.266476,-0.128676,-0.293671,-0.382013,-0.430909,-0.467322,-0.530505,-0.479144,-0.564654,-0.639698
10Y-1M,-0.189677,0.025870,0.278497,0.463693,0.614037,0.775378,0.924515,1.000000,0.863694,0.719736,0.227849,0.323004,0.461312,0.595253,0.756870,0.905336,0.992793,0.887187,0.756301,0.266282,0.453465,0.602497,0.768548,0.916391,0.991503,0.856283,0.715514,0.476118,0.653027,0.809960,0.946955,0.979814,0.786878,0.637246,0.692346,0.858474,0.959856,0.902059,0.638900,0.484520,0.868547,0.926668,0.748784,0.451506,0.304739,0.562192,0.247255,0.079724,-0.016584,-0.054437,-0.105532,-0.182929,-0.141482,-0.244398,-0.396895
20Y-1M,0.069907,0.020593,-0.074983,0.052974,0.198029,0.376724,0.621144,0.863694,1.000000,0.963633,-0.051037,-0.096572,0.028976,0.169219,0.349605,0.586776,0.828941,0.993055,0.975366,-0.089986,0.046491,0.191920,0.372428,0.615309,0.856583,0.992559,0.959622,0.125018,0.271931,0.437774,0.687691,0.911933,0.983393,0.929657,0.362412,0.518885,0.775172,0.948395,0.924474,0.845392,0.559716,0.837201,0.925787,0.821294,0.726474,0.821555,0.663069,0.558768,0.476129,0.417610,0.402582,0.326182,0.376749,0.266598,0.027919
30Y-1M,0.232996,0.044241,-0.201847,-0.123391,-0.002439,0.159581,0.422908,0.719736,0.963633,1.000000,-0.196776,-0.282816,-0.170045,-0.042676,0.125345,0.379325,0.669446,0.937406,0.993734,-0.234806,-0.136072,-0.011034,0.153431,0.415382,0.710286,0.953492,0.993165,-0.042226,0.072110,0.221230,0.497830,0.788942,0.971216,0.985919,0.172369,0.305944,0.608125,0.871933,0.957451,0.939074,0.355624,0.707337,0.912108,0.903913,0.860001,0.857607,0.789382,0.720587,0.668415,0.596111,0.593103,0.543791,0.569898,0.497293,0.294027
