,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.775358,0.624852,0.462389,0.408807,0.369129,0.352507,0.339368,0.330559,0.330471,0.199198,0.193937,0.185340,0.183373,0.182181,0.172374,0.146194,0.049657,0.101579,0.130009,0.132751,0.133643,0.138695,0.125919,0.110971,0.023564,0.084569,0.121469,0.109821,0.110063,0.107696,0.104934,-0.002899,0.063006,0.101606,0.093770,0.066433,0.038524,-0.050939,-0.014352,0.062642,0.029851,-0.002751,-0.073375,-0.053059,-0.046163,-0.068623,-0.099886,-0.094966,-0.082543,-0.100693,-0.100109,-0.086265,-0.096059,-0.077782
6M-1M,0.775358,1.000000,0.853151,0.652367,0.589390,0.544264,0.524194,0.501550,0.478022,0.473095,0.574903,0.470588,0.403407,0.387573,0.368526,0.352042,0.324183,0.289232,0.267445,0.202126,0.228407,0.230131,0.226629,0.212581,0.171071,0.109622,0.092017,0.211758,0.207235,0.195392,0.179864,0.127515,0.053312,0.032428,0.154142,0.108832,0.072069,0.004683,-0.050872,-0.088392,0.049767,0.012823,-0.062460,-0.102306,-0.146749,-0.066378,-0.146854,-0.165529,-0.200317,-0.181808,-0.183005,-0.220488,-0.167093,-0.215419,-0.138607
1Y-1M,0.624852,0.853151,1.000000,0.882554,0.827669,0.767081,0.734855,0.694225,0.640106,0.612699,0.532275,0.671191,0.584957,0.562935,0.527661,0.500104,0.460330,0.501806,0.375242,0.527452,0.465655,0.457480,0.436043,0.413109,0.353995,0.357923,0.210130,0.343140,0.343315,0.309584,0.271229,0.173076,0.177138,0.031747,0.217180,0.139419,0.090396,-0.007355,-0.006417,-0.145798,0.058258,0.006419,-0.105388,-0.118502,-0.230653,-0.092560,-0.223328,-0.244148,-0.309259,-0.282197,-0.305855,-0.344904,-0.287027,-0.336826,-0.270958
2Y-1M,0.462389,0.652367,0.882554,1.000000,1.000000,1.000000,0.977202,0.910580,0.820728,0.774528,0.475037,0.635652,0.748847,0.727299,0.686037,0.648624,0.602122,0.739563,0.491342,0.544105,0.686656,0.671766,0.639735,0.607285,0.536334,0.630811,0.333204,0.646095,0.633231,0.577109,0.484808,0.327267,0.466848,0.132897,0.272870,0.186304,0.132883,0.021162,0.091660,-0.149988,0.104331,0.042246,-0.090592,-0.090654,-0.254950,-0.074576,-0.242859,-0.314169,-0.371184,-0.336938,-0.413822,-0.430117,-0.387789,-0.430377,-0.406453
3Y-1M,0.408807,0.589390,0.827669,1.000000,1.000000,1.000000,1.000000,1.000000,0.918794,0.866181,0.447189,0.604671,0.720691,0.746660,0.721138,0.694616,0.659050,0.853749,0.560250,0.528393,0.670587,0.710586,0.693782,0.674774,0.613667,0.759007,0.404554,0.636256,0.699917,0.662086,0.565911,0.394462,0.603158,0.197607,0.392965,0.276043,0.223167,0.103274,0.222939,-0.073653,0.147258,0.102708,-0.029801,-0.008498,-0.199840,-0.008271,-0.183993,-0.269334,-0.325346,-0.299506,-0.396744,-0.399264,-0.379587,-0.409678,-0.436086
5Y-1M,0.369129,0.544264,0.767081,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.991278,0.405619,0.547525,0.665353,0.705948,0.737178,0.734465,0.721765,0.994707,0.648078,0.481797,0.624964,0.679286,0.727287,0.740465,0.713704,0.912311,0.516333,0.604594,0.688029,0.746519,0.674352,0.503414,0.773084,0.307124,0.412751,0.386441,0.347777,0.221390,0.405351,0.042449,0.294008,0.254116,0.103433,0.170783,-0.076177,0.101916,-0.077256,-0.150475,-0.226653,-0.208777,-0.307892,-0.315725,-0.318461,-0.341342,-0.430424
7Y-1M,0.352507,0.524194,0.734855,0.977202,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.379181,0.505515,0.615687,0.662913,0.714019,0.741899,0.750172,1.000000,0.702217,0.442276,0.576529,0.638048,0.708944,0.761555,0.767738,0.992542,0.594066,0.563579,0.656715,0.751682,0.728500,0.572637,0.862205,0.386794,0.424756,0.428217,0.426460,0.302089,0.521188,0.127666,0.344444,0.348107,0.192638,0.293856,0.013424,0.220468,0.024270,-0.027309,-0.133785,-0.133682,-0.219141,-0.240818,-0.241762,-0.272988,-0.389891
10Y-1M,0.339368,0.501550,0.694225,0.910580,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.340658,0.453161,0.555910,0.607736,0.673253,0.717792,0.760988,1.000000,0.744371,0.396132,0.522441,0.588246,0.675273,0.748848,0.806612,1.000000,0.666702,0.517825,0.617600,0.739824,0.745752,0.635156,0.936437,0.468749,0.426587,0.458910,0.479150,0.387019,0.625299,0.221404,0.388327,0.414899,0.289097,0.412333,0.111864,0.293858,0.133482,0.101596,-0.031829,-0.016746,-0.077135,-0.140184,-0.165159,-0.191501,-0.324558
20Y-1M,0.330559,0.478022,0.640106,0.820728,0.918794,1.000000,1.000000,1.000000,1.000000,1.000000,0.299536,0.390488,0.479512,0.534486,0.613699,0.674621,0.738548,1.000000,0.780207,0.340520,0.450590,0.519068,0.619830,0.711845,0.801954,1.000000,0.731949,0.454218,0.556132,0.699569,0.735768,0.662014,0.992924,0.552202,0.413742,0.474943,0.519791,0.451718,0.726236,0.328944,0.420750,0.475999,0.370734,0.539381,0.229086,0.372678,0.231415,0.256554,0.093757,0.077750,0.092727,-0.012947,0.023299,-0.055845,-0.246290
30Y-1M,0.330471,0.473095,0.612699,0.774528,0.866181,0.991278,1.000000,1.000000,1.000000,1.000000,0.276144,0.355090,0.437209,0.491650,0.571594,0.636493,0.708904,1.000000,0.782640,0.304967,0.407611,0.475598,0.577726,0.676496,0.786371,1.000000,0.758403,0.414443,0.517427,0.666952,0.717680,0.664259,0.992998,0.589186,0.404807,0.471543,0.525359,0.472574,0.754490,0.381097,0.423293,0.490031,0.401993,0.585707,0.287745,0.397216,0.276938,0.321110,0.160646,0.130500,0.160955,0.058578,0.085316,0.019495,-0.110439
6M-3M,0.199198,0.574903,0.532275,0.475037,0.447189,0.405619,0.379181,0.340658,0.299536,0.276144,1.000000,1.000000,0.999798,1.000000,0.996450,0.990021,0.933425,0.300449,0.804865,0.710642,0.807466,0.809136,0.724002,0.647078,0.098387,0.082319,-0.435047,0.741040,0.681667,0.236283,-0.049181,-0.545367,-0.008049,-0.686251,-0.462234,-0.686253,-0.666959,-0.742558,-0.161475,-0.777503,-0.633311,-0.646952,-0.759852,-0.220972,-0.801710,-0.349900,-0.726908,-0.267058,-0.803614,-0.838326,-0.290027,-0.857405,-0.239950,-0.856731,-0.208256
1Y-3M,0.193937,0.470588,0.671191,0.635652,0.604671,0.547525,0.505515,0.453161,0.390488,0.355090,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.977575,0.393305,0.819725,0.993838,0.997720,0.992830,0.921813,0.800889,0.239897,0.218651,-0.322817,0.790747,0.694743,0.252521,-0.093481,-0.579542,0.028706,-0.720200,-0.444036,-0.643519,-0.690953,-0.771852,-0.171191,-0.821223,-0.570664,-0.685313,-0.806120,-0.256301,-0.858650,-0.479912,-0.826581,-0.335786,-0.894843,-0.909959,-0.366705,-0.927750,-0.311917,-0.906841,-0.272648
2Y-3M,0.185340,0.403407,0.584957,0.748847,0.720691,0.665353,0.615687,0.555910,0.479512,0.437209,0.999798,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.488639,0.865019,0.955501,1.000000,1.000000,0.983614,0.877201,0.328798,0.333974,-0.255724,0.952951,0.833073,0.392228,0.053151,-0.463305,0.167457,-0.639948,-0.451810,-0.637300,-0.658247,-0.746479,-0.129096,-0.814695,-0.544389,-0.631862,-0.774043,-0.228379,-0.850008,-0.420626,-0.801041,-0.345618,-0.897299,-0.912348,-0.400821,-0.950641,-0.350146,-0.940069,-0.327483
