,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.805313,0.629915,0.440227,0.383710,0.338952,0.319130,0.301673,0.288259,0.285567,0.177538,0.158465,0.190652,0.192860,0.199853,0.191003,0.160721,0.137512,0.117228,0.123507,0.148225,0.149459,0.159631,0.147817,0.114065,0.097754,0.106180,0.140328,0.126672,0.125639,0.108318,0.067012,0.065892,0.113734,0.079877,0.041498,0.007611,-0.020847,0.012175,0.032957,0.025029,-0.010307,-0.025979,-0.027395,-0.011721,-0.048219,-0.056589,-0.083699,-0.068299,-0.074434,-0.103252,-0.085420,-0.100418,-0.082945,-0.072132
6M-1M,0.805313,1.000000,0.865429,0.659455,0.584328,0.515811,0.479246,0.437930,0.395964,0.379225,0.627938,0.490135,0.419393,0.404938,0.390103,0.376410,0.342669,0.291691,0.297527,0.189378,0.241837,0.252278,0.260406,0.248463,0.203602,0.141652,0.117023,0.235201,0.232971,0.221561,0.200718,0.141814,0.076884,0.082467,0.163463,0.113993,0.070671,-0.005466,-0.026301,-0.029470,0.061809,0.016401,-0.058127,-0.085795,-0.090310,-0.049111,-0.120596,-0.154833,-0.150153,-0.153756,-0.183244,-0.174448,-0.169500,-0.168880,-0.118438
1Y-1M,0.629915,0.865429,1.000000,0.898183,0.818390,0.725484,0.669628,0.611302,0.537600,0.502745,0.549490,0.723720,0.615346,0.599750,0.566393,0.542432,0.502019,0.418604,0.411884,0.566070,0.491813,0.490140,0.469065,0.444707,0.392201,0.284414,0.237726,0.373736,0.388697,0.364000,0.333108,0.256675,0.125195,0.052527,0.292904,0.233761,0.177048,0.053911,-0.046233,-0.101316,0.135114,0.071715,-0.066746,-0.141030,-0.189913,-0.054199,-0.193370,-0.241621,-0.269309,-0.253627,-0.284565,-0.305968,-0.258049,-0.300764,-0.224336
2Y-1M,0.440227,0.659455,0.898183,1.000000,1.000000,0.992131,0.917397,0.840908,0.745368,0.691793,0.468178,0.691564,0.798147,0.783808,0.744238,0.708278,0.665937,0.548041,0.498616,0.594394,0.726942,0.716531,0.680443,0.642561,0.589664,0.434649,0.341691,0.674352,0.665122,0.611634,0.562911,0.486966,0.279175,0.128615,0.425751,0.394053,0.322708,0.163429,-0.039352,-0.159858,0.261310,0.173238,-0.024054,-0.164726,-0.272142,-0.046268,-0.244707,-0.309685,-0.382006,-0.330757,-0.364632,-0.428956,-0.331441,-0.429029,-0.332746
3Y-1M,0.383710,0.584328,0.818390,1.000000,1.000000,1.000000,1.000000,0.966260,0.877576,0.823637,0.446140,0.678987,0.784761,0.820923,0.792335,0.761758,0.725654,0.620101,0.553628,0.596644,0.721243,0.764480,0.736824,0.704184,0.658799,0.514369,0.407877,0.667955,0.723889,0.677563,0.634405,0.568291,0.365083,0.188416,0.561092,0.507699,0.440001,0.294427,0.045730,-0.101757,0.322401,0.247056,0.053408,-0.114125,-0.246912,0.008155,-0.199243,-0.278110,-0.373118,-0.309708,-0.345736,-0.432347,-0.317819,-0.442554,-0.372514
5Y-1M,0.338952,0.515811,0.725484,0.992131,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.421179,0.640962,0.738557,0.786749,0.817058,0.806462,0.789195,0.720506,0.642943,0.564967,0.681530,0.736963,0.770550,0.758437,0.733550,0.624778,0.510289,0.633540,0.704043,0.727003,0.704978,0.662842,0.490873,0.289431,0.570900,0.615873,0.569172,0.457845,0.175408,-0.003436,0.467748,0.402193,0.224792,0.014083,-0.149542,0.105516,-0.097042,-0.191078,-0.315286,-0.234750,-0.273392,-0.390300,-0.259012,-0.418178,-0.404052
7Y-1M,0.319130,0.479246,0.669628,0.917397,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.407233,0.610185,0.686062,0.738891,0.790673,0.810033,0.812415,0.779421,0.703024,0.533610,0.629348,0.690869,0.747639,0.767317,0.763271,0.690418,0.580532,0.582296,0.661031,0.711166,0.724247,0.705207,0.567532,0.359398,0.557754,0.637142,0.634539,0.553748,0.264748,0.072392,0.505185,0.488516,0.331842,0.106541,-0.070979,0.221828,0.009590,-0.099105,-0.240437,-0.167335,-0.201707,-0.334361,-0.194350,-0.370768,-0.400362
10Y-1M,0.301673,0.437930,0.611302,0.840908,0.966260,1.000000,1.000000,1.000000,1.000000,1.000000,0.381387,0.562789,0.619116,0.673788,0.741277,0.777638,0.817505,0.823442,0.754781,0.489078,0.565611,0.629659,0.703758,0.741753,0.777900,0.744480,0.645629,0.521107,0.603419,0.676042,0.709732,0.736802,0.636703,0.427008,0.528149,0.639146,0.662637,0.645085,0.353090,0.151649,0.528502,0.538682,0.441093,0.202190,0.014590,0.286084,0.126923,0.000769,-0.154223,-0.041370,-0.099808,-0.247881,-0.121704,-0.308905,-0.378446
20Y-1M,0.288259,0.395964,0.537600,0.745368,0.877576,1.000000,1.000000,1.000000,1.000000,1.000000,0.349754,0.500258,0.527256,0.581161,0.661520,0.714575,0.775335,0.857694,0.797381,0.428777,0.475751,0.539677,0.627839,0.684097,0.743126,0.789808,0.702623,0.434460,0.516617,0.608670,0.664912,0.718995,0.704759,0.496820,0.474607,0.612191,0.667069,0.689186,0.454313,0.245539,0.529408,0.575141,0.513779,0.318391,0.120971,0.355649,0.219716,0.131502,-0.039952,0.045784,0.036488,-0.131393,0.025457,-0.188626,-0.350303
30Y-1M,0.285567,0.379225,0.502745,0.691793,0.823637,1.000000,1.000000,1.000000,1.000000,1.000000,0.335640,0.463512,0.478489,0.530355,0.612118,0.670060,0.739266,0.838645,0.815632,0.389637,0.425983,0.488281,0.578802,0.640671,0.709185,0.775258,0.730341,0.386240,0.466308,0.562517,0.625997,0.692738,0.702649,0.536087,0.441230,0.582661,0.649512,0.696681,0.478967,0.300112,0.513433,0.574289,0.541130,0.353678,0.182716,0.378406,0.267507,0.176294,0.028066,0.096151,0.082387,-0.060472,0.063389,-0.115250,-0.265031
6M-3M,0.177538,0.627938,0.549490,0.468178,0.446140,0.421179,0.407233,0.381387,0.349754,0.335640,1.000000,0.748981,0.558763,0.538548,0.484495,0.521685,0.548658,0.303037,0.498351,0.066718,0.250868,0.285032,0.272870,0.319027,0.310642,-0.025438,-0.118030,0.313206,0.343811,0.307584,0.363127,0.362845,-0.052867,-0.102440,0.254742,0.240639,0.343417,0.264317,-0.200015,-0.214353,0.123243,0.246768,0.095671,-0.255140,-0.262383,0.251861,-0.018591,-0.290990,-0.268357,-0.208096,-0.358371,-0.323579,-0.367562,-0.336767,-0.045207
