,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.780049,0.643266,0.468445,0.411552,0.368337,0.351735,0.345109,0.340350,0.342658,0.189860,0.168719,0.175615,0.160698,0.156835,0.158777,0.149332,0.058334,0.125865,0.086326,0.115740,0.106661,0.117271,0.122872,0.106086,0.038993,0.068044,0.141238,0.102568,0.110111,0.116481,0.087633,0.002692,0.044459,0.067461,0.069096,0.061561,0.017542,-0.036085,-0.038132,0.047280,0.036658,-0.021438,-0.056674,-0.077104,-0.015567,-0.092744,-0.079596,-0.123608,-0.153306,-0.073011,-0.150070,-0.075892,-0.127803,-0.065231
6M-1M,0.780049,1.000000,0.840851,0.649446,0.592355,0.550940,0.531003,0.507679,0.482816,0.476494,0.607994,0.477400,0.401423,0.380460,0.361366,0.345231,0.310874,0.293296,0.246326,0.214339,0.226809,0.229498,0.233828,0.221549,0.184997,0.108461,0.104533,0.198308,0.196443,0.192301,0.173371,0.122929,0.059588,0.030187,0.143531,0.101741,0.065218,0.002008,-0.051055,-0.091568,0.049877,0.010408,-0.061217,-0.104522,-0.147796,-0.066382,-0.145190,-0.165075,-0.201279,-0.182299,-0.180323,-0.221261,-0.165564,-0.214410,-0.138574
1Y-1M,0.643266,0.840851,1.000000,0.864017,0.813924,0.754005,0.716155,0.666262,0.608989,0.579107,0.566500,0.734141,0.622779,0.605471,0.566925,0.529574,0.476676,0.457430,0.372544,0.589389,0.499438,0.490660,0.457632,0.417004,0.357814,0.324263,0.232357,0.337793,0.353854,0.316320,0.271612,0.205962,0.157922,0.070435,0.254013,0.173401,0.111961,0.035260,-0.040130,-0.100262,0.083662,0.017581,-0.065746,-0.156744,-0.188911,-0.100007,-0.182114,-0.284920,-0.271083,-0.214454,-0.337907,-0.297843,-0.293606,-0.309488,-0.286017
2Y-1M,0.468445,0.649446,0.864017,1.000000,1.000000,0.987800,0.932039,0.858032,0.761607,0.710397,0.466213,0.694342,0.809328,0.819058,0.783559,0.716568,0.638565,0.672091,0.494086,0.624252,0.755736,0.760058,0.707212,0.624634,0.536472,0.560163,0.369324,0.666027,0.690204,0.590423,0.484410,0.389784,0.395734,0.209606,0.405827,0.299279,0.193907,0.106505,0.020356,-0.058984,0.177936,0.061020,-0.025072,-0.147741,-0.180270,-0.135117,-0.190272,-0.355308,-0.307067,-0.193998,-0.468601,-0.324794,-0.416854,-0.362078,-0.429377
3Y-1M,0.411552,0.592355,0.813924,1.000000,1.000000,1.000000,1.000000,0.935599,0.833979,0.776625,0.436587,0.665833,0.795439,0.869254,0.846245,0.784951,0.713291,0.761613,0.573323,0.620883,0.759241,0.828686,0.781293,0.703440,0.622731,0.653689,0.460942,0.675132,0.779216,0.674483,0.571456,0.484142,0.497046,0.306145,0.552462,0.413904,0.305145,0.219619,0.131648,0.046900,0.241810,0.135951,0.057991,-0.084653,-0.103564,-0.066386,-0.114754,-0.329104,-0.247198,-0.136252,-0.459405,-0.281390,-0.412946,-0.334083,-0.462014
5Y-1M,0.368337,0.550940,0.754005,0.987800,1.000000,1.000000,1.000000,1.000000,0.935009,0.875668,0.395774,0.611519,0.747594,0.843197,0.894460,0.859503,0.806360,0.877661,0.682381,0.587609,0.727039,0.816823,0.844208,0.792287,0.730418,0.776116,0.584593,0.654431,0.780149,0.758601,0.679470,0.608417,0.635773,0.440404,0.587557,0.543977,0.446923,0.367497,0.287272,0.192752,0.407354,0.298619,0.218152,0.069823,0.045516,0.055474,0.013411,-0.231928,-0.131928,-0.026785,-0.378853,-0.185236,-0.355752,-0.259282,-0.460066
7Y-1M,0.351735,0.531003,0.716155,0.932039,1.000000,1.000000,1.000000,1.000000,0.992769,0.940002,0.371132,0.574920,0.696084,0.801996,0.883358,0.885491,0.851435,0.944285,0.749769,0.556670,0.679194,0.781774,0.841901,0.828014,0.784520,0.846995,0.659917,0.608101,0.750686,0.769111,0.730079,0.675583,0.714646,0.524141,0.600701,0.594814,0.530128,0.459388,0.384029,0.289152,0.472347,0.397748,0.319864,0.178389,0.143781,0.181558,0.123811,-0.110860,-0.035264,0.051661,-0.291260,-0.108733,-0.277409,-0.192168,-0.418553
10Y-1M,0.345109,0.507679,0.666262,0.858032,0.935599,1.000000,1.000000,1.000000,1.000000,0.992248,0.342090,0.533339,0.643257,0.750694,0.853914,0.879808,0.882196,0.981511,0.809066,0.516483,0.626825,0.734375,0.822050,0.834118,0.826188,0.897415,0.728408,0.561515,0.709940,0.765492,0.755021,0.735149,0.784545,0.604886,0.600093,0.628611,0.588005,0.545086,0.482588,0.383087,0.525854,0.473768,0.419534,0.291674,0.243015,0.270898,0.236836,0.015231,0.065726,0.165777,-0.150700,-0.012461,-0.194890,-0.116392,-0.350840
20Y-1M,0.340350,0.482816,0.608989,0.761607,0.833979,0.935009,0.992769,1.000000,1.000000,1.000000,0.310876,0.473758,0.569332,0.674044,0.792222,0.839796,0.865685,1.000000,0.854600,0.458024,0.553968,0.661088,0.768492,0.805492,0.822191,0.930705,0.786643,0.499019,0.644458,0.730346,0.750575,0.755297,0.839000,0.683545,0.573620,0.638420,0.628967,0.604450,0.583580,0.485274,0.558883,0.541086,0.498055,0.419411,0.355763,0.363797,0.329284,0.174010,0.185874,0.237067,0.026181,0.103643,-0.003138,0.013587,-0.269787
30Y-1M,0.342658,0.476494,0.579107,0.710397,0.776625,0.875668,0.940002,0.992248,1.000000,1.000000,0.291298,0.441056,0.526378,0.629579,0.754049,0.810403,0.845667,0.980322,0.868332,0.422666,0.508294,0.616507,0.733561,0.780606,0.806881,0.916667,0.806039,0.454892,0.603662,0.704215,0.735910,0.751520,0.837258,0.716106,0.558031,0.632891,0.633656,0.620921,0.612052,0.533347,0.564263,0.557266,0.526412,0.466764,0.411732,0.395096,0.371542,0.241295,0.250717,0.277191,0.098540,0.171881,0.059864,0.089032,-0.132044
