,3M-1M,6M-1M,1Y-1M,2Y-1M,3Y-1M,5Y-1M,7Y-1M,10Y-1M,20Y-1M,30Y-1M,6M-3M,1Y-3M,2Y-3M,3Y-3M,5Y-3M,7Y-3M,10Y-3M,20Y-3M,30Y-3M,1Y-6M,2Y-6M,3Y-6M,5Y-6M,7Y-6M,10Y-6M,20Y-6M,30Y-6M,2Y-1Y,3Y-1Y,5Y-1Y,7Y-1Y,10Y-1Y,20Y-1Y,30Y-1Y,3Y-2Y,5Y-2Y,7Y-2Y,10Y-2Y,20Y-2Y,30Y-2Y,5Y-3Y,7Y-3Y,10Y-3Y,20Y-3Y,30Y-3Y,7Y-5Y,10Y-5Y,20Y-5Y,30Y-5Y,10Y-7Y,20Y-7Y,30Y-7Y,20Y-10Y,30Y-10Y,30Y-20Y
3M-1M,1.000000,0.830153,0.451371,0.343169,0.359856,0.261528,0.103372,0.094379,-0.020803,-0.022297,0.309967,-0.052013,0.090955,0.112941,0.003910,-0.127125,-0.111487,-0.247960,-0.371191,-0.307094,0.015461,0.039822,-0.070707,-0.185392,-0.161165,-0.292238,-0.427264,0.167216,0.197291,0.034166,-0.117156,-0.096745,-0.234503,-0.329735,0.142228,-0.181283,-0.362112,-0.274338,-0.446927,-0.424523,-0.251765,-0.397396,-0.302169,-0.472188,-0.447640,-0.442008,-0.288801,-0.551899,-0.356977,0.008902,-0.479346,-0.172391,-0.411631,-0.139549,0.010294
6M-1M,0.830153,1.000000,0.796104,0.478902,0.491861,0.276518,0.073058,-0.007087,-0.111862,-0.052151,0.787395,0.428422,0.281213,0.299427,0.064797,-0.118254,-0.177835,-0.297503,-0.339391,0.046673,0.092938,0.114579,-0.124941,-0.272965,-0.309007,-0.430857,-0.536061,0.102515,0.130782,-0.166505,-0.327478,-0.352246,-0.488952,-0.593173,0.130034,-0.448206,-0.631460,-0.593954,-0.734451,-0.609429,-0.540205,-0.664255,-0.620916,-0.756639,-0.629256,-0.589747,-0.574449,-0.774776,-0.402614,-0.305643,-0.708183,-0.154638,-0.332489,-0.028015,0.118207
1Y-1M,0.451371,0.796104,1.000000,0.808522,0.811495,0.583563,0.428626,0.311863,0.241089,0.232890,0.858504,0.867651,0.734054,0.742199,0.484064,0.323527,0.218463,0.130787,0.058108,0.641657,0.558590,0.570337,0.275743,0.140042,0.055973,-0.043198,-0.194795,0.443919,0.458752,0.080792,-0.038789,-0.106790,-0.231681,-0.475101,0.094240,-0.499082,-0.525307,-0.510221,-0.665092,-0.769585,-0.582759,-0.549196,-0.530113,-0.680803,-0.782015,-0.317594,-0.389437,-0.619642,-0.547524,-0.299050,-0.742992,-0.421583,-0.367523,-0.241876,-0.142965
2Y-1M,0.343169,0.478902,0.808522,1.000000,0.988555,0.897504,0.828264,0.754872,0.697913,0.551678,0.437226,0.713647,0.966593,0.960002,0.838217,0.746967,0.682941,0.598089,0.392117,0.727620,0.918577,0.914025,0.730048,0.634472,0.573190,0.476099,0.230741,0.886223,0.876417,0.587801,0.501408,0.439745,0.316855,-0.055338,0.016328,-0.229412,-0.121610,-0.069576,-0.288135,-0.738837,-0.257857,-0.125804,-0.072939,-0.290376,-0.737411,0.082561,0.094055,-0.256839,-0.671594,0.065683,-0.553509,-0.723041,-0.523223,-0.594075,-0.527524
3Y-1M,0.359856,0.491861,0.811495,0.988555,1.000000,0.916219,0.829930,0.757925,0.699312,0.558395,0.440874,0.707677,0.949905,0.967681,0.853151,0.744788,0.682556,0.595643,0.392507,0.716104,0.899761,0.921296,0.744051,0.631629,0.572177,0.473103,0.230043,0.866454,0.891516,0.608883,0.501726,0.441652,0.316850,-0.051300,0.166984,-0.162810,-0.100474,-0.050995,-0.272286,-0.719853,-0.240679,-0.141320,-0.082472,-0.302647,-0.745684,0.031573,0.064071,-0.290188,-0.689817,0.072301,-0.554642,-0.719442,-0.529900,-0.593270,-0.523376
5Y-1M,0.261528,0.276518,0.583563,0.897504,0.916219,1.000000,0.957151,0.926498,0.883190,0.633551,0.182374,0.507374,0.880201,0.905035,0.966211,0.894292,0.871054,0.796216,0.496773,0.612797,0.893446,0.921881,0.918930,0.828303,0.797595,0.710992,0.399519,0.907245,0.940811,0.856560,0.759326,0.716786,0.609050,0.173022,0.206773,0.223346,0.269544,0.316278,0.084772,-0.551274,0.168386,0.219669,0.278979,0.046003,-0.585271,0.207841,0.319865,-0.061500,-0.731666,0.304853,-0.348126,-0.839137,-0.556954,-0.760292,-0.727489
7Y-1M,0.103372,0.073058,0.428626,0.828264,0.829930,0.957151,1.000000,0.975113,0.966202,0.746647,0.010289,0.422096,0.849949,0.855890,0.964053,0.973432,0.952115,0.912682,0.657247,0.614918,0.906518,0.914298,0.958197,0.939511,0.905331,0.853371,0.595220,0.923784,0.929709,0.902426,0.886176,0.834771,0.765596,0.381613,0.087398,0.281815,0.455454,0.474537,0.280328,-0.377876,0.276870,0.434982,0.460279,0.263260,-0.391390,0.482200,0.528521,0.198327,-0.576755,0.348678,-0.198420,-0.800332,-0.468695,-0.743078,-0.746182
10Y-1M,0.094379,-0.007087,0.311863,0.754872,0.757925,0.926498,0.975113,1.000000,0.966004,0.654826,-0.116437,0.296434,0.774591,0.781639,0.934696,0.950684,0.978808,0.914539,0.575116,0.523761,0.859362,0.867937,0.959443,0.943030,0.953226,0.879581,0.557031,0.903948,0.910732,0.939002,0.918532,0.911390,0.820666,0.378611,0.089822,0.376375,0.527973,0.601761,0.369696,-0.365127,0.379757,0.507041,0.587612,0.351929,-0.379152,0.490871,0.652885,0.257405,-0.618115,0.547795,-0.102810,-0.846424,-0.560297,-0.841338,-0.831083
20Y-1M,-0.020803,-0.111862,0.241089,0.697913,0.699312,0.883190,0.966202,0.966004,1.000000,0.752218,-0.167754,0.281402,0.745632,0.750352,0.920585,0.968314,0.968565,0.973719,0.705942,0.539731,0.841932,0.847856,0.957733,0.970417,0.952563,0.944953,0.690906,0.872931,0.876470,0.930821,0.944973,0.906470,0.888242,0.515271,0.073610,0.406686,0.602684,0.619415,0.484715,-0.218966,0.419043,0.585833,0.608377,0.469649,-0.230934,0.591785,0.654464,0.413812,-0.476447,0.437709,0.060948,-0.745517,-0.327114,-0.727164,-0.791349
30Y-1M,-0.022297,-0.052151,0.232890,0.551678,0.558395,0.633551,0.746647,0.654826,0.752218,1.000000,-0.064279,0.273059,0.590996,0.600686,0.662345,0.749711,0.658248,0.733964,0.936602,0.450519,0.649190,0.660405,0.675494,0.738128,0.638558,0.700276,0.870986,0.656711,0.668549,0.629624,0.706352,0.584382,0.643757,0.745089,0.095371,0.178934,0.446104,0.324190,0.332009,0.154457,0.160991,0.423674,0.307775,0.313312,0.136360,0.605388,0.373469,0.371062,0.063856,-0.049270,-0.031023,-0.198729,0.016460,-0.142426,-0.192430
